sim_time, /gazebo/default/one_dynamixel_simulation/link2/MPU6050sensor/imu?p=/angular_velocity/x
2.718, 1.05241e-15
2.768, 1.05118e-15
2.818, 1.05173e-15
2.868, 1.06107e-15
2.918, 1.31516e-15
2.968, 7.05963e-16
3.018, 1.04642e-15
3.068, -1.68735e-14
3.118, 1.05438e-15
3.168, 1.05383e-15
3.218, 1.05396e-15
3.268, 1.05311e-15
3.318, 1.05157e-15
3.368, 1.05062e-15
3.418, 1.05078e-15
3.468, 1.05104e-15
3.518, 1.10442e-15
3.568, 1.31392e-15
3.618, 1.04544e-15
3.668, -1.72166e-14
3.718, 1.05436e-15
3.768, 1.05383e-15
3.818, 1.05396e-15
3.868, 1.05353e-15
3.918, 1.05259e-15
3.968, 1.05062e-15
4.018, 1.05064e-15
4.068, 1.04881e-15
4.118, -0.905378
4.168, -1.77861
4.218, -1.95213
4.268, -1.98667
4.318, -1.99363
4.369, -1.99513
4.418, -1.99554
4.468, -1.99576
4.518, -1.99595
4.568, -1.99614
4.618, -1.09068
4.668, -0.216922
4.718, -0.0431439
4.769, -0.00830827
4.818, -0.0017067
4.868, -0.00033945
4.918, -6.75142e-05
4.968, -1.34281e-05
5.018, -2.67075e-06
5.068, -5.31192e-07
5.118, -1.0565e-07
5.168, -2.10131e-08
5.218, -4.17935e-09
5.268, -8.31243e-10
5.318, -1.65324e-10
5.368, -3.28811e-11
5.417, -6.75692e-12
5.467, -1.34615e-12
5.518, -2.6285e-13
5.568, -9.70081e-14
5.618, -9.70082e-14
5.668, -9.68076e-14
5.718, -9.70507e-14
5.768, -9.65223e-14
5.818, -9.65222e-14
5.868, -9.70507e-14
5.918, -9.64371e-14
