sim_time, /gazebo/default/one_dynamixel_simulation/link2/MPU6050sensor/imu?p=/angular_velocity/y
2.718, 1.25435e-15
2.768, 1.25283e-15
2.818, 1.2535e-15
2.868, 1.26463e-15
2.918, 1.56745e-15
2.968, 8.41352e-16
3.018, 1.2472e-15
3.068, -2.01105e-14
3.118, 1.25665e-15
3.168, 1.25599e-15
3.218, 1.25616e-15
3.268, 1.25518e-15
3.318, 1.25335e-15
3.368, 1.25217e-15
3.418, 1.25232e-15
3.468, 1.25267e-15
3.518, 1.31629e-15
3.568, 1.56594e-15
3.618, 1.24604e-15
3.668, -2.05194e-14
3.718, 1.25667e-15
3.768, 1.25599e-15
3.818, 1.25616e-15
3.868, 1.25568e-15
3.918, 1.25448e-15
3.968, 1.25217e-15
4.018, 1.25215e-15
4.068, 1.25001e-15
4.118, -1.07907
4.168, -2.11982
4.218, -2.32663
4.268, -2.3678
4.318, -2.37608
4.369, -2.37788
4.418, -2.37836
4.468, -2.37862
4.518, -2.37885
4.568, -2.37907
4.618, -1.29991
4.668, -0.258536
4.718, -0.0514206
4.769, -0.00990212
4.818, -0.00203411
4.868, -0.00040457
4.918, -8.0466e-05
4.968, -1.60041e-05
5.018, -3.1831e-06
5.068, -6.33096e-07
5.118, -1.25918e-07
5.168, -2.50442e-08
5.218, -4.98111e-09
5.268, -9.90708e-10
5.318, -1.9704e-10
5.368, -3.91889e-11
5.417, -8.05334e-12
5.467, -1.60439e-12
5.518, -3.13362e-13
5.568, -1.15704e-13
5.618, -1.15704e-13
5.668, -1.15293e-13
5.718, -1.15669e-13
5.768, -1.14953e-13
5.818, -1.14953e-13
5.868, -1.15669e-13
5.918, -1.15024e-13
