sim_time, /gazebo/default/one_dynamixel_simulation/link2/MPU6050sensor/imu?p=/linear_acceleration/x
2.718, -7.50746
2.768, -7.50746
2.818, -7.50746
2.868, -7.50746
2.918, -7.50746
2.968, -7.50746
3.018, -7.50746
3.068, -7.50746
3.118, -7.50746
3.168, -7.50746
3.218, -7.50746
3.268, -7.50746
3.318, -7.50746
3.368, -7.50746
3.418, -7.50746
3.468, -7.50746
3.518, -7.50746
3.568, -7.50746
3.618, -7.50746
3.668, -7.50746
3.718, -7.50746
3.768, -7.50746
3.818, -7.50746
3.868, -7.50746
3.918, -7.50746
3.968, -7.50746
4.018, -7.50746
4.068, -7.50746
4.118, -8.16861
4.168, -7.88666
4.218, -6.85661
4.268, -6.28576
4.318, -5.66283
4.369, -4.96025
4.418, -4.0841
4.468, -3.13163
4.518, -2.11102
4.568, -0.983068
4.618, 0.680925
4.668, 0.510353
4.718, -0.0234812
4.769, -0.116498
4.818, -0.134352
4.868, -0.137801
4.918, -0.138507
4.968, -0.138647
5.018, -0.138675
5.068, -0.138681
5.118, -0.138682
5.168, -0.138682
5.218, -0.138682
5.268, -0.138682
5.318, -0.138682
5.368, -0.138682
5.417, -0.138682
5.467, -0.138682
5.518, -0.138682
5.568, -0.138682
5.618, -0.138682
5.668, -0.138682
5.718, -0.138682
5.768, -0.138682
5.818, -0.138682
5.868, -0.138682
5.918, -0.138682
