sim_time, /gazebo/default/one_dynamixel_simulation/link2/MPU6050sensor/imu?p=/linear_acceleration/y
2.718, 6.29905
2.768, 6.29905
2.818, 6.29905
2.868, 6.29905
2.918, 6.29905
2.968, 6.29905
3.018, 6.29905
3.068, 6.29905
3.118, 6.29905
3.168, 6.29905
3.218, 6.29905
3.268, 6.29905
3.318, 6.29905
3.368, 6.29905
3.418, 6.29905
3.468, 6.29905
3.518, 6.29905
3.568, 6.29905
3.618, 6.29905
3.668, 6.29905
3.718, 6.29905
3.768, 6.29905
3.818, 6.29905
3.868, 6.29905
3.918, 6.29905
3.968, 6.29905
4.018, 6.29905
4.068, 6.29905
4.118, 6.85379
4.168, 6.61722
4.218, 5.75296
4.268, 5.27399
4.318, 4.75133
4.369, 4.16184
4.418, 3.42671
4.468, 2.62755
4.518, 1.77122
4.568, 0.824823
4.618, -0.571336
4.668, -0.42822
4.718, 0.0196902
4.769, 0.0977351
4.818, 0.112716
4.868, 0.11561
4.918, 0.116202
4.968, 0.116319
5.018, 0.116343
5.068, 0.116347
5.118, 0.116348
5.168, 0.116349
5.218, 0.116349
5.268, 0.116349
5.318, 0.116349
5.368, 0.116349
5.417, 0.116349
5.467, 0.116349
5.518, 0.116349
5.568, 0.116349
5.618, 0.116349
5.668, 0.116349
5.718, 0.116349
5.768, 0.116349
5.818, 0.116349
5.868, 0.116349
5.918, 0.116349
