sim_time, /gazebo/default/one_dynamixel_simulation/link2/MPU6050sensor/imu?p=/linear_acceleration/z
2.718, -0.000700692
2.768, -0.000700692
2.818, -0.000700692
2.868, -0.000700692
2.918, -0.000700692
2.968, -0.000700692
3.018, -0.000700692
3.068, -0.000700692
3.118, -0.000700692
3.168, -0.000700692
3.218, -0.000700692
3.268, -0.000700692
3.318, -0.000700692
3.368, -0.000700692
3.418, -0.000700692
3.468, -0.000700692
3.518, -0.000700692
3.568, -0.000700692
3.618, -0.000700692
3.668, -0.000700692
3.718, -0.000700692
3.768, -0.000700692
3.818, -0.000700692
3.868, -0.000700692
3.918, -0.000700692
3.968, -0.000700692
4.018, -0.000700692
4.068, -0.000700692
4.118, -2.15397
4.168, -1.07287
4.218, 1.93189
4.268, 3.6502
4.318, 5.05349
4.369, 6.27594
4.418, 7.30036
4.468, 8.16021
4.518, 8.80509
4.568, 9.22832
4.618, 11.7594
4.668, 11.9741
4.718, 10.2382
4.769, 9.88505
4.818, 9.81544
4.868, 9.8018
4.918, 9.79902
4.968, 9.79847
5.018, 9.79836
5.068, 9.79833
5.118, 9.79833
5.168, 9.79833
5.218, 9.79833
5.268, 9.79833
5.318, 9.79833
5.368, 9.79833
5.417, 9.79833
5.467, 9.79833
5.518, 9.79833
5.568, 9.79833
5.618, 9.79833
5.668, 9.79833
5.718, 9.79833
5.768, 9.79833
5.818, 9.79833
5.868, 9.79833
5.918, 9.79833
