sim_time, /gazebo/default/one_dynamixel_simulation/link2/MPU6050sensor/imu?p=/angular_velocity/z
3.289, 1.75485e-20
3.339, 7.38731e-21
3.389, 2.16412e-20
3.439, -1.29512e-20
3.489, 3.97402e-21
3.539, -1.6409e-20
3.589, 7.84145e-21
3.639, -1.6328e-20
3.689, 2.08933e-20
3.739, -6.1759e-21
3.789, 1.07659e-20
3.839, 3.97626e-21
3.889, 7.30812e-21
3.939, 1.46179e-20
3.989, 2.97213e-20
4.039, 1.41487e-20
4.089, -1.63374e-20
4.14, -9.55856e-21
4.189, -1.97344e-20
4.239, 2.08609e-20
4.29, 1.04171e-20
4.339, -2.70105e-21
4.39, -2.78845e-21
4.439, 1.08872e-10
4.489, 1.22865e-11
4.539, -6.901e-12
4.59, -1.07428e-11
4.639, -1.147e-11
4.689, -1.16204e-11
4.739, -1.16503e-11
4.79, -1.16563e-11
4.839, -1.16574e-11
4.889, -1.16576e-11
4.939, -1.16577e-11
4.989, -1.16577e-11
5.039, -1.16577e-11
5.089, -1.16577e-11
5.138, -1.16577e-11
5.189, -1.16577e-11
5.238, -1.16577e-11
5.29, -1.16577e-11
5.339, -1.16577e-11
5.389, -1.16577e-11
5.439, -1.16577e-11
5.49, -1.16577e-11
5.539, -1.16577e-11
5.589, -1.16577e-11
5.639, -1.16577e-11
5.689, -1.16577e-11
5.739, -1.16577e-11
5.789, -1.16577e-11
5.84, -1.16577e-11
5.89, -1.16577e-11
5.94, -1.16577e-11
5.989, -1.16577e-11
6.039, -1.16577e-11
6.089, -1.16577e-11
6.139, -1.16577e-11
6.189, -1.16577e-11
6.239, -1.16577e-11
6.289, -1.16577e-11
6.339, -1.16577e-11
6.389, -1.16577e-11
6.439, 2.56763e-08
6.489, 3.91325e-08
6.539, 4.18057e-08
6.589, 4.23368e-08
6.639, 4.24422e-08
6.689, 4.24632e-08
6.739, 4.24673e-08
6.789, 4.24682e-08
6.839, 4.24683e-08
6.889, 4.24683e-08
6.94, 4.24683e-08
6.989, 4.24683e-08
7.039, 4.24683e-08
7.089, 4.24683e-08
7.139, 4.24683e-08
7.189, 4.24683e-08
7.24, 4.24683e-08
7.289, 4.24682e-08
7.339, 4.24682e-08
7.389, 4.24682e-08
7.439, 4.24682e-08
7.49, 4.24682e-08
7.54, 4.24682e-08
7.589, 4.24682e-08
7.639, 4.24682e-08
7.689, 4.24682e-08
7.739, 4.24682e-08
7.79, 4.24682e-08
7.839, 4.24681e-08
7.889, 4.24681e-08
7.939, 4.24681e-08
7.989, 4.24681e-08
8.039, 4.24681e-08
8.089, 4.24681e-08
8.14, 4.24681e-08
8.19, 4.24681e-08
8.239, 4.24681e-08
8.289, 4.24681e-08
8.339, 4.24681e-08
8.389, 4.24681e-08
8.439, -8.89355e-09
8.489, -3.57983e-08
8.539, -4.11431e-08
8.589, -4.22049e-08
8.64, -4.24175e-08
8.69, -4.2458e-08
8.738, -4.2466e-08
8.789, -4.24677e-08
8.839, -4.2468e-08
8.889, -4.24681e-08
8.939, -4.24681e-08
8.989, -4.24681e-08
9.039, -4.24681e-08
9.089, -4.24681e-08
9.139, -4.24682e-08
9.189, -4.24682e-08
9.239, -4.24682e-08
9.289, -4.24682e-08
9.339, -4.24682e-08
9.389, -4.24682e-08
9.439, -4.24682e-08
9.489, -4.24682e-08
9.539, -4.24682e-08
9.589, -4.24682e-08
9.639, -4.24682e-08
9.689, -4.24683e-08
9.739, -4.24683e-08
9.789, -4.24683e-08
9.84, -4.24683e-08
9.889, -4.24683e-08
9.939, -4.24683e-08
9.989, -4.24683e-08
10.038, -4.24683e-08
10.089, -4.24683e-08
10.139, -4.24684e-08
10.189, -4.24684e-08
10.239, -4.24684e-08
10.289, -4.24684e-08
10.339, -4.24684e-08
10.389, -4.24684e-08
10.439, -8.23168e-07
10.489, -1.23213e-06
10.54, -1.31403e-06
10.589, -1.32955e-06
10.639, -1.33278e-06
10.689, -1.33345e-06
10.739, -1.33361e-06
10.789, -1.33367e-06
10.839, -1.33372e-06
10.89, -1.33377e-06
10.939, -1.33382e-06
10.989, -1.33387e-06
11.039, -1.33392e-06
11.089, -1.33398e-06
11.14, -1.33404e-06
11.189, -1.3341e-06
11.239, -1.33416e-06
11.289, -1.33423e-06
11.339, -1.33429e-06
11.389, -1.33435e-06
11.439, 2.78771e-07
11.49, 1.13114e-06
11.539, 1.29262e-06
11.589, 1.32601e-06
11.639, 1.3326e-06
11.689, 1.33386e-06
11.739, 1.33406e-06
11.79, 1.33405e-06
11.839, 1.334e-06
11.889, 1.33394e-06
11.939, 1.33389e-06
11.989, 1.33384e-06
12.039, 1.33379e-06
12.089, 1.33374e-06
12.139, 1.3337e-06
12.189, 1.33366e-06
12.239, 1.33362e-06
12.289, 1.33359e-06
12.339, 1.33356e-06
12.389, 1.33354e-06
12.439, 5.27139e-07
12.489, 1.0472e-07
12.539, 2.08035e-08
12.589, 4.13279e-09
12.639, 8.2101e-10
12.689, 1.631e-10
12.739, 3.24011e-11
12.789, 6.43673e-12
12.839, 1.27871e-12
12.889, 2.54025e-13
12.939, 5.0464e-14
12.988, 1.03544e-14
