sim_time, /gazebo/default/one_dynamixel_simulation/link2/MPU6050sensor/imu?p=/angular_velocity/z
5.9, -9.94349e-21
5.951, 3.02238e-20
6.001, -6.5655e-21
6.05, -6.19843e-21
6.1, -3.65139e-21
6.15, -3.17713e-21
6.2, -6.12284e-21
6.25, 4.12942e-21
6.3, -2.6536e-20
6.35, -6.10791e-21
6.401, 2.108e-20
6.45, -6.13077e-21
6.5, -1.23091e-20
6.55, 3.80184e-20
6.6, -9.50514e-21
6.651, -1.9749e-20
6.7, 2.01382e-20
6.75, -1.57034e-20
6.8, -2.81157e-21
6.85, 7.53202e-21
6.9, -3.17376e-21
6.95, -6.12121e-21
7, 6.5879e-21
7.05, -5.54009e-21
7.1, -9.51038e-21
7.15, 2.40965e-20
7.199, -2.15346e-21
7.25, -6.10524e-21
7.3, 2.68298e-20
7.35, -1.29807e-20
7.4, -8.92016e-21
7.45, 3.12276e-20
7.5, -2.74137e-21
7.55, -9.93802e-21
7.601, 1.43005e-20
7.65, -6.11525e-21
7.7, 3.27371e-10
7.75, 4.63075e-11
7.8, -9.70015e-12
7.85, -2.08265e-11
7.901, -2.30543e-11
7.95, -2.34759e-11
8, -2.35632e-11
8.05, -2.35805e-11
8.1, -2.35839e-11
8.15, -2.35846e-11
8.2, -2.35848e-11
8.25, -2.35848e-11
8.301, -2.35848e-11
8.35, -2.35848e-11
8.4, -2.35848e-11
8.45, -2.35848e-11
8.5, -2.35848e-11
8.55, -2.35848e-11
8.6, -2.35848e-11
8.65, -2.35848e-11
8.7, -2.35848e-11
8.75, -2.35848e-11
8.8, -2.35848e-11
8.85, -2.35848e-11
8.9, -2.35848e-11
8.95, -2.35848e-11
9, -2.35848e-11
9.05, -2.35848e-11
9.1, -2.35848e-11
9.15, -2.35848e-11
9.2, -2.35848e-11
9.25, -2.35848e-11
9.3, -2.35848e-11
9.351, -2.35848e-11
9.4, -2.35848e-11
9.45, -2.35848e-11
9.5, -2.35848e-11
9.551, -2.35848e-11
9.599, -2.35848e-11
9.649, -2.35848e-11
9.701, 5.99473e-09
9.75, 4.34919e-08
9.801, 5.13103e-08
9.851, 5.28023e-08
9.901, 5.30987e-08
9.95, 5.31571e-08
10, 5.31691e-08
10.05, 5.31715e-08
10.1, 5.3172e-08
10.15, 5.31721e-08
10.2, 5.31721e-08
10.249, 5.3172e-08
10.299, 5.3172e-08
10.35, 5.3172e-08
10.4, 5.3172e-08
10.45, 5.3172e-08
10.5, 5.3172e-08
10.55, 5.3172e-08
10.6, 5.3172e-08
10.65, 5.31719e-08
10.7, 5.31719e-08
10.75, 5.31719e-08
10.801, 5.31719e-08
10.851, 5.31719e-08
10.9, 5.31719e-08
10.951, 5.31719e-08
11, 5.31719e-08
11.049, 5.31719e-08
11.101, 5.31718e-08
11.151, 5.31718e-08
11.2, 5.31718e-08
11.251, 5.31718e-08
11.301, 5.31718e-08
11.351, 5.31718e-08
11.401, 5.31718e-08
11.451, 5.31718e-08
11.5, 5.31718e-08
11.551, 5.31718e-08
11.601, 5.31717e-08
11.65, 5.31717e-08
11.7, 4.42307e-08
11.75, -3.38202e-08
11.801, -4.94497e-08
11.851, -5.24323e-08
11.9, -5.302e-08
11.951, -5.31426e-08
12.001, -5.3166e-08
12.05, -5.31706e-08
12.1, -5.31715e-08
12.15, -5.31717e-08
12.2, -5.31718e-08
12.25, -5.31718e-08
12.3, -5.31718e-08
12.35, -5.31718e-08
12.4, -5.31718e-08
12.45, -5.31718e-08
12.5, -5.31719e-08
12.55, -5.31719e-08
12.6, -5.31719e-08
12.65, -5.31719e-08
12.7, -5.31719e-08
12.75, -5.31719e-08
12.8, -5.31719e-08
12.851, -5.31719e-08
12.9, -5.31719e-08
12.951, -5.3172e-08
13, -5.3172e-08
13.051, -5.3172e-08
