sim_time, /gazebo/default/one_dynamixel_simulation/link2/MPU6050sensor/imu?p=/linear_acceleration/y
5.9, 6.92965
5.951, 6.92965
6.001, 6.92965
6.05, 6.92965
6.1, 6.92965
6.15, 6.92965
6.2, 6.92965
6.25, 6.92965
6.3, 6.92965
6.35, 6.92965
6.401, 6.92965
6.45, 6.92965
6.5, 6.92965
6.55, 6.92965
6.6, 6.92965
6.651, 6.92965
6.7, 6.92965
6.75, 6.92965
6.8, 6.92965
6.85, 6.92965
6.9, 6.92965
6.95, 6.92965
7, 6.92965
7.05, 6.92965
7.1, 6.92965
7.15, 6.92965
7.199, 6.92965
7.25, 6.92965
7.3, 6.92965
7.35, 6.92965
7.4, 6.92965
7.45, 6.92965
7.5, 6.92965
7.55, 6.92965
7.601, 6.92965
7.65, 6.92965
7.7, 6.92952
7.75, 6.92976
7.8, 6.92967
7.85, 6.92965
7.901, 6.92965
7.95, 6.92965
8, 6.92965
8.05, 6.92965
8.1, 6.92965
8.15, 6.92965
8.2, 6.92965
8.25, 6.92965
8.301, 6.92965
8.35, 6.92965
8.4, 6.92965
8.45, 6.92965
8.5, 6.92965
8.55, 6.92965
8.6, 6.92965
8.65, 6.92965
8.7, 6.92965
8.75, 6.92965
8.8, 6.92965
8.85, 6.92965
8.9, 6.92965
8.95, 6.92965
9, 6.92965
9.05, 6.92965
9.1, 6.92965
9.15, 6.92965
9.2, 6.92965
9.25, 6.92965
9.3, 6.92965
9.351, 6.92965
9.4, 6.92965
9.45, 6.92965
9.5, 6.92965
9.551, 6.92965
9.599, 6.92965
9.649, 6.92965
9.701, 6.92731
9.75, 6.91418
9.801, 6.9264
9.851, 6.92878
9.901, 6.92913
9.95, 6.92906
10, 6.92887
10.05, 6.92862
10.1, 6.92833
10.15, 6.92799
10.2, 6.92762
10.249, 6.92719
10.299, 6.92673
10.35, 6.92623
10.4, 6.92568
10.45, 6.92509
10.5, 6.92444
10.55, 6.92378
10.6, 6.92306
10.65, 6.9223
10.7, 6.92148
10.75, 6.92064
10.801, 6.91976
10.851, 6.91883
10.9, 6.91787
10.951, 6.91684
11, 6.91581
11.049, 6.91468
11.101, 6.91355
11.151, 6.91236
11.2, 6.91114
11.251, 6.90987
11.301, 6.90856
11.351, 6.90721
11.401, 6.90582
11.451, 6.90438
11.5, 6.90293
11.551, 6.90138
11.601, 6.89982
11.65, 6.89825
11.7, 6.90022
11.75, 6.92846
11.801, 6.90443
11.851, 6.90094
11.9, 6.90149
11.951, 6.90285
12.001, 6.90429
12.05, 6.90572
12.1, 6.90712
12.15, 6.90845
12.2, 6.90976
12.25, 6.91103
12.3, 6.91226
12.35, 6.91344
12.4, 6.91459
12.45, 6.91569
12.5, 6.91677
12.55, 6.91777
12.6, 6.91874
12.65, 6.91967
12.7, 6.92056
12.75, 6.92141
12.8, 6.92222
12.851, 6.923
12.9, 6.92372
12.951, 6.9244
13, 6.92502
13.051, 6.92563
13.1, 6.92618
13.15, 6.92669
13.2, 6.92715
13.251, 6.92758
13.301, 6.92796
13.351, 6.9283
13.4, 6.9286
13.45, 6.92886
13.5, 6.92907
13.55, 6.92924
13.601, 6.92937
13.65, 6.92945
13.701, 7.00185
13.75, 7.38024
13.8, 6.87503
13.851, 6.69395
13.9, 6.54576
13.95, 6.38178
14, 6.18604
14.05, 5.94386
14.1, 5.66789
14.151, 5.35047
14.2, 5.01296
14.25, 4.63801
14.301, 4.22594
14.35, 3.8041
14.4, 3.35029
14.45, 2.87541
14.5, 2.38236
14.55, 1.87411
14.6, 1.34052
14.651, 0.816368
14.701, 0.133765
14.75, -0.461977
14.8, 0.665124
14.85, 1.28253
14.9, 1.81244
14.95, 2.32252
15, 2.81803
15.05, 3.30167
15.101, 3.7632
15.15, 4.18442
15.2, 4.59617
15.25, 4.97231
15.3, 5.31693
15.35, 5.63155
15.4, 5.91139
15.45, 6.1548
15.501, 6.36398
15.551, 6.52958
15.6, 6.65292
15.65, 6.73822
15.7, 6.83942
15.75, 7.3673
15.8, 7.0257
15.85, 6.94909
15.9, 6.93352
15.95, 6.93042
16, 6.9298
16.05, 6.92968
16.1, 6.92965
16.15, 6.92965
16.199, 6.92965
16.25, 6.92965
16.3, 6.92965
16.35, 6.92965
16.4, 6.92965
16.45, 6.92965
16.5, 6.92965
16.55, 6.92965
16.6, 6.92965
16.65, 6.92965
16.7, 6.92965
16.75, 6.92965
16.8, 6.92965
16.85, 6.92965
16.9, 6.92965
16.95, 6.92965
17, 6.92965
17.05, 6.92965
17.1, 6.92965
17.15, 6.92965
17.2, 6.92965
17.25, 6.92965
17.3, 6.92965
17.35, 6.92965
17.4, 6.92965
17.45, 6.92965
17.5, 6.92965
17.55, 6.92965
17.6, 6.92965
