sim_time, one_dynamixel_simulation/joint1?0/velocity
20.534, -1.66978e-13
20.535, -1.66978e-13
20.536, -1.66978e-13
20.537, -1.66978e-13
20.538, -1.66978e-13
20.539, 2.41585e-13
20.54, 3.55271e-14
20.541, 3.37508e-14
20.542, 3.5527e-14
20.543, 3.37508e-14
20.544, 3.55271e-14
20.545, 3.37508e-14
20.546, 3.55271e-14
20.547, 3.37508e-14
20.548, 3.55271e-14
20.549, 3.37508e-14
20.55, 3.55271e-14
20.551, 3.37508e-14
20.552, 3.55271e-14
20.553, 3.37508e-14
20.554, 3.55271e-14
20.555, 3.37508e-14
20.556, 3.55271e-14
20.557, 3.37508e-14
20.558, 3.55271e-14
20.559, 3.37508e-14
20.56, 3.55271e-14
20.561, 3.37508e-14
20.562, -1.68754e-13
20.563, -1.66978e-13
20.564, -1.66978e-13
20.565, -1.66978e-13
20.566, -1.66978e-13
20.567, -1.66978e-13
20.568, 2.41585e-13
20.569, 3.55271e-14
20.57, 3.37508e-14
20.571, 3.5527e-14
20.572, 3.37508e-14
20.573, 3.55271e-14
20.574, 3.37508e-14
20.575, 3.55271e-14
20.576, 3.37508e-14
20.577, 3.55271e-14
20.578, 3.37508e-14
20.579, 3.55271e-14
20.58, 3.37508e-14
20.581, 3.55271e-14
20.582, 3.37508e-14
20.583, 3.55271e-14
20.584, 3.37508e-14
20.585, 3.55271e-14
20.586, 3.37508e-14
20.587, 3.55271e-14
20.588, 3.37508e-14
20.589, 3.55271e-14
20.59, 3.37508e-14
20.591, -1.68754e-13
20.592, -1.66978e-13
20.593, -1.66978e-13
20.594, -1.66978e-13
20.595, -1.66978e-13
20.596, -1.66978e-13
20.597, 2.41585e-13
20.598, 3.55271e-14
20.599, 3.37508e-14
20.6, 3.5527e-14
20.601, 3.37508e-14
20.602, 3.55271e-14
20.603, 3.37508e-14
20.604, 3.55271e-14
20.605, 3.37508e-14
20.606, 3.55271e-14
20.607, 3.37508e-14
20.608, 3.55271e-14
20.609, 3.37508e-14
20.61, 3.55271e-14
20.611, 3.37508e-14
20.612, 3.55271e-14
20.613, 3.37508e-14
20.614, 3.55271e-14
20.615, 3.37508e-14
20.616, 3.55271e-14
20.617, 3.37508e-14
20.618, 3.55271e-14
20.619, 3.37508e-14
20.62, -1.68754e-13
20.621, -1.66978e-13
20.622, -1.66978e-13
20.623, -1.66978e-13
20.624, -1.66978e-13
20.625, -1.66978e-13
20.626, 2.41585e-13
20.627, 3.55271e-14
20.628, 3.37508e-14
20.629, 3.5527e-14
20.63, 3.37508e-14
20.631, 3.55271e-14
20.632, 3.37508e-14
20.633, 3.55271e-14
20.634, 3.37508e-14
20.635, 3.55271e-14
20.636, 3.37508e-14
20.637, 3.55271e-14
20.638, 3.37508e-14
20.639, 3.55271e-14
20.64, 3.37508e-14
20.641, 3.55271e-14
20.642, 3.37508e-14
20.643, 3.55271e-14
20.644, 3.37508e-14
20.645, 3.55271e-14
20.646, 3.37508e-14
20.647, 3.55271e-14
20.648, 3.37508e-14
20.649, -1.68754e-13
20.65, -1.66978e-13
20.651, -1.66978e-13
20.652, -1.66978e-13
20.653, -1.66978e-13
20.654, -1.66978e-13
20.655, 2.41585e-13
20.656, 3.55271e-14
20.657, 3.37508e-14
20.658, 3.5527e-14
20.659, 3.37508e-14
20.66, 3.55271e-14
20.661, 3.37508e-14
20.662, 3.55271e-14
20.663, 3.37508e-14
20.664, 3.55271e-14
20.665, 3.37508e-14
20.666, 3.55271e-14
20.667, 3.37508e-14
20.668, 3.55271e-14
20.669, 3.37508e-14
20.67, 3.55271e-14
20.671, 3.37508e-14
20.672, 3.55271e-14
20.673, 3.37508e-14
20.674, 3.55271e-14
20.675, 3.37508e-14
20.676, 3.55271e-14
20.677, 3.37508e-14
20.678, -1.68754e-13
20.679, -1.66978e-13
20.68, -1.66978e-13
20.681, -1.66978e-13
20.682, -1.66978e-13
20.683, -1.66978e-13
20.684, 2.41585e-13
20.685, 3.55271e-14
20.686, 3.37508e-14
20.687, 3.5527e-14
20.688, 3.37508e-14
20.689, 3.55271e-14
20.69, 3.37508e-14
20.691, 3.55271e-14
20.692, 3.37508e-14
20.693, 3.55271e-14
20.694, 3.37508e-14
20.695, 3.55271e-14
20.696, 3.37508e-14
20.697, 3.55271e-14
20.698, 3.37508e-14
20.699, 3.55271e-14
