sim_time, one_dynamixel_simulation/joint1?0/velocity
13.147, -3.55271e-15
13.148, -3.55266e-15
13.149, -3.55277e-15
13.15, -3.55271e-15
13.151, -3.55266e-15
13.152, -3.55277e-15
13.153, -3.55271e-15
13.154, -3.55266e-15
13.155, -3.55277e-15
13.156, -3.55271e-15
13.157, -3.55266e-15
13.158, -3.55277e-15
13.159, -3.55271e-15
13.16, -3.55266e-15
13.161, -3.55277e-15
13.162, -3.55271e-15
13.163, -3.55266e-15
13.164, -3.55277e-15
13.165, -3.55271e-15
13.166, -3.55266e-15
13.167, -3.55277e-15
13.168, -3.55271e-15
13.169, -3.55266e-15
13.17, -3.55277e-15
13.171, -3.55271e-15
13.172, -3.55266e-15
13.173, -3.55277e-15
13.174, -3.55271e-15
13.175, -3.55266e-15
13.176, -3.55277e-15
13.177, -3.55271e-15
13.178, -3.55266e-15
13.179, -3.55277e-15
13.18, -3.55271e-15
13.181, -3.55266e-15
13.182, -3.55277e-15
13.183, -3.55271e-15
13.184, -3.55266e-15
13.185, -3.55277e-15
13.186, -3.55271e-15
13.187, -3.55266e-15
13.188, -3.55277e-15
13.189, -3.55271e-15
13.19, -3.55266e-15
13.191, -3.55277e-15
13.192, -3.55271e-15
13.193, -3.55266e-15
13.194, -3.55277e-15
13.195, -3.55271e-15
13.196, -3.55266e-15
13.197, -3.55277e-15
13.198, -3.55271e-15
13.199, -3.55266e-15
13.2, -3.55277e-15
13.201, -3.55271e-15
13.202, -3.55266e-15
13.203, -3.55277e-15
13.204, -3.55271e-15
13.205, -3.55266e-15
13.206, -3.55277e-15
13.207, -3.55271e-15
13.208, -3.55266e-15
13.209, 4.12115e-13
13.21, 2.06057e-13
13.211, 2.02505e-13
13.212, 2.02505e-13
13.213, -7.10537e-15
13.214, -3.55271e-15
13.215, -3.55266e-15
13.216, -3.55277e-15
13.217, -3.55271e-15
13.218, -3.55266e-15
13.219, -3.55277e-15
13.22, -3.55271e-15
13.221, -3.55266e-15
13.222, -3.55277e-15
13.223, -3.55271e-15
13.224, -3.55266e-15
13.225, -3.55277e-15
13.226, -3.55271e-15
13.227, -3.55266e-15
13.228, -3.55277e-15
13.229, -3.55271e-15
13.23, -3.55266e-15
13.231, -3.55277e-15
13.232, -3.55271e-15
13.233, -3.55266e-15
13.234, -3.55277e-15
13.235, -3.55271e-15
