sim_time, one_dynamixel_simulation/joint1?0/velocity
13.519, 3.05533e-13
13.52, 1.03029e-13
13.521, 1.03029e-13
13.522, 1.03029e-13
13.523, 1.03029e-13
13.524, 1.03029e-13
13.525, 1.03029e-13
13.526, 1.03029e-13
13.527, -1.06582e-13
13.528, -1.06582e-13
13.529, -1.06581e-13
13.53, -1.06581e-13
13.531, -1.06581e-13
13.532, -1.06581e-13
13.533, -1.06581e-13
13.534, -1.06581e-13
13.535, -1.06581e-13
13.536, -1.06581e-13
13.537, 3.05533e-13
13.538, 1.03029e-13
13.539, 1.03029e-13
13.54, 1.03029e-13
13.541, 1.03029e-13
13.542, 1.03029e-13
13.543, 1.03029e-13
13.544, 1.03029e-13
13.545, -1.06582e-13
13.546, -1.06582e-13
13.547, -1.06581e-13
13.548, -1.06581e-13
13.549, -1.06581e-13
13.55, -1.06581e-13
13.551, -1.06581e-13
13.552, -1.06581e-13
13.553, -1.06581e-13
13.554, 3.05533e-13
13.555, 1.03029e-13
13.556, 1.03029e-13
13.557, 1.03029e-13
13.558, 1.03029e-13
13.559, 1.03029e-13
13.56, 1.03029e-13
13.561, -1.06582e-13
13.562, -1.06581e-13
13.563, -1.06581e-13
13.564, -1.06581e-13
13.565, -1.06581e-13
13.566, -1.06581e-13
13.567, -1.06581e-13
13.568, -1.06581e-13
13.569, -1.06581e-13
13.57, 3.05533e-13
13.571, 1.03029e-13
13.572, 1.03029e-13
13.573, 1.03029e-13
13.574, 1.03029e-13
13.575, 1.03029e-13
13.576, 1.03029e-13
13.577, 1.03029e-13
13.578, -1.06582e-13
13.579, -1.06582e-13
13.58, -1.06581e-13
13.581, -1.06581e-13
13.582, -1.06581e-13
13.583, -1.06581e-13
13.584, -1.06581e-13
13.585, -1.06581e-13
13.586, -1.06581e-13
13.587, -1.06581e-13
13.588, 3.05533e-13
13.589, 1.03029e-13
13.59, 1.03029e-13
13.591, 1.03029e-13
13.592, 1.03029e-13
13.593, 1.03029e-13
13.594, 1.03029e-13
13.595, 1.03029e-13
13.596, -1.06582e-13
13.597, -1.06582e-13
13.598, -1.06581e-13
13.599, -1.06581e-13
13.6, -1.06581e-13
13.601, -1.06581e-13
13.602, -1.06581e-13
13.603, -1.06581e-13
13.604, -1.06581e-13
13.605, 3.05533e-13
13.606, 1.03029e-13
13.607, 1.03029e-13
13.608, 1.03029e-13
13.609, 1.03029e-13
13.61, 1.03029e-13
13.611, 1.03029e-13
13.612, -1.06582e-13
13.613, -1.06581e-13
13.614, -1.06581e-13
13.615, -1.06581e-13
13.616, -1.06581e-13
13.617, -1.06581e-13
13.618, -1.06581e-13
13.619, -1.06581e-13
13.62, -1.06581e-13
13.621, 3.05533e-13
13.622, 1.03029e-13
