sim_time, one_dynamixel_simulation/joint1?0/velocity
17.928, -1.06581e-14
17.929, -1.06581e-14
17.93, -1.06581e-14
17.931, -1.06581e-14
17.932, -1.06581e-14
17.933, -1.06581e-14
17.934, -1.06581e-14
17.935, -1.06581e-14
17.936, -1.06581e-14
17.937, -1.06581e-14
17.938, -1.06581e-14
17.939, -1.06581e-14
17.94, -1.06581e-14
17.941, -1.06581e-14
17.942, -1.06581e-14
17.943, -1.06581e-14
17.944, -1.06581e-14
17.945, -1.06581e-14
17.946, -1.06581e-14
17.947, -1.06581e-14
17.948, -1.06581e-14
17.949, 4.08562e-13
17.95, 1.98952e-13
17.951, 1.95399e-13
17.952, 1.95399e-13
17.953, -1.06581e-14
17.954, -1.06581e-14
17.955, -1.06581e-14
17.956, -1.06581e-14
17.957, -1.06581e-14
17.958, -1.06581e-14
17.959, -1.06581e-14
17.96, -1.06581e-14
17.961, -1.06581e-14
17.962, -1.06581e-14
17.963, -1.06581e-14
17.964, -1.06581e-14
17.965, -1.06581e-14
17.966, -1.06581e-14
17.967, -1.06581e-14
17.968, -1.06581e-14
17.969, -1.06581e-14
17.97, -1.06581e-14
17.971, -1.06581e-14
17.972, -1.06581e-14
17.973, -1.06581e-14
17.974, -1.06581e-14
17.975, -1.06581e-14
17.976, -1.06581e-14
17.977, -1.06581e-14
17.978, -1.06581e-14
17.979, -1.06581e-14
17.98, -1.06581e-14
17.981, -1.06581e-14
17.982, -1.06581e-14
17.983, -1.06581e-14
17.984, -1.06581e-14
17.985, -1.06581e-14
17.986, -1.06581e-14
17.987, -1.06581e-14
17.988, -1.06581e-14
17.989, -1.06581e-14
17.99, -1.06581e-14
17.991, -1.06581e-14
17.992, -1.06581e-14
17.993, -1.06581e-14
17.994, -1.06581e-14
17.995, -1.06581e-14
17.996, -1.06581e-14
17.997, -1.06581e-14
17.998, -1.06581e-14
17.999, -1.06581e-14
18, -1.06581e-14
18.001, -1.06581e-14
18.002, -1.06581e-14
18.003, -1.06581e-14
18.004, -1.06581e-14
18.005, -1.06581e-14
18.006, -1.06581e-14
18.007, -1.06581e-14
18.008, -1.06581e-14
18.009, -1.06581e-14
18.01, -1.06581e-14
18.011, -1.06581e-14
18.012, -1.06581e-14
18.013, -1.06581e-14
18.014, -1.06581e-14
18.015, -1.06581e-14
18.016, -1.06581e-14
18.017, -1.06581e-14
18.018, -1.06581e-14
18.019, -1.06581e-14
18.02, -1.06581e-14
18.021, -1.06581e-14
18.022, -1.06581e-14
18.023, -1.06581e-14
