sim_time, one_dynamixel_simulation/joint1?0/velocity
15.134, 7.10543e-14
15.135, -1.3145e-13
15.136, -1.33227e-13
15.137, -1.33227e-13
15.138, -1.33227e-13
15.139, -1.33227e-13
15.14, -1.33227e-13
15.141, -1.33227e-13
15.142, 2.77112e-13
15.143, 7.28306e-14
15.144, 7.10543e-14
15.145, 7.10543e-14
15.146, 7.10543e-14
15.147, 7.10543e-14
15.148, 7.10543e-14
15.149, 7.10543e-14
15.15, 7.10543e-14
15.151, 7.10543e-14
15.152, -1.3145e-13
15.153, -1.33227e-13
15.154, -1.33227e-13
15.155, -1.33227e-13
15.156, -1.33227e-13
15.157, -1.33227e-13
15.158, -1.33227e-13
15.159, 2.77112e-13
15.16, 7.28306e-14
15.161, 7.10543e-14
15.162, 7.10543e-14
15.163, 7.10543e-14
15.164, 7.10543e-14
15.165, 7.10543e-14
15.166, 7.10543e-14
15.167, 7.10543e-14
15.168, 7.10543e-14
15.169, -1.3145e-13
15.17, -1.33227e-13
15.171, -1.33227e-13
15.172, -1.33227e-13
15.173, -1.33227e-13
15.174, -1.33227e-13
15.175, -1.33227e-13
15.176, 2.77112e-13
15.177, 7.28306e-14
15.178, 7.10543e-14
15.179, 7.10543e-14
15.18, 7.10543e-14
15.181, 7.10543e-14
15.182, 7.10543e-14
15.183, 7.10543e-14
15.184, 7.10543e-14
15.185, 7.10543e-14
15.186, -1.3145e-13
15.187, -1.33227e-13
15.188, -1.33227e-13
15.189, -1.33227e-13
15.19, -1.33227e-13
15.191, -1.33227e-13
15.192, -1.33227e-13
15.193, 2.77112e-13
15.194, 7.28306e-14
15.195, 7.10543e-14
15.196, 7.10543e-14
15.197, 7.10543e-14
15.198, 7.10543e-14
15.199, 7.10543e-14
15.2, 7.10543e-14
15.201, 7.10543e-14
15.202, 7.10543e-14
15.203, 7.10543e-14
15.204, -1.3145e-13
15.205, -1.33227e-13
15.206, -1.33227e-13
15.207, -1.33227e-13
15.208, -1.33227e-13
15.209, -1.33227e-13
15.21, -1.33227e-13
15.211, -1.33227e-13
15.212, 2.77112e-13
15.213, 7.28306e-14
15.214, 7.10543e-14
15.215, 7.10543e-14
15.216, 7.10543e-14
15.217, 7.10543e-14
15.218, 7.10543e-14
15.219, 7.10543e-14
15.22, 7.10543e-14
15.221, 7.10543e-14
15.222, 7.10543e-14
15.223, 7.10543e-14
15.224, -1.3145e-13
15.225, -1.33227e-13
15.226, -1.33227e-13
15.227, -1.33227e-13
15.228, -1.33227e-13
15.229, -1.33227e-13
15.23, -1.33227e-13
15.231, -1.33227e-13
15.232, 2.77112e-13
15.233, 7.28306e-14
15.234, 7.10543e-14
15.235, 7.10543e-14
15.236, 7.10543e-14
15.237, 7.10543e-14
15.238, 7.10543e-14
15.239, 7.10543e-14
15.24, 7.10543e-14
15.241, 7.10543e-14
15.242, 7.10543e-14
15.243, 7.10543e-14
15.244, -1.3145e-13
15.245, -1.33227e-13
15.246, -1.33227e-13
15.247, -1.33227e-13
15.248, -1.33227e-13
15.249, -1.33227e-13
15.25, -1.33227e-13
15.251, 2.77112e-13
15.252, 7.28306e-14
15.253, 7.10543e-14
15.254, 7.10543e-14
15.255, 7.10543e-14
15.256, 7.10543e-14
15.257, 7.10543e-14
15.258, 7.10543e-14
15.259, 7.10543e-14
15.26, 7.10543e-14
15.261, -1.3145e-13
15.262, -1.33227e-13
15.263, -1.33227e-13
15.264, -1.33227e-13
15.265, -1.33227e-13
15.266, -1.33227e-13
15.267, -1.33227e-13
15.268, 2.77112e-13
15.269, 7.28306e-14
15.27, 7.10543e-14
15.271, 7.10543e-14
15.272, 7.10543e-14
15.273, 7.10543e-14
15.274, 7.10543e-14
15.275, 7.10543e-14
15.276, 7.10543e-14
15.277, 7.10543e-14
15.278, -1.3145e-13
15.279, -1.33227e-13
15.28, -1.33227e-13
15.281, -1.33227e-13
15.282, -1.33227e-13
15.283, -1.33227e-13
15.284, -1.33227e-13
15.285, 2.77112e-13
15.286, 7.28306e-14
15.287, 7.10543e-14
15.288, 7.10543e-14
15.289, 7.10543e-14
15.29, 7.10543e-14
15.291, 7.10543e-14
15.292, 7.10543e-14
15.293, 7.10543e-14
15.294, 7.10543e-14
15.295, -1.3145e-13
15.296, -1.33227e-13
15.297, -1.33227e-13
