sim_time, one_dynamixel_simulation/joint1?0/position
3.778, 0.00374903
3.779, 0.00374903
3.78, 0.00374903
3.781, 0.00374903
3.782, 0.00374903
3.783, 0.00374903
3.784, 0.00374903
3.785, 0.00374903
3.786, 0.00374903
3.787, 0.00374903
3.788, 0.00374903
3.789, 0.00374903
3.79, 0.00374903
3.791, 0.00374903
3.792, 0.00374903
3.793, 0.00374903
3.794, 0.00374903
3.795, 0.00374903
3.796, 0.00374903
3.797, 0.00374903
3.798, 0.00374903
3.799, 0.00374903
3.8, 0.00374903
3.801, 0.00374903
3.802, 0.00374903
3.803, 0.00374903
3.804, 0.00374903
3.805, 0.00374903
3.806, 0.00374903
3.807, 0.00374903
3.808, 0.00374903
3.809, 0.00374903
3.81, 0.00374903
3.811, 0.00374903
3.812, 0.00374903
3.813, 0.00374903
3.814, 0.00374903
3.815, 0.00374903
3.816, 0.00374903
3.817, 0.00374903
3.818, 0.00374903
3.819, 0.00374903
3.82, 0.00374903
3.821, 0.00374903
3.822, 0.00374903
3.823, 0.00374903
3.824, 0.00374903
3.825, 0.00374903
3.826, 0.00374903
3.827, 0.00374903
3.828, 0.00374903
3.829, 0.00374903
3.83, 0.00374903
3.831, 0.00374903
3.832, 0.00374903
3.833, 0.00374903
3.834, 0.00374903
3.835, 0.00374903
3.836, 0.00374903
3.837, 0.00374903
3.838, 0.00374903
3.839, 0.00374903
3.84, 0.00374903
3.841, 0.00374903
3.842, 0.00374903
3.843, 0.00374903
3.844, 0.00374903
3.845, 0.00374903
3.846, 0.00374903
3.847, 0.00374903
3.848, 0.00374903
3.849, 0.00374903
3.85, 0.00374903
3.851, 0.00374903
3.852, 0.00374903
3.853, 0.00374903
3.854, 0.00374903
3.855, 0.00374903
3.856, 0.00374903
3.857, 0.00374903
3.858, 0.00374903
3.859, 0.00374903
3.86, 0.00374903
3.861, 0.00374903
3.862, 0.00374903
3.863, 0.00374903
3.864, 0.00374903
3.865, 0.00374903
3.866, 0.00374903
3.867, 0.00374903
3.868, 0.00374903
3.869, 0.00374903
3.87, 0.00374903
3.871, 0.00374903
3.872, 0.00374903
3.873, 0.00374903
3.874, 0.00374903
3.875, 0.00374903
3.876, 0.00374903
3.877, 0.00374903
3.878, 0.00374903
3.879, 0.00374903
3.88, 0.00374903
3.881, 0.00374903
3.882, 0.00374903
3.883, 0.00374903
