sim_time, one_dynamixel_simulation/joint1?0/velocity
3.778, -9.59233e-14
3.779, -9.59233e-14
3.78, -9.59233e-14
3.781, -9.59233e-14
3.782, -9.59233e-14
3.783, -9.59233e-14
3.784, -9.59233e-14
3.785, 3.16192e-13
3.786, 1.10134e-13
3.787, 1.10134e-13
3.788, 1.10134e-13
3.789, 1.10134e-13
3.79, 1.10134e-13
3.791, 1.10134e-13
3.792, -9.59234e-14
3.793, -9.59233e-14
3.794, -9.59233e-14
3.795, -9.59233e-14
3.796, -9.59233e-14
3.797, -9.59233e-14
3.798, -9.59233e-14
3.799, -9.59233e-14
3.8, -9.59233e-14
3.801, -9.59233e-14
3.802, 3.16192e-13
3.803, 1.10134e-13
3.804, 1.10134e-13
3.805, 1.10134e-13
3.806, 1.10134e-13
3.807, 1.10134e-13
3.808, 1.10134e-13
3.809, -9.59234e-14
3.81, -9.59233e-14
3.811, -9.59233e-14
3.812, -9.59233e-14
3.813, -9.59233e-14
3.814, -9.59233e-14
3.815, -9.59233e-14
3.816, -9.59233e-14
3.817, -9.59233e-14
3.818, -9.59233e-14
3.819, -9.59233e-14
3.82, 3.16192e-13
3.821, 1.10134e-13
3.822, 1.10134e-13
3.823, 1.10134e-13
3.824, 1.10134e-13
3.825, 1.10134e-13
3.826, 1.10134e-13
3.827, -9.59234e-14
3.828, -9.59233e-14
3.829, -9.59233e-14
3.83, -9.59233e-14
3.831, -9.59233e-14
3.832, -9.59233e-14
3.833, -9.59233e-14
3.834, -9.59233e-14
3.835, -9.59233e-14
3.836, -9.59233e-14
3.837, 3.16192e-13
3.838, 1.10134e-13
3.839, 1.10134e-13
3.84, 1.10134e-13
3.841, 1.10134e-13
3.842, 1.10134e-13
3.843, 1.10134e-13
3.844, -9.59234e-14
3.845, -9.59233e-14
3.846, -9.59233e-14
3.847, -9.59233e-14
3.848, -9.59233e-14
3.849, -9.59233e-14
3.85, -9.59233e-14
3.851, -9.59233e-14
3.852, -9.59233e-14
3.853, -9.59233e-14
3.854, 3.16192e-13
3.855, 1.10134e-13
3.856, 1.10134e-13
3.857, 1.10134e-13
3.858, 1.10134e-13
3.859, 1.10134e-13
3.86, 1.10134e-13
3.861, -9.59234e-14
3.862, -9.59233e-14
3.863, -9.59233e-14
3.864, -9.59233e-14
3.865, -9.59233e-14
3.866, -9.59233e-14
3.867, -9.59233e-14
3.868, -9.59233e-14
3.869, -9.59233e-14
3.87, -9.59233e-14
3.871, 3.16192e-13
3.872, 1.10134e-13
3.873, 1.10134e-13
3.874, 1.10134e-13
3.875, 1.10134e-13
3.876, 1.10134e-13
3.877, 1.10134e-13
3.878, -9.59234e-14
3.879, -9.59233e-14
3.88, -9.59233e-14
3.881, -9.59233e-14
3.882, -9.59233e-14
3.883, -9.59233e-14
3.884, -9.59233e-14
3.885, -9.59233e-14
3.886, -9.59233e-14
3.887, -9.59233e-14
3.888, 3.16192e-13
3.889, 1.10134e-13
3.89, 1.10134e-13
3.891, 1.10134e-13
3.892, 1.10134e-13
3.893, 1.10134e-13
3.894, 1.10134e-13
3.895, -9.59234e-14
3.896, -9.59233e-14
3.897, -9.59233e-14
3.898, -9.59233e-14
3.899, -9.59233e-14
3.9, -9.59233e-14
3.901, -9.59233e-14
3.902, -9.59233e-14
3.903, -9.59233e-14
3.904, -9.59233e-14
3.905, -9.59233e-14
3.906, 3.16192e-13
3.907, 1.10134e-13
3.908, 1.10134e-13
3.909, 1.10134e-13
3.91, 1.10134e-13
3.911, 1.10134e-13
3.912, 1.10134e-13
3.913, -9.59234e-14
3.914, -9.59233e-14
3.915, -9.59233e-14
3.916, -9.59233e-14
3.917, -9.59233e-14
3.918, -9.59233e-14
3.919, -9.59233e-14
3.92, -9.59233e-14
3.921, -9.59233e-14
3.922, -9.59233e-14
3.923, 3.16192e-13
3.924, 1.10134e-13
3.925, 1.10134e-13
3.926, 1.10134e-13
3.927, 1.10134e-13
3.928, 1.10134e-13
3.929, 1.10134e-13
3.93, -9.59234e-14
3.931, -9.59233e-14
3.932, -9.59233e-14
3.933, -9.59233e-14
3.934, -9.59233e-14
3.935, -9.59233e-14
3.936, -9.59233e-14
3.937, -9.59233e-14
3.938, -9.59233e-14
3.939, -9.59233e-14
3.94, 3.16192e-13
3.941, 1.10134e-13
