sim_time, one_dynamixel_simulation/joint1?0/position
9.06, 0.00148782
9.061, 0.00148782
9.062, 0.00148782
9.063, 0.00148782
9.064, 0.00148782
9.065, 0.00148782
9.066, 0.00148782
9.067, 0.00148782
9.068, 0.00148782
9.069, 0.00148782
9.07, 0.00148782
9.071, 0.00148782
9.072, 0.00148782
9.073, 0.00148782
9.074, 0.00148782
9.075, 0.00148782
9.076, 0.00148782
9.077, 0.00148782
9.078, 0.00148782
9.079, 0.00148782
9.08, 0.00148782
9.081, 0.00148782
9.082, 0.00148782
9.083, 0.00148782
9.084, 0.00148782
9.085, 0.00148782
9.086, 0.00148782
9.087, 0.00148782
9.088, 0.00148782
9.089, 0.00148782
9.09, 0.00148782
9.091, 0.00148782
9.092, 0.00148782
9.093, 0.00148782
9.094, 0.00148782
9.095, 0.00148782
9.096, 0.00148782
9.097, 0.00148782
9.098, 0.00148782
9.099, 0.00148782
9.1, 0.00148782
9.101, 0.00148782
9.102, 0.00148782
9.103, 0.00148782
9.104, 0.00148782
9.105, 0.00148782
9.106, 0.00148782
9.107, 0.00148782
9.108, 0.00148782
9.109, 0.00148782
9.11, 0.00148782
9.111, 0.00148782
9.112, 0.00148782
9.113, 0.00148782
9.114, 0.00148782
9.115, 0.00148782
9.116, 0.00148782
9.117, 0.00148782
9.118, 0.00148782
9.119, 0.00148782
9.12, 0.00148782
9.121, 0.00148782
9.122, 0.00148782
9.123, 0.00148782
9.124, 0.00148782
9.125, 0.00148782
9.126, 0.00148782
9.127, 0.00148782
9.128, 0.00148782
9.129, 0.00148782
9.13, 0.00148782
9.131, 0.00148782
9.132, 0.00148782
9.133, 0.00148782
9.134, 0.00148782
9.135, 0.00148782
9.136, 0.00148782
9.137, 0.00148782
9.138, 0.00148782
9.139, 0.00148782
9.14, 0.00148782
9.141, 0.00148782
9.142, 0.00148782
9.143, 0.00148782
9.144, 0.00148782
9.145, 0.00148782
9.146, 0.00148782
9.147, 0.00148782
9.148, 0.00148782
9.149, 0.00148782
9.15, 0.00148782
9.151, 0.00148782
9.152, 0.00148782
9.153, 0.00148782
9.154, 0.00148782
9.155, 0.00148782
9.156, 0.00148782
9.157, 0.00148782
9.158, 0.00148782
9.159, 0.00148782
9.16, 0.00148782
9.161, 0.00148782
9.162, 0.00148782
9.163, 0.00148782
9.164, 0.00148782
9.165, 0.00148782
9.166, 0.00148782
9.167, 0.00148782
9.168, 0.00148782
9.169, 0.00148782
9.17, 0.00148782
9.171, 0.00148782
9.172, 0.00148782
9.173, 0.00148782
9.174, 0.00148782
9.175, 0.00148782
9.176, 0.00148782
9.177, 0.00148782
9.178, 0.00148782
9.179, 0.00148782
9.18, 0.00148782
9.181, 0.00148782
9.182, 0.00148782
9.183, 0.00148782
9.184, 0.00148782
9.185, 0.00148782
9.186, 0.00148782
9.187, 0.00148782
9.188, 0.00148782
9.189, 0.00148782
9.19, 0.00148782
9.191, 0.00148782
9.192, 0.00148782
9.193, 0.00148782
9.194, 0.00148782
9.195, 0.00148782
9.196, 0.00148782
9.197, 0.00148782
9.198, 0.00148782
9.199, 0.00148782
9.2, 0.00148782
9.201, 0.00148782
9.202, 0.00148782
9.203, 0.00148782
9.204, 0.00148782
9.205, 0.00148782
9.206, 0.00148782
9.207, 0.00148782
9.208, 0.00148782
9.209, 0.00148782
9.21, 0.00148782
9.211, 0.00148782
9.212, 0.00148782
9.213, 0.00148782
9.214, 0.00148782
9.215, 0.00148782
9.216, 0.00148782
9.217, 0.00148782
9.218, 0.00148782
9.219, 0.00148782
9.22, 0.00148782
9.221, 0.00148782
9.222, 0.00148782
9.223, 0.00148782
9.224, 0.00148782
9.225, 0.00148782
9.226, 0.00148782
9.227, 0.00148782
9.228, 0.00148782
9.229, 0.00148782
9.23, 0.00148782
9.231, 0.00148782
9.232, 0.00148782
9.233, 0.00148782
9.234, 0.00148782
9.235, 0.00148782
9.236, 0.00148782
9.237, 0.00148782
9.238, 0.00148782
9.239, 0.00148782
9.24, 0.00148782
9.241, 0.00148782
9.242, 0.00148782
9.243, 0.00148782
9.244, 0.00148782
9.245, 0.00148782
9.246, 0.00148782
9.247, 0.00148782
9.248, 0.00148782
9.249, 0.00148782
9.25, 0.00148782
9.251, 0.00148782
9.252, 0.00148782
9.253, 0.00148782
9.254, 0.00148782
