sim_time, one_dynamixel_simulation/joint1?0/velocity
6.738, -8.52651e-14
6.739, -7.81597e-14
6.74, -8.52651e-14
6.741, -7.81597e-14
6.742, -8.52651e-14
6.743, -7.81597e-14
6.744, -8.52651e-14
6.745, -7.81597e-14
6.746, -8.52651e-14
6.747, -7.81597e-14
6.748, -8.52651e-14
6.749, 3.2685e-13
6.75, 1.1724e-13
6.751, 1.24345e-13
6.752, 1.1724e-13
6.753, 1.24345e-13
6.754, 1.1724e-13
6.755, -8.17124e-14
6.756, -8.52651e-14
6.757, -7.81597e-14
6.758, -8.52651e-14
6.759, -7.81597e-14
6.76, -8.52651e-14
6.761, -7.81597e-14
6.762, -8.52651e-14
6.763, -7.81597e-14
6.764, -8.52651e-14
6.765, -7.81597e-14
6.766, -8.52651e-14
6.767, 3.2685e-13
6.768, 1.1724e-13
6.769, 1.24345e-13
6.77, 1.1724e-13
6.771, 1.24345e-13
6.772, 1.1724e-13
6.773, 1.24345e-13
6.774, -7.81597e-14
6.775, -8.52651e-14
6.776, -7.81597e-14
6.777, -8.52651e-14
6.778, -7.81597e-14
6.779, -8.52651e-14
6.78, -7.81597e-14
6.781, -8.52651e-14
6.782, -7.81597e-14
6.783, -8.52651e-14
6.784, -7.81597e-14
6.785, -8.52651e-14
6.786, -7.81597e-14
6.787, 3.23297e-13
6.788, 1.24345e-13
6.789, 1.1724e-13
6.79, 1.24345e-13
6.791, 1.1724e-13
6.792, 1.24345e-13
6.793, 1.1724e-13
6.794, -8.17124e-14
6.795, -8.52651e-14
6.796, -7.81597e-14
6.797, -8.52651e-14
6.798, -7.81597e-14
6.799, -8.52651e-14
6.8, -7.81597e-14
6.801, -8.52651e-14
6.802, -7.81597e-14
6.803, -8.52651e-14
6.804, -7.81597e-14
6.805, -8.52651e-14
6.806, 3.2685e-13
6.807, 1.1724e-13
6.808, 1.24345e-13
6.809, 1.1724e-13
6.81, 1.24345e-13
6.811, 1.1724e-13
6.812, -8.17124e-14
6.813, -8.52651e-14
6.814, -7.81597e-14
6.815, -8.52651e-14
6.816, -7.81597e-14
6.817, -8.52651e-14
6.818, -7.81597e-14
6.819, -8.52651e-14
6.82, -7.81597e-14
6.821, -8.52651e-14
6.822, -7.81597e-14
6.823, -8.52651e-14
6.824, 3.2685e-13
6.825, 1.1724e-13
6.826, 1.24345e-13
6.827, 1.1724e-13
6.828, 1.24345e-13
6.829, 1.1724e-13
6.83, 1.24345e-13
6.831, -7.81597e-14
6.832, -8.52651e-14
6.833, -7.81597e-14
6.834, -8.52651e-14
6.835, -7.81597e-14
6.836, -8.52651e-14
6.837, -7.81597e-14
6.838, -8.52651e-14
6.839, -7.81597e-14
6.84, -8.52651e-14
6.841, -7.81597e-14
6.842, -8.52651e-14
6.843, -7.81597e-14
6.844, 3.23297e-13
6.845, 1.24345e-13
6.846, 1.1724e-13
6.847, 1.24345e-13
6.848, 1.1724e-13
6.849, 1.24345e-13
6.85, 1.1724e-13
6.851, -8.17124e-14
6.852, -8.52651e-14
6.853, -7.81597e-14
6.854, -8.52651e-14
6.855, -7.81597e-14
6.856, -8.52651e-14
6.857, -7.81597e-14
6.858, -8.52651e-14
6.859, -7.81597e-14
6.86, -8.52651e-14
6.861, -7.81597e-14
6.862, -8.52651e-14
6.863, 3.2685e-13
6.864, 1.1724e-13
6.865, 1.24345e-13
6.866, 1.1724e-13
6.867, 1.24345e-13
6.868, 1.1724e-13
6.869, -8.17124e-14
6.87, -8.52651e-14
6.871, -7.81597e-14
6.872, -8.52651e-14
6.873, -7.81597e-14
6.874, -8.52651e-14
6.875, -7.81597e-14
6.876, -8.52651e-14
6.877, -7.81597e-14
6.878, -8.52651e-14
6.879, -7.81597e-14
6.88, -8.52651e-14
6.881, 3.2685e-13
6.882, 1.1724e-13
6.883, 1.24345e-13
6.884, 1.1724e-13
6.885, 1.24345e-13
6.886, 1.1724e-13
6.887, 1.24345e-13
6.888, -7.81597e-14
6.889, -8.52651e-14
6.89, -7.81597e-14
6.891, -8.52651e-14
6.892, -7.81597e-14
6.893, -8.52651e-14
6.894, -7.81597e-14
6.895, -8.52651e-14
6.896, -7.81597e-14
6.897, -8.52651e-14
6.898, -7.81597e-14
6.899, -8.52651e-14
6.9, -7.81597e-14
6.901, 3.23297e-13
6.902, 1.24345e-13
6.903, 1.1724e-13
6.904, 1.24345e-13
6.905, 1.1724e-13
6.906, 1.24345e-13
6.907, 1.1724e-13
6.908, -8.17124e-14
6.909, -8.52651e-14
6.91, -7.81597e-14
6.911, -8.52651e-14
6.912, -7.81597e-14
6.913, -8.52651e-14
6.914, -7.81597e-14
6.915, -8.52651e-14
6.916, -7.81597e-14
6.917, -8.52651e-14
6.918, -7.81597e-14
6.919, -8.52651e-14
6.92, 3.2685e-13
6.921, 1.1724e-13
6.922, 1.24345e-13
6.923, 1.1724e-13
6.924, 1.24345e-13
6.925, 1.1724e-13
6.926, -8.17124e-14
6.927, -8.52651e-14
6.928, -7.81597e-14
6.929, -8.52651e-14
6.93, -7.81597e-14
6.931, -8.52651e-14
6.932, -7.81597e-14
6.933, -8.52651e-14
