sim_time, one_dynamixel_simulation/joint1?0/velocity
14.074, 1.20792e-13
14.075, 1.20792e-13
14.076, 1.20792e-13
14.077, 1.20792e-13
14.078, -8.34888e-14
14.079, -8.17124e-14
14.08, -8.52651e-14
14.081, -8.34888e-14
14.082, -8.17124e-14
14.083, -8.52651e-14
14.084, -8.34888e-14
14.085, -8.17124e-14
14.086, -8.52651e-14
14.087, -8.34888e-14
14.088, -8.17124e-14
14.089, -8.52651e-14
14.09, 3.2685e-13
14.091, 1.20792e-13
14.092, 1.20792e-13
14.093, 1.20792e-13
14.094, 1.20792e-13
14.095, 1.20792e-13
14.096, -8.34888e-14
14.097, -8.17124e-14
14.098, -8.52651e-14
14.099, -8.34888e-14
14.1, -8.17124e-14
14.101, -8.52651e-14
14.102, -8.34888e-14
14.103, -8.17124e-14
14.104, -8.52651e-14
14.105, -8.34888e-14
14.106, -8.17124e-14
14.107, 3.25073e-13
14.108, 1.20792e-13
14.109, 1.20792e-13
14.11, 1.20792e-13
14.111, 1.20792e-13
14.112, 1.20792e-13
14.113, -8.34888e-14
14.114, -8.17124e-14
14.115, -8.52651e-14
14.116, -8.34888e-14
14.117, -8.17124e-14
14.118, -8.52651e-14
14.119, -8.34888e-14
14.12, -8.17124e-14
14.121, -8.52651e-14
14.122, -8.34888e-14
14.123, -8.17124e-14
14.124, -8.52651e-14
14.125, 3.2685e-13
14.126, 1.20792e-13
14.127, 1.20792e-13
14.128, 1.20792e-13
14.129, 1.20792e-13
14.13, 1.20792e-13
14.131, 1.20792e-13
14.132, -8.34888e-14
14.133, -8.17124e-14
14.134, -8.52651e-14
14.135, -8.34888e-14
14.136, -8.17124e-14
14.137, -8.52651e-14
14.138, -8.34888e-14
14.139, -8.17124e-14
14.14, -8.52651e-14
14.141, -8.34888e-14
14.142, -8.17124e-14
14.143, -8.52651e-14
14.144, 3.2685e-13
14.145, 1.20792e-13
14.146, 1.20792e-13
14.147, 1.20792e-13
14.148, 1.20792e-13
14.149, 1.20792e-13
14.15, -8.34888e-14
14.151, -8.17124e-14
14.152, -8.52651e-14
14.153, -8.34888e-14
14.154, -8.17124e-14
14.155, -8.52651e-14
14.156, -8.34888e-14
14.157, -8.17124e-14
14.158, -8.52651e-14
14.159, -8.34888e-14
14.16, -8.17124e-14
14.161, 3.25073e-13
14.162, 1.20792e-13
14.163, 1.20792e-13
14.164, 1.20792e-13
14.165, 1.20792e-13
14.166, 1.20792e-13
14.167, -8.34888e-14
14.168, -8.17124e-14
14.169, -8.52651e-14
14.17, -8.34888e-14
14.171, -8.17124e-14
14.172, -8.52651e-14
14.173, -8.34888e-14
14.174, -8.17124e-14
14.175, -8.52651e-14
14.176, -8.34888e-14
14.177, -8.17124e-14
14.178, 3.25073e-13
14.179, 1.20792e-13
14.18, 1.20792e-13
14.181, 1.20792e-13
14.182, 1.20792e-13
14.183, 1.20792e-13
14.184, -8.34888e-14
14.185, -8.17124e-14
14.186, -8.52651e-14
14.187, -8.34888e-14
14.188, -8.17124e-14
14.189, -8.52651e-14
14.19, -8.34888e-14
14.191, -8.17124e-14
14.192, -8.52651e-14
14.193, -8.34888e-14
14.194, -8.17124e-14
14.195, -8.52651e-14
14.196, 3.2685e-13
14.197, 1.20792e-13
14.198, 1.20792e-13
14.199, 1.20792e-13
14.2, 1.20792e-13
14.201, 1.20792e-13
14.202, 1.20792e-13
14.203, -8.34888e-14
