sim_time, one_dynamixel_simulation/joint1?0/position
2.962, 0.00399461
2.963, 0.00399461
2.964, 0.00399461
2.965, 0.00399461
2.966, 0.00399461
2.967, 0.00399461
2.968, 0.00399461
2.969, 0.00399461
2.97, 0.00399461
2.971, 0.00399461
2.972, 0.00399461
2.973, 0.00399461
2.974, 0.00399461
2.975, 0.00399461
2.976, 0.00399461
2.977, 0.00399461
2.978, 0.00399461
2.979, 0.00399461
2.98, 0.00399461
2.981, 0.00399461
2.982, 0.00399461
2.983, 0.00399461
2.984, 0.00399461
2.985, 0.00399461
2.986, 0.00399461
2.987, 0.00399461
2.988, 0.00399461
2.989, 0.00399461
2.99, 0.00399461
2.991, 0.00399461
2.992, 0.00399461
2.993, 0.00399461
2.994, 0.00399461
2.995, 0.00399461
2.996, 0.00399461
2.997, 0.00399461
2.998, 0.00399461
2.999, 0.00399461
3, 0.00399461
3.001, 0.00399461
3.002, 0.00399461
3.003, 0.00399461
3.004, 0.00399461
3.005, 0.00399461
3.006, 0.00399461
3.007, 0.00399461
3.008, 0.00399461
3.009, 0.00399461
3.01, 0.00399461
3.011, 0.00399461
3.012, 0.00399461
3.013, 0.00399461
3.014, 0.00399461
3.015, 0.00399461
3.016, 0.00399461
3.017, 0.00399461
3.018, 0.00399461
3.019, 0.00399461
3.02, 0.00399461
3.021, 0.00399461
3.022, 0.00399461
3.023, 0.00399461
3.024, 0.00399461
3.025, 0.00399461
3.026, 0.00399461
3.027, 0.00399461
3.028, 0.00399461
3.029, 0.00399461
3.03, 0.00399461
3.031, 0.00399461
3.032, 0.00399461
3.033, 0.00399461
3.034, 0.00399461
3.035, 0.00399461
3.036, 0.00399461
3.037, 0.00399461
3.038, 0.00399461
3.039, 0.00399461
3.04, 0.00399461
3.041, 0.00399461
3.042, 0.00399461
3.043, 0.00399461
3.044, 0.00399461
3.045, 0.00399461
3.046, 0.00399461
3.047, 0.00399461
3.048, 0.00399461
3.049, 0.00399461
3.05, 0.00399461
3.051, 0.00399461
3.052, 0.00399461
3.053, 0.00399461
3.054, 0.00399461
3.055, 0.00399461
3.056, 0.00399461
3.057, 0.00399461
3.058, 0.00399461
3.059, 0.00399461
3.06, 0.00399461
3.061, 0.00399461
3.062, 0.00399461
3.063, 0.00399461
3.064, 0.00399461
3.065, 0.00399461
3.066, 0.00399461
3.067, 0.00399461
3.068, 0.00399461
3.069, 0.00399461
3.07, 0.00399461
3.071, 0.00399461
3.072, 0.00399461
3.073, 0.00399461
3.074, 0.00399461
3.075, 0.00399461
3.076, 0.00399461
3.077, 0.00399461
3.078, 0.00399461
3.079, 0.00399461
3.08, 0.00399461
3.081, 0.00399461
3.082, 0.00399461
3.083, 0.00399461
3.084, 0.00399461
3.085, 0.00399461
3.086, 0.00399461
3.087, 0.00399461
3.088, 0.00399461
3.089, 0.00399461
3.09, 0.00399461
3.091, 0.00399461
3.092, 0.00399461
3.093, 0.00399461
3.094, 0.00399461
3.095, 0.00399461
3.096, 0.00399461
3.097, 0.00399461
3.098, 0.00399461
3.099, 0.00399461
3.1, 0.00399461
3.101, 0.00399461
3.102, 0.00399461
3.103, 0.00399461
3.104, 0.00399461
3.105, 0.00399461
3.106, 0.00399461
3.107, 0.00399461
3.108, 0.00399461
3.109, 0.00399461
3.11, 0.00399461
3.111, 0.00399461
3.112, 0.00399461
3.113, 0.00399461
3.114, 0.00399461
3.115, 0.00399461
3.116, 0.00399461
3.117, 0.00399461
3.118, 0.00399461
3.119, 0.00399461
3.12, 0.00399461
3.121, 0.00399461
3.122, 0.00399461
3.123, 0.00399461
3.124, 0.00399461
3.125, 0.00399461
3.126, 0.00399461
3.127, 0.00399461
3.128, 0.00399461
3.129, 0.00399461
3.13, 0.00399461
3.131, 0.00399461
3.132, 0.00399461
3.133, 0.00399461
3.134, 0.00399461
3.135, 0.00399461
3.136, 0.00399461
3.137, 0.00399461
3.138, 0.00399461
3.139, 0.00399461
3.14, 0.00399461
3.141, 0.00399461
3.142, 0.00399461
3.143, 0.00399461
3.144, 0.00399461
3.145, 0.00399461
3.146, 0.00399461
3.147, 0.00399461
3.148, 0.00399461
3.149, 0.00399461
3.15, 0.00399461
3.151, 0.00399461
3.152, 0.00399461
3.153, 0.00399461
3.154, 0.00399461
3.155, 0.00399461
3.156, 0.00399461
3.157, 0.00399461
3.158, 0.00399461
3.159, 0.00399461
3.16, 0.00399461
3.161, 0.00399461
3.162, 0.00399461
3.163, 0.00399461
3.164, 0.00399461
3.165, 0.00399461
3.166, 0.00399461
3.167, 0.00399461
3.168, 0.00399461
3.169, 0.00399461
3.17, 0.00399461
3.171, 0.00399461
3.172, 0.00399461
3.173, 0.00399461
3.174, 0.00399461
3.175, 0.00399461
3.176, 0.00399461
3.177, 0.00399461
3.178, 0.00399461
3.179, 0.00399461
3.18, 0.00399461
3.181, 0.00399461
3.182, 0.00399461
3.183, 0.00399461
3.184, 0.00399461
3.185, 0.00399461
3.186, 0.00399461
3.187, 0.00399461
3.188, 0.00399461
3.189, 0.00399461
3.19, 0.00399461
3.191, 0.00399461
3.192, 0.00399461
3.193, 0.00399461
3.194, 0.00399461
3.195, 0.00399461
3.196, 0.00399461
3.197, 0.00399461
3.198, 0.00399461
3.199, 0.00399461
3.2, 0.00399461
3.201, 0.00399461
3.202, 0.00399461
3.203, 0.00399461
3.204, 0.00399461
3.205, 0.00399461
3.206, 0.00399461
3.207, 0.00399461
3.208, 0.00399461
3.209, 0.00399461
3.21, 0.00399461
3.211, 0.00399461
3.212, 0.00399461
3.213, 0.00399461
3.214, 0.00399461
3.215, 0.00399461
3.216, 0.00399461
3.217, 0.00399461
3.218, 0.00399461
3.219, 0.00399461
3.22, 0.00399461
3.221, 0.00399461
3.222, 0.00399461
3.223, 0.00399461
3.224, 0.00399461
3.225, 0.00399461
3.226, 0.00399461
3.227, 0.00399461
3.228, 0.00399461
3.229, 0.00399461
3.23, 0.00399461
3.231, 0.00399461
3.232, 0.00399461
3.233, 0.00399461
3.234, 0.00399461
3.235, 0.00399461
3.236, 0.00399461
3.237, 0.00399461
3.238, 0.00399461
3.239, 0.00399461
3.24, 0.00399461
3.241, 0.00399461
3.242, 0.00399461
3.243, 0.00399461
3.244, 0.00399461
3.245, 0.00399461
3.246, 0.00399461
3.247, 0.00399461
3.248, 0.00399461
3.249, 0.00399461
3.25, 0.00399461
3.251, 0.00399461
3.252, 0.00399461
3.253, 0.00399461
3.254, 0.00399461
3.255, 0.00399461
3.256, 0.00399461
3.257, 0.00399461
3.258, 0.00399461
3.259, 0.00399461
3.26, 0.00399461
3.261, 0.00399461
3.262, 0.00399461
3.263, 0.00399461
3.264, 0.00399461
3.265, 0.00399461
3.266, 0.00399461
3.267, 0.00399461
3.268, 0.00399461
3.269, 0.00399461
3.27, 0.00399461
3.271, 0.00399461
3.272, 0.00399461
3.273, 0.00399461
3.274, 0.00399461
3.275, 0.00399461
3.276, 0.00399461
3.277, 0.00399461
3.278, 0.00399461
3.279, 0.00399461
3.28, 0.00399461
3.281, 0.00399461
3.282, 0.00399461
3.283, 0.00399461
3.284, 0.00399461
3.285, 0.00399461
3.286, 0.00399461
3.287, 0.00399461
3.288, 0.00399461
3.289, 0.00399461
3.29, 0.00399461
3.291, 0.00399461
3.292, 0.00399461
3.293, 0.00399461
