sim_time, one_dynamixel_simulation/joint1?0/velocity
2.925, -2.4869e-14
2.926, -2.4869e-14
2.927, -2.4869e-14
2.928, -2.4869e-14
2.929, -2.4869e-14
2.93, -2.4869e-14
2.931, -2.4869e-14
2.932, -2.4869e-14
2.933, -2.4869e-14
2.934, -2.4869e-14
2.935, -2.4869e-14
2.936, -2.4869e-14
2.937, -2.4869e-14
2.938, -2.4869e-14
2.939, -2.4869e-14
2.94, -2.4869e-14
2.941, -2.4869e-14
2.942, -2.4869e-14
2.943, -2.4869e-14
2.944, -2.4869e-14
2.945, 3.87246e-13
2.946, 1.88294e-13
2.947, 1.84741e-13
2.948, 1.84741e-13
2.949, -2.4869e-14
2.95, -2.4869e-14
2.951, -2.4869e-14
2.952, -2.4869e-14
2.953, -2.4869e-14
2.954, -2.4869e-14
2.955, -2.4869e-14
2.956, -2.4869e-14
2.957, -2.4869e-14
2.958, -2.4869e-14
2.959, -2.4869e-14
2.96, -2.4869e-14
2.961, -2.4869e-14
2.962, -2.4869e-14
2.963, -2.4869e-14
2.964, -2.4869e-14
2.965, -2.4869e-14
2.966, -2.4869e-14
2.967, -2.4869e-14
2.968, -2.4869e-14
2.969, -2.4869e-14
2.97, -2.4869e-14
2.971, -2.4869e-14
2.972, -2.4869e-14
2.973, -2.4869e-14
2.974, -2.4869e-14
2.975, -2.4869e-14
2.976, -2.4869e-14
2.977, -2.4869e-14
2.978, -2.4869e-14
2.979, -2.4869e-14
2.98, -2.4869e-14
2.981, -2.4869e-14
2.982, -2.4869e-14
2.983, -2.4869e-14
2.984, -2.4869e-14
2.985, -2.4869e-14
2.986, 3.87246e-13
2.987, 1.88294e-13
2.988, 1.84741e-13
2.989, 1.84741e-13
2.99, -2.4869e-14
2.991, -2.4869e-14
2.992, -2.4869e-14
2.993, -2.4869e-14
2.994, -2.4869e-14
2.995, -2.4869e-14
2.996, -2.4869e-14
2.997, -2.4869e-14
2.998, -2.4869e-14
2.999, -2.4869e-14
3, -2.4869e-14
3.001, -2.4869e-14
3.002, -2.4869e-14
