sim_time, /gazebo/default/Melman/Right_Thigh/MPU6050sensor/imu?p=/angular_velocity/x
0.049, -0.0377333
0.099, -0.0268744
0.149, -0.0115399
0.199, 0.033546
0.249, 0.0727765
0.299, 0.061974
0.349, 0.0319771
0.399, -0.0060006
0.449, -0.0266312
0.499, -0.0121761
0.549, 0.0134243
0.599, 0.0460792
0.649, 0.0534447
0.699, 0.0408118
0.749, 0.0140779
0.799, -0.00878792
0.849, -0.0130484
0.899, 0.00465576
0.949, 0.0314144
0.999, 0.0404603
1.049, 0.0404653
1.099, 0.0253395
1.149, 0.00619808
1.199, -0.00358142
1.249, -9.36894e-05
1.299, 0.0204417
1.349, 0.033732
1.399, 0.0350672
1.449, -0.000107936
1.499, -0.0314661
1.549, -0.0225426
1.599, 0.00817631
1.649, 0.0495008
1.699, 0.0708266
1.749, 0.0549833
1.799, 0.0237392
1.849, -0.00730106
1.899, -0.0185714
1.949, 0.00182635
1.999, 0.0335328
2.049, 0.0544422
2.099, 0.0495744
2.149, 0.0342983
2.199, 0.0108571
2.249, -0.0057522
2.299, 0.00185124
2.349, 0.0222255
2.399, 0.0429006
2.449, 0.0468854
2.499, 0.0367126
2.549, 0.0216834
2.599, 0.00619199
2.649, 0.000690683
2.699, 0.0176613
2.749, 0.0318863
2.799, 0.0402092
2.849, 0.0339414
2.899, 0.0270735
2.949, 0.0153512
2.999, 0.00741951
3.049, 0.00949956
3.099, 0.0241515
3.149, 0.0326674
3.199, 0.029815
3.249, 0.0276887
3.299, 0.0205702
3.349, 0.0128075
3.399, 0.00999143
3.449, 0.0191153
3.499, 0.0260741
3.549, 0.0263448
3.599, 0.0258816
3.649, 0.0227796
3.699, 0.0173839
3.749, 0.0133237
3.799, 0.0133347
3.849, 0.0214543
3.899, 0.0224789
3.949, 0.0257682
3.999, 0.0229567
4.049, 0.0196951
4.099, 0.0161132
4.149, 0.0156142
4.199, 0.0187232
4.248, -0.0187425
4.299, 0.0211765
4.349, 0.0220406
4.399, 0.0206347
4.449, 0.0180626
4.499, 0.0160744
4.549, 0.0169938
4.599, 0.0173707
4.649, 0.0192667
4.699, 0.0207723
4.749, 0.0206139
4.799, 0.0191494
4.849, 0.0168394
4.899, 0.0164988
4.949, 0.0169613
4.999, 0.0185262
5.049, 0.019711
5.099, 0.0201371
5.149, 0.0189945
5.199, 0.0183128
5.249, 0.0173203
5.299, 0.017311
5.349, 0.0177354
5.399, 0.0188015
5.449, 0.0194999
5.499, 0.0194231
5.549, 0.0187998
5.599, 0.0173688
5.649, 0.0174123
5.699, 0.0175892
5.749, 0.0182077
5.799, 0.01892
5.849, 0.0191861
5.899, 0.0183455
5.949, 0.0183408
5.999, 0.01783
6.049, 0.017252
6.099, 0.0177192
6.149, 0.0181982
6.199, 0.0183619
6.249, 0.0187661
6.299, 0.0179598
6.349, 0.0180263
6.399, 0.017779
