sim_time, /gazebo/default/Melman/Right_Thigh/MPU6050sensor/imu?p=/angular_velocity/y
0.049, 0.1093
0.099, 0.0871488
0.149, 0.0371191
0.199, -0.0433148
0.249, -0.0971372
0.299, -0.0969049
0.349, -0.0462364
0.399, 0.012213
0.449, 0.0420732
0.499, 0.0373144
0.549, -0.00722534
0.599, -0.0579469
0.649, -0.0815473
0.699, -0.0603939
0.749, -0.0196179
0.799, 0.0139201
0.849, 0.0201803
0.899, 0.004748
0.949, -0.0280726
0.999, -0.0612592
1.049, -0.0601469
1.099, -0.0369825
1.149, -0.00885296
1.199, 0.0068557
1.249, 0.00157029
1.299, -0.0135269
1.349, -0.0388009
1.399, -0.0522622
1.449, 0.0040072
1.499, 0.050575
1.549, 0.0576752
1.599, 0.0161205
1.649, -0.0487719
1.699, -0.0925875
1.749, -0.0815779
1.799, -0.0340121
1.849, 0.0128745
1.899, 0.0301224
1.949, 0.0221476
1.999, -0.0158145
2.049, -0.0593275
2.099, -0.0743601
2.149, -0.0505194
2.199, -0.0147482
2.249, 0.00916788
2.299, 0.0133642
2.349, -0.0022035
2.399, -0.0329911
2.449, -0.0559297
2.499, -0.0541864
2.549, -0.0315945
2.599, -0.00897113
2.649, -0.000155499
2.699, -0.000503166
2.749, -0.0190502
2.799, -0.0397304
2.849, -0.0502657
2.899, -0.0391451
2.949, -0.0219928
2.999, -0.0099819
3.049, -0.0085691
3.099, -0.0137028
3.149, -0.0285469
3.199, -0.0430946
3.249, -0.0406729
3.299, -0.0299313
3.349, -0.0190699
3.399, -0.0144223
3.449, -0.0135559
3.499, -0.0223159
3.549, -0.035282
3.599, -0.0384969
3.649, -0.0334018
3.699, -0.025148
3.749, -0.0191508
3.799, -0.0189951
3.849, -0.0199618
3.899, -0.0300545
3.949, -0.033165
3.999, -0.0338377
4.049, -0.028808
4.099, -0.0233996
4.149, -0.0201539
4.199, -0.0204249
4.248, 0.0314748
4.299, -0.0316911
4.349, -0.0326678
4.399, -0.0303356
4.449, -0.0263434
4.499, -0.0233878
4.549, -0.0222171
4.599, -0.0258772
4.649, -0.0291235
4.699, -0.0309169
4.749, -0.0303935
4.799, -0.028033
4.849, -0.0258015
4.899, -0.0241513
4.949, -0.0250734
4.999, -0.0271686
5.049, -0.0292611
5.099, -0.0297604
5.149, -0.0290393
5.199, -0.0267641
5.249, -0.0252855
5.299, -0.0248828
5.349, -0.0261779
5.399, -0.0278322
5.449, -0.0288175
5.499, -0.0286267
5.549, -0.0274781
5.599, -0.0265948
5.649, -0.0255716
5.699, -0.0258843
5.749, -0.0268885
5.799, -0.0278921
5.849, -0.0281979
5.899, -0.0281103
5.949, -0.0267963
5.999, -0.0260502
6.049, -0.0262156
6.099, -0.0265734
6.149, -0.027323
6.199, -0.0279707
6.249, -0.0276538
6.299, -0.0274702
6.349, -0.0264994
6.399, -0.026152
6.449, -0.0266116
6.499, -0.0267279
6.549, -0.0275667
6.599, -0.0273919
6.649, -0.0271267
6.699, -0.0270779
6.749, -0.0263631
6.799, -0.0262587
6.849, -0.0264809
6.899, -0.0271592
6.949, -0.0274083
6.999, -0.0274013
7.049, -0.0268147
7.099, -0.0265023
7.149, -0.0266344
7.199, -0.0263633
7.249, -0.0265656
7.299, -0.0267866
7.349, -0.0268813
7.399, -0.0267851
7.449, -0.0265221
7.499, -0.026687
7.549, -0.0263041
7.599, -0.0263866
7.649, -0.0268723
7.698, 0.0311621
7.749, -0.0269884
7.799, -0.0265409
7.849, -0.0264001
7.899, -0.0265942
7.949, -0.0262939
7.999, -0.0263645
8.049, -0.0264689
8.099, -0.0265167
8.149, -0.0264742
8.199, -0.0263824
8.249, -0.02656
8.299, -0.0262222
8.349, -0.0265515
8.399, -0.026609
8.449, -0.0267245
8.499, -0.0263831
8.549, -0.0263185
8.599, -0.026568
8.649, -0.0265125
8.699, -0.0264377
8.749, -0.0264783
8.799, -0.0262237
8.849, -0.0262552
8.899, -0.026568
8.949, -0.0264611
8.999, -0.0261087
9.049, -0.0264058
9.099, -0.0263551
9.149, -0.0261001
9.199, -0.0264598
9.249, -0.0264065
9.299, -0.0261015
9.349, -0.0263163
9.399, -0.0260051
9.449, -0.0263169
9.499, -0.0259882
9.549, -0.026335
9.599, -0.026292
9.649, -0.0263162
9.699, -0.0262411
9.749, -0.0262451
9.799, -0.0261771
9.849, -0.0262089
9.899, -0.0261713
9.949, -0.0262239
9.999, -0.0258988
10.049, -0.0261357
10.099, -0.0258627
10.149, -0.0260818
10.199, -0.0258213
10.249, -0.0260706
10.299, -0.0261156
10.349, -0.0258047
10.399, -0.0260459
10.449, -0.0260735
10.499, -0.0257432
10.549, -0.0259769
10.599, -0.0257231
10.649, -0.0257041
10.699, -0.0260151
10.749, -0.0256998
10.799, -0.0259462
10.849, -0.0259122
10.899, -0.0256519
10.949, -0.0258902
