sim_time, /gazebo/default/Melman/Right_Thigh/MPU6050sensor/imu?p=/angular_velocity/z
0.049, 0.0284246
0.099, 0.0224203
0.149, 0.0111685
0.199, -0.00097901
0.249, -0.0072794
0.299, 0.00253004
0.349, 0.00366044
0.399, -0.00159436
0.449, -0.00319463
0.499, -0.000192101
0.549, 0.00116864
0.599, -0.000122515
0.649, 0.00068056
0.699, 0.000463563
0.749, -0.000745354
0.799, 6.15969e-05
0.849, 0.000686025
0.899, -0.000890641
0.949, -0.00020949
0.999, 0.000867547
1.049, 5.84245e-05
1.099, -0.000530931
1.149, 0.000341167
1.199, -8.87321e-05
1.249, 0.000300671
1.299, -0.000811051
1.349, 0.000194973
1.399, 0.000307506
1.449, -0.000627519
1.499, -0.0011294
1.549, -0.00416698
1.599, -0.00387892
1.649, -0.000961167
1.699, -0.00201421
1.749, -0.00145745
1.799, -0.00226967
1.849, -0.00215372
1.899, -0.00108349
1.949, -0.00325442
1.999, -0.00295515
2.049, -0.00204302
2.099, -0.00101902
2.149, -0.00133871
2.199, -0.00186598
2.249, -0.00104824
2.299, -0.0026209
2.349, -0.00340449
2.399, -0.00278812
2.449, -0.00222658
2.499, -0.00102304
2.549, -0.00248355
2.599, -0.000953197
2.649, -0.00125674
2.699, -0.0037164
2.749, -0.00291752
2.799, -0.00241986
2.849, -0.000905299
2.899, -0.00176303
2.949, -0.00182586
2.999, -0.00117581
3.049, -0.00203276
3.099, -0.00297913
3.149, -0.00237271
3.199, -0.000839561
3.249, -0.00119402
3.299, -0.00159954
3.349, -0.000690454
3.399, -0.00136552
3.449, -0.00212071
3.499, -0.00220519
3.549, -0.00123067
3.599, -0.000891831
3.649, -0.00109542
3.699, -0.00133433
3.749, -0.0013413
3.799, -0.00112275
3.849, -0.00169286
3.899, -0.00139269
3.949, -0.00113251
3.999, -0.0011021
4.049, -0.00111406
4.099, -0.00116489
4.149, -0.00113667
4.199, -0.00105414
4.248, -0.00319795
4.299, -0.000705289
4.349, -0.000844652
4.399, -0.00111575
4.449, -0.00107996
4.499, -0.000973994
4.549, -0.00120805
4.599, -0.00064805
4.649, -0.00102247
4.699, -0.000671921
4.749, -0.000991276
4.799, -0.000982826
4.849, -0.00031758
4.899, -0.000894051
4.949, -0.000734758
4.999, -0.00100299
5.049, -0.000734565
5.099, -0.000862284
5.149, -0.000263111
5.199, -0.00095657
5.249, -0.000938889
5.299, -0.000389995
5.349, -0.000773318
5.399, -0.000769236
5.449, -0.00081562
5.499, -0.000812002
5.549, -0.000899242
5.599, -0.00022483
5.649, -0.000808879
5.699, -0.000767291
5.749, -0.000750982
5.799, -0.000783171
5.849, -0.000815187
5.899, -0.000184578
5.949, -0.000866472
5.999, -0.000848489
6.049, -0.000181147
6.099, -0.000192843
6.149, -0.000170313
6.199, -0.000122653
6.249, -0.000745752
6.299, -0.000136553
6.349, -0.000757474
6.399, -0.000737831
6.449, -8.6501e-05
6.499, -0.000697133
6.549, -8.57941e-05
6.599, -0.000705875
6.649, -0.000784507
6.699, -0.000118111
6.749, -0.000714158
6.799, -0.00069378
6.849, -0.000681174
6.899, -4.88829e-05
6.949, -5.81661e-05
6.999, -6.83757e-05
7.049, -0.000673503
7.099, -0.000678055
7.149, -5.89156e-05
7.199, -0.000663658
7.249, -0.000651749
7.299, -0.000649704
7.349, -0.00064953
7.399, -0.000652221
7.449, -0.000713085
7.499, -3.68443e-05
7.549, -0.000633572
7.599, -0.0006196
7.649, -2.08124e-05
7.698, -0.00283948
7.749, -2.03249e-05
7.799, -0.00060092
7.849, -0.000615829
7.899, -9.09877e-06
7.949, -0.000606323
7.999, -0.000584344
8.049, -0.000577728
8.099, -0.000574461
8.149, -0.000575503
8.199, -0.000589233
8.249, 1.30311e-05
8.299, -0.000576003
8.349, 2.11054e-05
8.399, 3.26992e-05
8.449, 0.000100132
8.499, -0.000561337
8.549, -0.000556474
8.599, 0.00010931
8.649, 0.000112694
8.699, 5.70876e-05
8.749, 5.79192e-05
8.799, -0.000504935
8.849, -0.000517188
8.899, 0.000137771
8.949, 7.81167e-05
8.999, -0.00048242
9.049, 0.000159004
9.099, 0.000100049
9.149, -0.000461616
9.199, 0.000174852
9.249, 0.00011078
9.299, -0.000458909
9.349, 0.000127754
9.399, -0.000428251
9.449, 0.00020302
9.499, -0.000411262
9.549, 0.000218057
9.599, 0.00015304
9.649, 0.000228915
9.699, 0.000164312
9.749, 0.000241656
9.799, 0.000177832
9.849, 0.000254767
9.899, 0.000188872
9.949, 0.000264346
9.999, -0.00034453
10.049, 0.000217519
10.099, -0.000346286
10.149, 0.000226141
10.199, -0.000335992
10.249, 0.000235424
10.299, 0.000307484
10.349, -0.000297821
10.399, 0.000260469
10.449, 0.000331105
10.499, -0.000275124
10.549, 0.000283798
10.599, -0.000279241
10.649, -0.000250376
10.699, 0.000360935
10.749, -0.00024475
10.799, 0.000310813
10.849, 0.000327071
10.899, -0.000236877
10.949, 0.000329965
10.999, 0.000347946
11.049, -0.000217914
11.099, -0.000190389
11.149, 0.000364538
11.199, 0.000434653
11.249, -0.000172244
11.299, 0.00038241
11.349, 0.000452384
11.399, -0.000167939
11.449, -0.000101175
11.499, -0.000105687
11.549, 0.000559033
11.599, 0.000654396
11.649, -6.37845e-05
11.699, -2.92824e-05
11.749, 0.000728383
11.799, 0.000677259
11.849, 0.000788243
11.899, 0.000161903
11.949, 0.000791134
11.999, 0.000250629
12.049, 0.00033378
12.099, 0.00496007
12.149, -0.00472436
12.199, -0.0216941
12.249, -0.0288275
12.299, 0.0289623
12.349, 0.0237378
12.399, 0.0596981
12.449, -0.0169865
12.499, -0.020655
12.549, 0.00158476
12.599, 0.0639901
12.649, -0.00841371
12.699, 0.0245802
12.749, -0.00456759
12.799, -0.0105321
12.849, 0.0290197
12.899, 0.00344501
12.949, 0.0285914
12.999, 0.0128983
13.049, -0.025362
13.099, -0.025503
13.149, -0.0215597
13.199, -0.0167081
13.249, -0.0194163
13.299, -0.0218298
13.349, -0.0196623
13.399, -0.0177103
13.449, -0.015416
13.499, -0.0192432
13.549, -0.0175747
13.599, -0.0177283
13.649, -0.0153494
13.699, -0.0174418
13.749, -0.0172262
13.799, -0.0171062
13.849, -0.0150066
13.899, -0.0156848
