sim_time, /gazebo/default/Melman/Right_Thigh/MPU6050sensor/imu?p=/linear_acceleration/z
0.049, -0.357352
0.099, 0.149792
0.149, 0.152456
0.199, 0.324252
0.249, 0.225504
0.299, 0.0492025
0.349, -0.136155
0.399, -0.169095
0.449, -0.0594741
0.499, 0.125848
0.549, 0.230134
0.599, 0.222064
0.649, 0.119518
0.699, -0.0209506
0.749, -0.100461
0.799, -0.0736382
0.849, 0.0313247
0.899, 0.151017
0.949, 0.186146
0.999, 0.142367
1.049, 0.0571258
1.099, -0.0323294
1.149, -0.052791
1.199, -0.00382824
1.249, 0.0796052
1.299, 0.140531
1.349, 0.139764
1.399, 0.0926861
1.449, -0.151806
1.499, -0.0273457
1.549, 0.140724
1.599, 0.305117
1.649, 0.333699
1.699, 0.219628
1.749, 0.0638601
1.799, -0.0726463
1.849, -0.0705349
1.899, 0.0422016
1.949, 0.199526
1.999, 0.267143
2.049, 0.233516
2.099, 0.135807
2.149, 0.0186605
2.199, -0.0291189
2.249, 0.0137262
2.299, 0.115502
2.349, 0.200798
2.399, 0.214239
2.449, 0.165631
2.499, 0.0835594
2.549, 0.0189291
2.599, 0.0181089
2.649, 0.0712012
2.699, 0.144412
2.749, 0.181024
2.799, 0.168402
2.849, 0.117944
2.899, 0.0628848
2.949, 0.0381131
2.999, 0.0571197
3.049, 0.104474
3.099, 0.145639
3.149, 0.156573
3.199, 0.130457
3.249, 0.0939749
3.299, 0.0610639
3.349, 0.0586941
3.399, 0.0834976
3.449, 0.119095
3.499, 0.135928
3.549, 0.130652
3.599, 0.108884
3.649, 0.0814849
3.699, 0.0677927
3.749, 0.0760669
3.799, 0.097867
3.849, 0.119982
3.899, 0.122599
3.949, 0.114353
3.999, 0.0938012
4.049, 0.0784174
4.099, 0.0764018
4.149, 0.0883182
4.199, 0.104629
4.248, 0.228606
4.299, -0.000131902
4.349, 0.100285
4.399, 0.0871217
4.449, 0.0802011
4.499, 0.0835418
4.549, 0.0939192
4.599, 0.102951
4.649, 0.106392
4.699, 0.101556
4.749, 0.0926957
4.799, 0.0842882
4.849, 0.0827999
