sim_time, /gazebo/default/Melman/Right_Thigh/MPU6050sensor/imu?p=/angular_velocity/x
0.049, -0.0377333
0.099, -0.0268744
0.149, -0.0115399
0.199, 0.033546
0.249, 0.0727765
0.299, 0.0619741
0.349, 0.0319776
0.399, -0.0060006
0.449, -0.0266312
0.499, -0.0121761
0.549, 0.0134243
0.599, 0.0460792
0.649, 0.0534447
0.699, 0.0408118
0.749, 0.0140779
0.799, -0.00878792
0.849, -0.0130484
0.899, 0.00465576
0.949, 0.0314144
0.999, 0.0404603
1.049, 0.0404653
1.099, 0.0253395
1.149, 0.00619808
1.199, -0.00358142
1.249, -9.36894e-05
1.299, 0.0204417
1.349, 0.033732
1.399, 0.0350672
1.449, 0.0294655
1.499, 0.0162147
1.549, 0.00564134
1.599, 0.00268777
1.649, 0.012461
1.699, 0.0241866
1.749, 0.0278132
1.799, -0.0115794
1.849, -0.0338038
1.899, -0.0161374
1.949, 0.0246629
1.999, 0.0587667
2.049, 0.0643428
2.099, 0.0475638
2.149, 0.0144067
2.199, -0.0130047
2.249, -0.0106466
2.299, 0.0132764
2.349, 0.0416128
2.399, 0.0569101
2.449, 0.047048
2.499, 0.0281152
2.549, 0.00531134
2.599, -0.00639732
2.649, 0.0111815
2.699, 0.0281114
2.749, 0.0473097
2.799, 0.0440147
2.849, 0.0333743
2.899, 0.0173141
2.949, 0.00377421
2.999, 0.00405498
3.049, 0.0222158
3.099, 0.0359622
3.149, 0.0402298
3.199, 0.0328474
3.249, 0.0236311
3.299, 0.012261
3.349, 0.00689211
3.399, 0.0166076
3.449, 0.0276463
3.499, 0.0341417
3.549, 0.029357
3.599, 0.0259402
3.649, 0.0184016
3.699, 0.0120243
3.749, 0.0106922
3.799, 0.0215866
3.849, 0.0282885
3.899, 0.0299963
3.949, 0.0259085
3.999, 0.021374
4.049, 0.0160869
4.098, -0.0246339
4.149, 0.015233
4.199, 0.0233666
4.249, 0.0239327
4.299, 0.0237629
4.349, 0.022301
4.399, 0.0187206
4.449, 0.015612
4.499, 0.0167951
4.549, 0.0203318
4.599, 0.0203789
4.649, 0.0242771
4.699, 0.0224084
4.749, 0.019468
4.799, 0.0175271
4.849, 0.0159734
4.899, 0.0164812
4.949, 0.0210761
4.999, 0.0226396
5.049, 0.0220639
5.099, 0.0204359
5.149, 0.0186893
5.199, 0.0172157
5.248, -0.0207386
5.299, 0.0176282
5.349, 0.0209505
5.399, 0.0211433
5.449, 0.0201599
5.499, 0.0192713
5.549, 0.0181064
5.599, 0.0173275
5.649, 0.0174397
5.699, 0.0182946
5.749, 0.01922
5.799, 0.0196845
5.849, 0.0191079
5.899, 0.0185877
5.949, 0.0175009
5.999, 0.0175586
6.049, 0.0179844
6.099, 0.0190769
6.149, 0.0193073
6.199, 0.0192193
6.249, 0.0188762
6.299, 0.0177102
6.349, 0.0174805
6.399, 0.0177341
