sim_time, /gazebo/default/Melman/Right_Thigh/MPU6050sensor/imu?p=/angular_velocity/y
0.049, 0.1093
0.099, 0.0871488
0.149, 0.0371191
0.199, -0.0433148
0.249, -0.0971372
0.299, -0.0969048
0.349, -0.0462361
0.399, 0.012213
0.449, 0.0420732
0.499, 0.0373144
0.549, -0.00722534
0.599, -0.0579469
0.649, -0.0815473
0.699, -0.0603939
0.749, -0.0196179
0.799, 0.0139201
0.849, 0.0201803
0.899, 0.004748
0.949, -0.0280726
0.999, -0.0612592
1.049, -0.0601469
1.099, -0.0369825
1.149, -0.00885296
1.199, 0.0068557
1.249, 0.00157029
1.299, -0.0135269
1.349, -0.0388009
1.399, -0.0522622
1.449, -0.043381
1.499, -0.0243503
1.549, -0.00713786
1.599, -0.00296939
1.649, -0.0100978
1.699, -0.0260424
1.749, -0.0422309
1.799, 0.0215233
1.849, 0.0543042
1.899, 0.0501069
1.949, 0.00119383
1.999, -0.0641324
2.049, -0.0970593
2.099, -0.0701956
2.149, -0.0199158
2.199, 0.0202189
2.249, 0.0321419
2.299, 0.0150542
2.349, -0.0283906
2.399, -0.0669223
2.449, -0.0701001
2.499, -0.0408383
2.549, -0.0064483
2.599, 0.0112756
2.649, 0.0135634
2.699, -0.0109237
2.749, -0.0406565
2.799, -0.0585527
2.849, -0.0487983
2.899, -0.0246611
2.949, -0.00512229
2.999, 0.000306992
3.049, -0.00466949
3.099, -0.0253032
3.149, -0.0438827
3.199, -0.0484515
3.249, -0.034693
3.299, -0.0182412
3.349, -0.0091084
3.399, -0.00706094
3.449, -0.0177371
3.499, -0.0325958
3.549, -0.0439454
3.599, -0.0383157
3.649, -0.02662
3.699, -0.0169431
3.749, -0.0149331
3.799, -0.0159315
3.849, -0.025549
3.899, -0.0345177
3.949, -0.0376827
3.999, -0.0312054
4.049, -0.0231272
4.098, 0.039295
4.149, -0.0196946
4.199, -0.0220104
4.249, -0.0320479
4.299, -0.0354757
4.349, -0.0326992
4.399, -0.0271713
4.449, -0.0224675
4.499, -0.0198255
4.549, -0.0214248
4.599, -0.0289843
4.649, -0.0302321
4.699, -0.0320151
4.749, -0.0296976
4.799, -0.0253917
4.849, -0.0232156
4.899, -0.0242647
4.949, -0.0245049
4.999, -0.0279418
5.049, -0.0303484
5.099, -0.0299543
5.149, -0.0273191
5.199, -0.0250035
5.248, 0.0338332
5.299, -0.0260593
5.349, -0.0265236
5.399, -0.0288307
5.449, -0.0296916
5.499, -0.0282565
5.549, -0.0263583
5.599, -0.0252995
5.649, -0.025645
5.699, -0.027043
5.749, -0.0283861
5.799, -0.0290174
5.849, -0.0286774
5.899, -0.0272346
5.949, -0.0263167
5.999, -0.0257782
6.049, -0.0264383
6.099, -0.0270703
6.149, -0.0281079
6.199, -0.0283063
6.249, -0.0275936
6.299, -0.0270731
6.349, -0.0263782
6.399, -0.026312
6.449, -0.0268922
6.499, -0.0275794
6.549, -0.0279153
6.599, -0.0276819
6.649, -0.0270696
6.699, -0.0265132
6.749, -0.0266323
6.799, -0.0268137
6.849, -0.0270683
6.899, -0.0274772
6.949, -0.0278684
6.999, -0.0271943
7.049, -0.0270901
7.099, -0.0264136
7.149, -0.0268221
7.199, -0.0271091
7.249, -0.0274487
7.299, -0.0272612
7.349, -0.0271559
7.399, -0.0268646
7.449, -0.0265781
7.499, -0.0268024
7.549, -0.0265785
7.599, -0.0271653
7.649, -0.0273316
7.699, -0.0269719
7.749, -0.0268662
7.798, 0.0312814
7.849, -0.0264812
7.899, -0.0264809
7.949, -0.0269278
7.999, -0.0267594
8.049, -0.027163
8.099, -0.0267873
8.149, -0.0269666
8.199, -0.026814
8.249, -0.0267462
8.299, -0.0264446
8.349, -0.0269341
8.399, -0.026973
8.449, -0.0270288
8.499, -0.0265743
8.549, -0.0267848
8.598, 0.0313895
8.649, -0.0266695
8.699, -0.0267281
8.749, -0.0264829
8.799, -0.0268195
8.849, -0.0268426
8.899, -0.0264072
8.949, -0.0266421
8.999, -0.026582
9.049, -0.0265871
9.099, -0.0266273
9.149, -0.0266757
9.199, -0.0263669
9.249, -0.0266764
9.299, -0.0266158
9.349, -0.0265056
9.399, -0.026191
9.449, -0.026217
9.499, -0.0265761
9.549, -0.0265317
9.599, -0.0262286
9.649, -0.0265251
9.699, -0.0264794
9.749, -0.0263937
9.799, -0.0261001
9.849, -0.0261243
9.899, -0.0264635
9.949, -0.0263953
9.999, -0.026098
10.049, -0.0260641
10.099, -0.0263497
10.149, -0.0263316
10.199, -0.0262714
10.249, -0.0262894
10.299, -0.0260104
10.349, -0.0260057
10.399, -0.0262872
10.449, -0.0262566
10.499, -0.0262406
10.549, -0.0261644
10.599, -0.0261603
10.649, -0.0261594
10.699, -0.0261516
10.749, -0.0261386
10.799, -0.0261146
10.849, -0.0260903
10.899, -0.0260721
10.949, -0.0260621
