sim_time, /gazebo/default/Melman/Right_Thigh/MPU6050sensor/imu?p=/linear_acceleration/x
0.049, 8.22919
0.099, 7.98164
0.149, 8.03869
0.199, 8.16476
0.249, 8.24275
0.299, 8.20508
0.349, 8.22226
0.399, 8.23738
0.449, 8.20793
0.499, 8.14829
0.549, 8.13228
0.599, 8.18808
0.649, 8.21543
0.699, 8.21215
0.749, 8.22279
0.799, 8.20973
0.849, 8.18512
0.899, 8.15802
0.949, 8.16638
0.999, 8.19877
1.049, 8.20373
1.099, 8.2125
1.149, 8.20946
1.199, 8.197
1.249, 8.18063
1.299, 8.17159
1.349, 8.18259
1.399, 8.19593
1.449, 8.20411
1.499, 8.20703
1.549, 8.19986
1.599, 8.19164
1.649, 8.18043
1.699, 8.18099
1.749, 8.18925
1.799, 8.24514
1.849, 8.20187
1.899, 8.13651
1.949, 8.12139
1.999, 8.17711
2.049, 8.23494
2.099, 8.2206
2.149, 8.22782
2.199, 8.21145
2.249, 8.18026
2.299, 8.14047
2.349, 8.15917
2.399, 8.20875
2.449, 8.20962
2.499, 8.21638
2.549, 8.21468
2.599, 8.19575
2.649, 8.17248
2.699, 8.15691
2.749, 8.18825
2.799, 8.20167
2.849, 8.20628
2.899, 8.21182
2.949, 8.20063
2.999, 8.18721
3.049, 8.17612
3.099, 8.17476
3.149, 8.19347
3.199, 8.19971
3.249, 8.2056
3.299, 8.20246
3.349, 8.19375
3.399, 8.18409
3.449, 8.18067
3.499, 8.18543
3.549, 8.19433
3.599, 8.20147
3.649, 8.20107
3.699, 8.19607
3.749, 8.19085
3.799, 8.18265
3.849, 8.18716
3.899, 8.19007
3.949, 8.19761
3.999, 8.19845
4.049, 8.19662
4.098, 8.22219
4.149, 8.16003
4.199, 8.18837
4.249, 8.18849
4.299, 8.19395
4.349, 8.19627
4.399, 8.19641
4.449, 8.19471
4.499, 8.19072
4.549, 8.18956
4.599, 8.18891
4.649, 8.19226
4.699, 8.19382
4.749, 8.19532
4.799, 8.19509
4.849, 8.19288
4.899, 8.19004
4.949, 8.19028
4.999, 8.19114
5.049, 8.19311
5.099, 8.19426
5.149, 8.19451
5.199, 8.19354
5.248, 8.22117
5.299, 8.16242
5.349, 8.19122
5.399, 8.19235
5.449, 8.19333
5.499, 8.19398
5.549, 8.19369
5.599, 8.19276
5.649, 8.1917
5.699, 8.19128
5.749, 8.19185
5.799, 8.19273
5.849, 8.19315
5.899, 8.19382
5.949, 8.19286
5.999, 8.19261
6.049, 8.19174
6.099, 8.19172
6.149, 8.1923
6.199, 8.19318
6.249, 8.19325
6.299, 8.19291
6.349, 8.19271
6.399, 8.19229
6.449, 8.19223
6.499, 8.19223
6.549, 8.19268
6.599, 8.19299
6.649, 8.19306
6.699, 8.1929
6.749, 8.19225
6.799, 8.19227
6.849, 8.19253
6.899, 8.19251
6.949, 8.19248
6.999, 8.19322
7.049, 8.19262
7.099, 8.193
7.149, 8.19221
7.199, 8.1924
7.249, 8.19246
7.299, 8.19289
7.349, 8.19281
7.399, 8.19287
7.449, 8.19281
7.499, 8.19234
7.549, 8.19282
7.599, 8.19222
7.649, 8.19256
7.699, 8.19297
7.749, 8.19284
7.798, 8.22052
7.849, 8.1661
7.899, 8.19263
7.949, 8.19227
7.999, 8.19286
8.049, 8.19238
8.099, 8.19305
8.149, 8.19252
8.199, 8.19275
8.249, 8.19269
8.299, 8.19288
8.349, 8.19237
8.399, 8.19265
8.449, 8.19272
8.499, 8.19301
8.549, 8.19252
8.598, 8.22013
8.649, 8.16636
8.699, 8.19268
8.749, 8.19293
8.799, 8.19241
8.849, 8.19275
8.899, 8.19301
8.949, 8.19251
8.999, 8.19272
9.049, 8.19269
9.099, 8.19269
9.149, 8.19272
9.199, 8.19297
9.249, 8.19251
9.299, 8.19278
9.349, 8.19273
9.399, 8.19298
9.449, 8.19274
9.499, 8.19246
9.549, 8.19272
9.599, 8.19301
9.649, 8.19252
9.699, 8.19279
9.749, 8.19273
9.799, 8.193
9.849, 8.19276
9.899, 8.19248
9.949, 8.19274
9.999, 8.19301
10.049, 8.19279
10.099, 8.19252
10.149, 8.19278
10.199, 8.19273
10.249, 8.19277
10.299, 8.19301
10.349, 8.19278
10.399, 8.19253
10.449, 8.1928
10.499, 8.19279
10.549, 8.19275
10.599, 8.19278
10.649, 8.19278
10.699, 8.19279
10.749, 8.19279
10.799, 8.1928
10.849, 8.1928
10.899, 8.19279
10.949, 8.19279
10.999, 8.19279
11.049, 8.19279
11.099, 8.19279
11.149, 8.19284
11.199, 8.1928
11.249, 8.1928
11.299, 8.19306
11.349, 8.19279
11.399, 8.19257
11.449, 8.19279
11.499, 8.19284
11.549, 8.19307
11.599, 8.19279
11.649, 8.19257
11.699, 8.19284
11.749, 8.19306
11.799, 8.31414
11.849, 8.17346
11.899, 8.17043
11.949, 8.16645
11.999, 8.16001
12.049, 8.1519
12.099, 8.14899
12.149, 8.14288
12.199, 8.13397
12.249, 8.14846
12.299, 8.09133
12.348, 8.08322
12.399, 8.24593
12.449, 8.07579
12.499, 7.98388
12.549, 7.94247
12.599, 7.84469
12.649, 7.97378
12.699, 8.05472
12.749, 7.86688
12.799, 7.82115
12.849, 7.7234
12.899, 7.77776
12.949, 7.7416
12.999, 7.70272
13.049, 7.67717
13.099, 7.68715
13.149, 7.62494
13.199, 7.52896
13.249, 7.46892
13.299, 7.81663
13.349, 7.49072
13.399, 7.51775
13.449, 7.47023
13.499, 7.50593
13.549, 7.54549
13.599, 7.5394
13.649, 7.49348
13.699, 7.47128
13.749, 7.49287
13.798, 7.63476
13.849, 7.42718
13.899, 7.51519
13.949, 7.50387
13.999, 7.50231
14.049, 7.50915
14.099, 7.50777
14.149, 7.49918
14.199, 7.50681
14.249, 7.54
14.299, 7.52891
14.349, 7.47546
14.399, 7.49412
14.449, 7.53602
14.499, 7.51945
14.549, 7.48499
14.599, 7.50523
14.649, 7.55292
14.699, 7.49961
14.749, 7.48385
14.799, 7.52796
14.849, 7.52367
14.899, 7.49637
14.949, 7.50129
14.999, 7.54298
15.049, 7.51695
15.099, 7.47896
15.149, 7.49854
15.199, 7.54857
15.249, 7.51933
15.299, 7.485
15.349, 7.49767
