sim_time, /gazebo/default/Melman/Right_Thigh/MPU6050sensor/imu?p=/linear_acceleration/y
0.049, 5.39297
0.099, 5.34456
0.149, 5.22201
0.199, 5.30047
0.249, 5.39035
0.299, 5.43053
0.349, 5.40227
0.399, 5.38279
0.449, 5.37905
0.499, 5.35835
0.549, 5.3393
0.599, 5.37004
0.649, 5.39879
0.699, 5.39088
0.749, 5.39153
0.799, 5.38969
0.849, 5.37593
0.899, 5.34451
0.949, 5.36389
0.999, 5.38694
1.049, 5.38291
1.099, 5.38747
1.149, 5.39002
1.199, 5.38
1.249, 5.36951
1.299, 5.35781
1.349, 5.3752
1.399, 5.38177
1.449, 5.38153
1.499, 5.3863
1.549, 5.38374
1.599, 5.3757
1.649, 5.36775
1.699, 5.3691
1.749, 5.37922
1.799, 5.41047
1.849, 5.37596
1.899, 5.32015
1.949, 5.33432
1.999, 5.38123
2.049, 5.40591
2.099, 5.39248
2.149, 5.39769
2.199, 5.39289
2.249, 5.36824
2.299, 5.32831
2.349, 5.36474
2.399, 5.38818
2.449, 5.39649
2.499, 5.39012
2.549, 5.38846
2.599, 5.38246
2.649, 5.3524
2.699, 5.35669
2.749, 5.37398
2.799, 5.39297
2.849, 5.38516
2.899, 5.38652
2.949, 5.38622
2.999, 5.37083
3.049, 5.35578
3.099, 5.37121
3.149, 5.37915
3.199, 5.3891
3.249, 5.3804
3.299, 5.38607
3.349, 5.37925
3.399, 5.36402
3.449, 5.36802
3.499, 5.3758
3.549, 5.38761
3.599, 5.37609
3.649, 5.3835
3.699, 5.38148
3.749, 5.37393
3.799, 5.36936
3.849, 5.36999
3.899, 5.38213
3.949, 5.37906
3.999, 5.38113
4.049, 5.38117
4.098, 5.39868
4.149, 5.35446
4.199, 5.36816
4.249, 5.37924
4.299, 5.38007
4.349, 5.37836
4.399, 5.3796
4.449, 5.37853
4.499, 5.37519
4.549, 5.37119
4.599, 5.37855
4.649, 5.37578
4.699, 5.3803
4.749, 5.37947
4.799, 5.37809
4.849, 5.37752
4.899, 5.37649
4.949, 5.37209
4.999, 5.37712
5.049, 5.37872
5.099, 5.37859
5.149, 5.37843
5.199, 5.37777
5.248, 5.39794
5.299, 5.35627
5.349, 5.37456
5.399, 5.37756
5.449, 5.37816
5.499, 5.37792
5.549, 5.37778
5.599, 5.37734
5.649, 5.37676
5.699, 5.37646
5.749, 5.37668
5.799, 5.37712
5.849, 5.37795
5.899, 5.37736
5.949, 5.37781
5.999, 5.37674
6.049, 5.37673
6.099, 5.37653
6.149, 5.3772
6.199, 5.37725
6.249, 5.37749
6.299, 5.37807
6.349, 5.37726
6.399, 5.37671
6.449, 5.37662
6.499, 5.37701
6.549, 5.37709
6.599, 5.37737
6.649, 5.37749
6.699, 5.37732
6.749, 5.37775
6.799, 5.37692
6.849, 5.37643
6.899, 5.37716
6.949, 5.37778
6.999, 5.37681
7.049, 5.37794
7.099, 5.3766
7.149, 5.3778
7.199, 5.37703
7.249, 5.37705
7.299, 5.37663
7.349, 5.37726
7.399, 5.37733
7.449, 5.37728
7.499, 5.3778
7.549, 5.37652
7.599, 5.37757
7.649, 5.37726
7.699, 5.37658
7.749, 5.37735
7.798, 5.3971
7.849, 5.35824
7.899, 5.37717
7.949, 5.37774
7.999, 5.37657
8.049, 5.37778
8.099, 5.37667
8.149, 5.37785
8.199, 5.37728
8.249, 5.37722
8.299, 5.37672
8.349, 5.37773
8.399, 5.3771
8.449, 5.37733
8.499, 5.37672
8.549, 5.37774
8.598, 5.39655
8.649, 5.35872
8.699, 5.37714
8.749, 5.37667
8.799, 5.37782
8.849, 5.37732
8.899, 5.37672
8.949, 5.37771
8.999, 5.37731
9.049, 5.37724
9.099, 5.37722
9.149, 5.37717
9.199, 5.37682
9.249, 5.37783
9.299, 5.37726
9.349, 5.37723
9.399, 5.37678
9.449, 5.37715
9.499, 5.37788
9.549, 5.37721
9.599, 5.37679
9.649, 5.37783
9.699, 5.37726
9.749, 5.37723
9.799, 5.3768
9.849, 5.37716
9.899, 5.37787
9.949, 5.37726
9.999, 5.37682
10.049, 5.37728
10.099, 5.37783
10.149, 5.37727
10.199, 5.37724
10.249, 5.37722
10.299, 5.37687
10.349, 5.37727
10.399, 5.37785
10.449, 5.37729
10.499, 5.37726
10.549, 5.37728
10.599, 5.37728
10.649, 5.37729
10.699, 5.37729
10.749, 5.37729
10.799, 5.3773
10.849, 5.3773
10.899, 5.3773
10.949, 5.3773
10.999, 5.3773
11.049, 5.37731
11.099, 5.37731
11.149, 5.37732
11.199, 5.37735
11.249, 5.37732
11.299, 5.37677
11.349, 5.37734
11.399, 5.37771
11.449, 5.37738
11.499, 5.37733
11.549, 5.37674
11.599, 5.37743
11.649, 5.37777
11.699, 5.37735
11.749, 5.37681
11.799, 5.45716
11.849, 5.36578
11.899, 5.36294
11.949, 5.35934
11.999, 5.35635
12.049, 5.35223
12.099, 5.3471
12.149, 5.35287
12.199, 5.27646
12.249, 5.28326
12.299, 5.3397
12.348, 5.34842
12.399, 5.47423
12.449, 5.16081
12.499, 5.36562
12.549, 5.32999
12.599, 5.05524
12.649, 5.16133
12.699, 5.31527
12.749, 5.18547
12.799, 5.22321
12.849, 5.02327
12.899, 5.05263
12.949, 5.07178
12.999, 5.10888
13.049, 5.06657
13.099, 4.99341
13.149, 4.97559
13.199, 5.00571
13.249, 4.93298
13.299, 5.12008
13.349, 4.86109
13.399, 4.93072
13.449, 4.98129
13.499, 4.9574
13.549, 4.91325
13.599, 4.91537
13.649, 4.93956
13.699, 4.94288
13.749, 4.92251
13.798, 4.96638
13.849, 4.88268
13.899, 4.95092
13.949, 4.95161
13.999, 4.92426
14.049, 4.91151
14.099, 4.92212
14.149, 4.95117
14.199, 4.93898
14.249, 4.89587
14.299, 4.9291
14.349, 4.96001
14.399, 4.92708
14.449, 4.89667
14.499, 4.94259
14.549, 4.96211
14.599, 4.91596
14.649, 4.89606
14.699, 4.94705
14.749, 4.94745
14.799, 4.91074
14.849, 4.91156
14.899, 4.96406
14.949, 4.94171
14.999, 4.89772
15.049, 4.92378
15.099, 4.95724
15.149, 4.92835
15.199, 4.89612
15.249, 4.93009
15.299, 4.97037
15.349, 4.93685
15.399, 4.88701
15.449, 4.91955
15.499, 4.96735
15.549, 4.94375
15.599, 4.88997
15.649, 4.9147
15.699, 4.96851
15.749, 4.94748
15.799, 4.88658
15.849, 4.90744
15.899, 4.95108
15.949, 4.96201
15.999, 4.92905
16.049, 4.9047
16.099, 4.92738
16.149, 4.94785
16.199, 4.94324
16.249, 4.92132
16.299, 4.91845
16.349, 4.93549
16.399, 4.9437
16.449, 4.93299
16.499, 4.92331
16.549, 4.92535
16.599, 4.93746
16.649, 4.93727
16.698, 4.97757
16.749, 4.88104
16.799, 4.93382
16.849, 4.9348
16.899, 4.93204
16.949, 4.92895
16.999, 4.9305
17.049, 4.93343
17.099, 4.93405
17.149, 4.93196
17.199, 4.93022
17.249, 4.93082
17.299, 4.93249
17.349, 4.93299
17.399, 4.93219
17.449, 4.93159
17.499, 4.93192
17.549, 4.9324
17.599, 4.93221
17.649, 4.93176
17.699, 4.93185
17.749, 4.93245
17.799, 4.93277
17.849, 4.93244
17.899, 4.93196
17.949, 4.93192
17.999, 4.93229
18.049, 4.9326
18.099, 4.9326
18.149, 4.93246
18.199, 4.93242
18.249, 4.93245
18.299, 4.93246
18.349, 4.93241
18.399, 4.93254
18.449, 4.93273
18.499, 4.93275
18.549, 4.93261
18.599, 4.9326
18.649, 4.93284
18.699, 4.93304
18.749, 4.93297
18.799, 4.93289
18.849, 4.93302
18.899, 4.93317
18.949, 4.93313
18.999, 4.93304
19.049, 4.93319
19.099, 4.93347
19.149, 4.93348
19.199, 4.93329
19.249, 4.93329
19.299, 4.93357
19.349, 4.93374
19.399, 4.93362
19.449, 4.93353
19.499, 4.93375
19.549, 4.93399
19.599, 4.93388
19.649, 4.93368
19.699, 4.93388
