sim_time, /gazebo/default/Melman/Right_Thigh/MPU6050sensor/imu?p=/linear_acceleration/z
0.049, -0.357352
0.099, 0.149792
0.149, 0.152456
0.199, 0.324252
0.249, 0.225504
0.299, 0.0484223
0.349, -0.137581
0.399, -0.16909
0.449, -0.0594741
0.499, 0.125848
0.549, 0.230134
0.599, 0.222064
0.649, 0.119518
0.699, -0.0209506
0.749, -0.100461
0.799, -0.0736382
0.849, 0.0313247
0.899, 0.151017
0.949, 0.186146
0.999, 0.142367
1.049, 0.0571258
1.099, -0.0323294
1.149, -0.052791
1.199, -0.00382824
1.249, 0.0796052
1.299, 0.140531
1.349, 0.139764
1.399, 0.0926861
1.449, 0.0234784
1.499, -0.0178271
1.549, -0.00847345
1.599, 0.0395512
1.649, 0.0966825
1.699, 0.119172
1.749, 0.102675
1.799, -0.16354
1.849, 0.0347935
1.899, 0.214459
1.949, 0.335363
1.999, 0.319934
2.049, 0.187017
2.099, 0.0253588
2.149, -0.0737331
2.199, -0.0378645
2.249, 0.096548
2.299, 0.235056
2.349, 0.276374
2.399, 0.215774
2.449, 0.112791
2.499, 0.00500497
2.549, -0.0157542
2.599, 0.0471437
2.649, 0.153501
2.699, 0.219228
2.749, 0.21224
2.799, 0.152029
2.849, 0.0698423
2.899, 0.0216482
2.949, 0.037648
2.999, 0.100906
3.049, 0.166559
3.099, 0.189326
3.149, 0.164757
3.199, 0.109554
3.249, 0.0589615
3.299, 0.0476576
3.349, 0.0768422
3.399, 0.127865
3.449, 0.1584
3.499, 0.159578
3.549, 0.127044
3.599, 0.0902298
3.649, 0.0651325
3.699, 0.0715398
3.749, 0.100873
3.799, 0.133214
3.849, 0.145097
3.899, 0.133597
3.949, 0.106275
3.999, 0.0823309
4.049, 0.0756773
4.098, 0.203653
4.149, 0.00226612
4.199, 0.12889
4.249, 0.127768
4.299, 0.114787
4.349, 0.095846
4.399, 0.0832328
4.449, 0.0857716
4.499, 0.100412
4.549, 0.114524
4.599, 0.119205
4.649, 0.116689
4.699, 0.102086
4.749, 0.0899534
4.799, 0.0867957
4.849, 0.0929534
4.899, 0.103274
