sim_time, /gazebo/default/Melman/Left_Arm/MPU6050sensor/imu?p=/angular_velocity/x
0.049, 0.561409
0.099, -0.00992757
0.149, 0.0238905
0.199, 0.0238677
0.249, 0.0170786
0.299, 0.0180732
0.349, 0.0203266
0.399, 0.0186406
0.449, 0.0167023
0.499, 0.0152689
0.549, 0.0197349
0.599, 0.0193169
0.649, 0.0204917
0.699, 0.0188325
0.749, 0.018553
0.799, 0.0174188
0.849, 0.0176979
0.899, 0.017562
0.949, 0.0181943
0.999, -0.0428418
1.049, 0.0195413
1.099, 0.0175439
1.149, 0.0192201
1.199, 0.0232131
1.249, 0.023062
1.299, 0.0228533
1.349, 0.0206443
1.399, 0.0194519
1.449, 0.0188789
1.499, 0.0171956
1.549, 0.0205633
1.599, 0.0220138
1.649, 0.0197637
1.699, 0.0200728
1.749, 0.0198086
1.798, 0.0212536
1.849, 0.0183465
1.899, 0.0188329
1.949, 0.0200271
1.999, 0.0202775
2.049, 0.0203927
2.099, 0.0200519
2.149, 0.0194168
2.199, 0.0190151
2.249, 0.0170048
2.299, 0.0185254
2.349, 0.0193266
2.399, 0.0200913
2.449, 0.0200298
2.499, 0.0195785
2.549, 0.0191637
2.599, 0.0182469
2.649, 0.0175693
2.699, 0.018404
2.749, 0.0190564
2.799, 0.0203945
2.849, 0.0192809
2.899, 0.0191883
2.948, 0.0221859
2.999, 0.0189461
3.049, 0.0179503
3.099, 0.0187876
3.149, 0.0192364
3.199, 0.0197613
3.249, 0.0191153
3.299, 0.0192333
3.349, 0.0185462
3.399, 0.0182795
3.449, 0.0185168
3.499, 0.019683
3.549, 0.0196094
3.599, 0.0194013
3.649, 0.0191473
3.699, 0.0188516
3.749, 0.0188525
3.799, 0.0181102
3.849, 0.0194718
3.899, 0.0191783
3.949, 0.0194563
3.999, 0.0192913
4.049, 0.01904
4.099, 0.0187835
4.149, 0.0184377
4.199, 0.0198365
4.249, 0.0190555
4.299, 0.0192948
4.349, 0.0191652
4.399, 0.0190641
4.449, 0.0188905
4.499, 0.01876
4.549, 0.0187395
4.599, 0.0188814
4.649, 0.0190837
4.699, 0.0191764
4.749, 0.0191165
4.799, 0.0189643
4.849, 0.0188162
4.899, 0.0187663
4.949, 0.0188338
4.999, 0.0189717
5.049, 0.0190683
5.099, 0.0190628
5.149, 0.0189771
5.199, 0.0188686
5.249, 0.0188015
5.299, 0.0188106
5.349, 0.0188861
5.399, 0.0189687
5.449, 0.0189968
5.499, 0.01896
5.549, 0.0188885
5.599, 0.018822
5.649, 0.0188012
5.699, 0.0188337
5.749, 0.0188899
