sim_time, /gazebo/default/Melman/Left_Arm/MPU6050sensor/imu?p=/angular_velocity/y
0.049, -0.598222
0.099, -0.00904194
0.149, -0.0403654
0.199, -0.0412009
0.249, -0.0322511
0.299, -0.0309147
0.349, -0.0314717
0.399, -0.0293182
0.449, -0.0285208
0.499, -0.0310406
0.549, -0.0361253
0.599, -0.0342479
0.649, -0.0311846
0.699, -0.030458
0.749, -0.02958
0.799, -0.028939
0.849, -0.0300554
0.899, -0.032018
0.949, -0.0331111
0.999, 0.0604783
1.049, -0.0291007
1.099, -0.0299966
1.149, -0.0383511
1.199, -0.04375
1.249, -0.0399746
1.299, -0.0320393
1.349, -0.0312174
1.399, -0.0293012
1.449, -0.0301561
1.499, -0.0315001
1.549, -0.0385635
1.599, -0.0392111
1.649, -0.0327794
1.699, -0.0318111
1.749, -0.0304724
1.798, -0.0302539
1.849, -0.0306915
1.899, -0.0333898
1.949, -0.0363235
1.999, -0.0347907
2.049, -0.031035
2.099, -0.0314559
2.149, -0.0304087
2.199, -0.0305998
2.249, -0.0306855
2.299, -0.0336085
2.349, -0.0338812
2.399, -0.0321729
2.449, -0.0315452
2.499, -0.0306306
2.549, -0.030665
2.599, -0.0308307
2.649, -0.0307417
2.699, -0.0324791
2.749, -0.0323029
2.799, -0.0314951
2.849, -0.0310554
2.899, -0.0307938
2.948, -0.0292277
2.999, -0.0314933
3.049, -0.0314096
3.099, -0.0319979
3.149, -0.0313329
3.199, -0.0311473
3.249, -0.0304856
3.299, -0.0307598
3.349, -0.0306599
3.399, -0.0307112
3.449, -0.0315539
3.499, -0.031926
3.549, -0.0310072
3.599, -0.0307841
3.649, -0.0308531
3.699, -0.0305156
3.749, -0.0310987
3.799, -0.0304395
3.849, -0.0317551
3.899, -0.0308454
3.949, -0.0308181
3.999, -0.0306864
4.049, -0.0306345
4.099, -0.0306848
4.149, -0.0305577
4.199, -0.0317491
4.249, -0.0308974
4.299, -0.0308226
4.349, -0.0306216
4.399, -0.0306638
4.449, -0.0306471
4.499, -0.0306569
4.549, -0.0306924
4.599, -0.0307612
4.649, -0.0307622
4.699, -0.0307157
4.749, -0.0306854
4.799, -0.030632
4.849, -0.0306173
4.899, -0.0306371
4.949, -0.0306824
4.999, -0.0307091
5.049, -0.0306854
5.099, -0.0306561
5.149, -0.0306223
5.199, -0.0305986
5.249, -0.0306044
5.299, -0.0306258
5.349, -0.0306487
5.399, -0.0306469
5.449, -0.0306304
5.499, -0.0306091
5.549, -0.0305858
5.599, -0.0305763
5.649, -0.0305851
5.699, -0.0305998
5.749, -0.0306066
5.799, -0.0306016
5.849, -0.030591
5.899, -0.0305739
5.949, -0.0305585
5.999, -0.0305557
6.049, -0.0305623
6.099, -0.0305703
6.149, -0.0305728
6.199, -0.0305696
6.249, -0.0305613
6.299, -0.0305402
6.349, -0.0305338
6.399, -0.0305407
6.449, -0.0305588
6.499, -0.0305396
6.549, -0.0304717
6.599, -0.0305511
6.649, -0.0304847
6.699, -0.0305861
6.749, -0.0304813
6.799, -0.0304377
6.849, -0.0304477
6.899, -0.0304574
6.949, -0.0305716
6.999, -0.030542
7.048, -0.0290626
7.099, -0.030435
7.149, -0.0304229
7.199, -0.0304049
7.249, -0.0305447
7.299, -0.0304863
7.349, -0.0305336
7.399, -0.0305509
7.449, -0.0305365
7.499, -0.0305154
7.549, -0.0304551
7.599, -0.0304574
7.649, -0.0304597
7.699, -0.0304301
7.749, -0.0305178
7.799, -0.0305252
7.849, -0.0305003
7.899, -0.0304949
7.949, -0.0304847
7.999, -0.0305189
8.048, -0.0290814
8.099, -0.0305072
8.149, -0.0304951
8.199, -0.0304934
8.249, -0.0304191
8.299, -0.0304579
8.349, -0.0304926
8.399, -0.0303921
8.449, -0.0304783
8.499, -0.0304484
8.549, -0.0304885
8.599, -0.0304216
8.649, -0.0304928
8.699, -0.0304304
8.749, -0.0303671
8.799, -0.030478
8.849, -0.0304761
8.899, -0.0304241
8.949, -0.0303941
