sim_time, /gazebo/default/Melman/Left_Arm/MPU6050sensor/imu?p=/angular_velocity/z
0.049, -0.0154044
0.099, -0.1593
0.149, -0.0410378
0.199, 0.0705469
0.249, 0.135111
0.299, 0.121502
0.349, 0.0569492
0.399, -0.023237
0.449, -0.067098
0.499, -0.0543277
0.549, 0.0150029
0.599, 0.0817318
0.649, 0.102881
0.699, 0.0753247
0.749, 0.0199961
0.799, -0.0278354
0.849, -0.039038
0.899, -0.0109312
0.949, 0.040051
0.999, -0.0272556
1.049, -0.0698716
1.099, -0.116915
1.149, -0.0716405
1.199, 0.0421294
1.249, 0.134693
1.299, 0.146696
1.349, 0.0877828
1.399, -0.00123482
1.449, -0.0643905
1.499, -0.0691291
1.549, -0.00530903
1.599, 0.0730601
1.649, 0.113061
1.699, 0.093392
1.749, 0.0391102
1.798, -0.0158402
1.849, -0.0432554
1.899, -0.0231034
1.949, 0.0314091
1.999, 0.0766113
2.049, 0.0846143
2.099, 0.0569815
2.149, 0.0142902
2.199, -0.0165805
2.249, -0.0197135
2.299, 0.00911918
2.349, 0.0468836
2.399, 0.0668601
2.449, 0.0595633
2.499, 0.0335555
2.549, 0.00558836
2.599, -0.00723402
2.649, 0.00208058
2.699, 0.0271618
2.749, 0.0491179
2.799, 0.0544245
2.849, 0.0417122
2.899, 0.0211267
2.948, 0.00582534
2.999, 0.00412382
3.049, 0.0172247
3.099, 0.035143
3.149, 0.0455365
3.199, 0.0427685
3.249, 0.0302318
3.299, 0.0167355
3.349, 0.0101022
3.399, 0.0145047
3.449, 0.026234
3.499, 0.0368458
3.549, 0.0397932
3.599, 0.0341536
3.649, 0.0241703
3.699, 0.0165415
3.749, 0.01564
3.799, 0.0218349
3.849, 0.0302971
3.899, 0.0354137
3.949, 0.0343478
3.999, 0.0283426
4.049, 0.0217339
4.099, 0.0185278
4.149, 0.0206598
4.199, 0.0259913
4.249, 0.0312873
4.299, 0.0327885
4.349, 0.0300772
4.399, 0.0252723
4.449, 0.0215634
4.499, 0.0211922
4.549, 0.0241099
4.599, 0.0281506
4.649, 0.0306257
4.699, 0.0301467
4.749, 0.0272993
4.799, 0.0240759
4.849, 0.0225399
4.899, 0.023522
4.949, 0.0261698
4.999, 0.0286365
5.049, 0.0293778
5.099, 0.0280975
5.149, 0.0257912
5.199, 0.0239963
5.249, 0.0237998
5.299, 0.0251839
5.349, 0.0271205
5.399, 0.0283275
5.449, 0.0281135
5.499, 0.026748
5.549, 0.0251957
5.599, 0.0244468
5.649, 0.0249029
5.699, 0.0261632
5.749, 0.0273516
5.799, 0.0277221
5.849, 0.0271181
5.899, 0.0260111
5.949, 0.0251418
5.999, 0.0250341
6.049, 0.0256863
6.099, 0.0266138
6.149, 0.0272016
6.199, 0.0271096
6.249, 0.0264594
6.299, 0.0256977
6.349, 0.0253366
6.399, 0.0255488
6.449, 0.0261712
6.499, 0.0267173
6.549, 0.026913
6.599, 0.0266032
6.649, 0.0260975
6.699, 0.0256776
6.749, 0.0255165
6.799, 0.0259001
6.849, 0.0263491
6.899, 0.0266331
6.949, 0.0265972
6.999, 0.0262917
7.048, 0.0253539
7.099, 0.0257359
7.149, 0.0257468
7.199, 0.0260174
7.249, 0.0263502
7.299, 0.026474
7.349, 0.026345
7.399, 0.0260855
7.449, 0.0258711
7.499, 0.0258127
7.549, 0.0259379
7.599, 0.0261517
7.649, 0.0262933
7.699, 0.0262814
7.749, 0.0261441
7.799, 0.0259816
7.849, 0.0258949
7.899, 0.0259238
7.949, 0.0260488
7.999, 0.0261756
8.048, 0.0256433
8.099, 0.0261753
8.149, 0.0260348
8.199, 0.0259334
8.249, 0.0258491
8.299, 0.0259742
8.349, 0.0260473
8.399, 0.0261438
8.449, 0.0261518
8.499, 0.026056
8.549, 0.0259883
8.599, 0.0259063
8.649, 0.0259268
8.699, 0.0259951
8.749, 0.025983
8.799, 0.0260599
8.849, 0.0260579
8.899, 0.0259962
8.949, 0.0259348
8.999, 0.025911
9.049, 0.0259242
9.099, 0.0258932
9.149, 0.0259235
9.199, 0.0259147
9.249, 0.0259365
9.299, 0.0258943
9.349, 0.0258702
9.399, 0.025838
9.449, 0.0258739
9.499, 0.0258816
9.549, 0.0258485
9.599, 0.0259
9.649, 0.0258673
9.699, 0.0258275
9.749, 0.025785
9.799, 0.0258068
9.849, 0.0257594
9.899, 0.0258243
9.949, 0.0258152
9.999, 0.0257923
10.049, 0.0257629
10.099, 0.0257395
10.149, 0.0257534
10.199, 0.0257306
10.249, 0.0257584
10.299, 0.02574
10.349, 0.0257363
10.399, 0.0257142
10.449, 0.025692
10.499, 0.0256977
10.549, 0.0256644
10.599, 0.025634
10.649, 0.0256871
10.699, 0.0256684
10.749, 0.0256501
10.799, 0.0256298
10.849, 0.0255727
10.899, 0.0256108
10.949, 0.025572
10.999, -0.220536
11.049, -0.52065
11.099, -0.492366
11.149, -0.487211
11.199, -0.488586
11.249, -0.489915
11.299, -0.491155
11.349, -0.491255
11.399, -0.487774
11.449, -0.48108
11.498, -0.47717
11.549, -0.471399
11.599, -0.470405
11.649, -0.469824
11.699, -0.467905
11.749, -0.46247
11.799, -0.456379
11.849, -0.448685
11.899, -0.443282
11.949, -0.437424
11.999, -0.433067
12.049, -0.428801
12.099, -0.423127
12.149, -0.41579
12.199, -0.407348
12.249, -0.39871
12.299, -0.390564
12.349, -0.383073
12.399, -0.375841
12.449, -0.368169
12.499, -0.370097
12.549, -0.349685
12.599, -0.339205
12.649, -0.329098
12.699, -0.318733
12.749, -0.307249
12.799, -0.300916
12.849, -0.287513
12.899, -0.275981
12.949, -0.267369
12.999, -0.251121
13.049, -0.243931
13.099, -0.231787
13.149, -0.221867
13.199, -0.209539
13.249, -0.192236
13.299, -0.181224
13.349, -0.173794
13.399, -0.162121
13.449, -0.148449
13.499, -0.172678
13.549, -0.188811
13.599, -0.0984915
13.649, -0.187968
13.699, -0.0923495
13.749, -0.157689
13.799, -0.102539
13.849, -0.0513734
13.899, 0.0233917
13.949, -0.156336
13.999, -0.00775281
14.049, -0.084615
14.099, 0.15546
14.149, 0.0468478
14.199, 0.0610592
14.249, 0.00108484
14.299, 0.120976
14.349, 0.0641897
14.399, 0.110531
14.449, 0.126876
14.499, 0.138603
14.549, 0.154162
14.599, 0.17371
14.649, 0.185609
14.699, 0.188867
14.749, 0.198535
14.799, 0.214372
14.849, 0.229618
14.899, 0.243325
14.949, 0.260442
14.999, 0.269238
15.049, 0.279525
15.099, 0.284433
15.149, 0.295681
15.199, 0.30516
15.249, 0.320347
15.299, 0.331281
15.349, 0.345375
15.399, 0.370269
15.449, 0.366974
15.499, 0.36343
15.549, 0.376724
15.599, 0.394403
15.649, 0.40021
15.699, 0.430196
15.749, 0.428763
15.799, 0.443001
15.849, 0.43436
15.899, 0.456127
15.949, 0.421018
15.999, 0.444944
16.049, 0.423017
16.099, 0.496746
16.149, 0.501148
16.199, 0.480426
16.249, 0.492523
16.299, 0.490834
16.349, 0.498389
16.399, 0.48773
16.449, 0.492807
16.499, 0.517583
16.549, 0.491422
16.599, 0.498332
16.649, 0.495397
16.699, 0.514613
16.749, 0.532947
16.798, 0.504773
16.849, 0.496811
16.899, 0.518728
16.949, 0.522424
16.999, 0.0934011
17.049, -0.557793
17.099, -0.520816
17.149, -0.501019
17.199, -0.483753
17.249, -0.501044
17.299, -0.51735
17.349, -0.529314
17.399, -0.526966
17.449, -0.523617
17.499, -0.480168
17.549, -0.47614
17.599, -0.484741
17.649, -0.479326
17.699, -0.509109
17.749, -0.472729
17.799, -0.456402
17.849, -0.462141
17.899, -0.460408
17.949, -0.468381
17.999, -0.453673
18.049, -0.416759
18.099, -0.4262
18.149, -0.389246
18.199, -0.41005
18.249, -0.425821
18.299, -0.370603
18.349, -0.418184
18.399, -0.402987
18.449, -0.36857
18.499, -0.364327
18.549, -0.335621
18.599, -0.322442
18.649, -0.307148
18.699, -0.316686
18.749, -0.294254
18.799, -0.292709
18.849, -0.162783
18.899, -0.249592
