sim_time, /gazebo/default/Melman/Left_Arm/MPU6050sensor/imu?p=/linear_acceleration/x
0.049, -7.42346
0.099, -6.7254
0.149, -6.56057
0.199, -6.42304
0.249, -6.59366
0.299, -6.90727
0.349, -7.17158
0.399, -7.22759
0.449, -7.062
0.499, -6.77652
0.549, -6.57789
0.599, -6.59571
0.649, -6.78063
0.699, -6.98978
0.749, -7.1178
0.799, -7.08286
0.849, -6.92003
0.899, -6.72253
0.949, -6.65568
0.999, -6.80641
1.049, -7.32494
1.099, -6.99425
1.149, -6.52173
1.199, -6.30237
1.249, -6.40726
1.299, -6.72692
1.349, -7.04022
1.399, -7.18271
1.449, -7.07072
1.499, -6.76851
1.549, -6.50731
1.599, -6.46126
1.649, -6.62598
1.699, -6.8633
1.749, -7.03497
1.798, -7.04861
1.849, -6.89904
1.899, -6.67082
1.949, -6.56252
1.999, -6.60709
2.049, -6.7603
2.099, -6.91305
2.149, -6.98342
2.199, -6.93261
2.249, -6.78952
2.299, -6.66235
2.349, -6.63722
2.399, -6.71438
2.449, -6.8295
2.499, -6.91272
2.549, -6.92266
2.599, -6.8508
2.649, -6.74104
2.699, -6.69011
2.749, -6.70969
2.799, -6.78029
2.849, -6.85663
2.899, -6.892
2.948, -6.86625
2.999, -6.80387
3.049, -6.73747
3.099, -6.72635
3.149, -6.76111
3.199, -6.81841
3.249, -6.8584
3.299, -6.86459
3.349, -6.82917
3.399, -6.78085
3.449, -6.75229
3.499, -6.7626
3.549, -6.7945
3.599, -6.83319
3.649, -6.85181
3.699, -6.83882
3.749, -6.80765
3.799, -6.77726
3.849, -6.77557
3.899, -6.78661
3.949, -6.81658
3.999, -6.83687
4.049, -6.83943
4.099, -6.82278
4.149, -6.79906
4.199, -6.78801
4.249, -6.78995
4.299, -6.80774
4.349, -6.82594
4.399, -6.83489
4.449, -6.82918
4.499, -6.81421
4.549, -6.80072
4.599, -6.79765
4.649, -6.80586
4.699, -6.8194
4.749, -6.82968
4.799, -6.83072
4.849, -6.82303
4.899, -6.81241
4.949, -6.80631
4.999, -6.80842
5.049, -6.81678
5.099, -6.8259
5.149, -6.83026
5.199, -6.82781
5.249, -6.82096
5.299, -6.81474
5.349, -6.81337
5.399, -6.81747
5.449, -6.82421
5.499, -6.82942
5.549, -6.83022
5.599, -6.82678
5.649, -6.82193
5.699, -6.81918
5.749, -6.82033
5.799, -6.82456
5.849, -6.8292
5.899, -6.83156
5.949, -6.83066
5.999, -6.82762
6.049, -6.82485
6.099, -6.82436
6.149, -6.82652
6.199, -6.82999
6.249, -6.83274
6.299, -6.83334
6.349, -6.83205
6.399, -6.82993
6.449, -6.82873
6.499, -6.82956
6.549, -6.83169
6.599, -6.83427
6.649, -6.83557
6.699, -6.83548
6.749, -6.83444
6.799, -6.83294
6.849, -6.83307
6.899, -6.83431
6.949, -6.83619
6.999, -6.83773
7.048, -6.83672
7.099, -6.83953
7.149, -6.83739
7.199, -6.83684
7.249, -6.83733
7.299, -6.83848
7.349, -6.84007
7.399, -6.84103
7.449, -6.8412
7.499, -6.84097
7.549, -6.84076
7.599, -6.84069
7.649, -6.84146
7.699, -6.84258
7.749, -6.84341
7.799, -6.84409
7.849, -6.84423
7.899, -6.84411
7.949, -6.84412
7.999, -6.8446
8.048, -6.84379
8.099, -6.8478
8.149, -6.84711
8.199, -6.84737
8.249, -6.84753
8.299, -6.84735
8.349, -6.84792
8.399, -6.84822
8.449, -6.84916
8.499, -6.85017
8.549, -6.85008
8.599, -6.85096
8.649, -6.85055
8.699, -6.85101
8.749, -6.85165
8.799, -6.85203
8.849, -6.85264
8.899, -6.85329
8.949, -6.85375
8.999, -6.85405
9.049, -6.85429
9.099, -6.8548
9.149, -6.85511
9.199, -6.85569
9.249, -6.85624
9.299, -6.8567
9.349, -6.85713
9.399, -6.85779
9.449, -6.8575
9.499, -6.8583
9.549, -6.85877
9.599, -6.85908
9.649, -6.8598
9.699, -6.86025
9.749, -6.86091
9.799, -6.86067
9.849, -6.86148
9.899, -6.86165
9.949, -6.86236
9.999, -6.863
10.049, -6.86326
10.099, -6.86351
10.149, -6.86397
10.199, -6.86475
10.249, -6.86458
10.299, -6.86544
10.349, -6.86583
10.399, -6.86631
