sim_time, /gazebo/default/Melman/Left_Arm/MPU6050sensor/imu?p=/linear_acceleration/y
0.049, -6.66308
0.099, -6.70196
0.149, -7.29504
0.199, -7.43337
0.249, -7.28955
0.299, -6.96071
0.349, -6.69121
0.399, -6.62988
0.449, -6.79729
0.499, -7.05194
0.549, -7.26566
0.599, -7.27879
0.649, -7.10483
0.699, -6.86081
0.749, -6.73981
0.799, -6.77857
0.849, -6.94184
0.899, -7.10749
0.949, -7.20271
0.999, -7.0807
1.049, -6.53394
1.099, -6.86445
1.149, -7.25256
1.199, -7.538
1.249, -7.48623
1.299, -7.16408
1.349, -6.8061
1.399, -6.6756
1.449, -6.79519
1.499, -7.05339
1.549, -7.31789
1.599, -7.40297
1.649, -7.26176
1.699, -7.00061
1.749, -6.81953
1.798, -6.8139
1.849, -6.95686
1.899, -7.14907
1.949, -7.28739
1.999, -7.26643
2.049, -7.11634
2.099, -6.94125
2.149, -6.87402
2.199, -6.92793
2.249, -7.04997
2.299, -7.17973
2.349, -7.22331
2.399, -7.15901
2.449, -7.03284
2.499, -6.94185
2.549, -6.93747
2.599, -7.00507
2.649, -7.09613
2.699, -7.16543
2.749, -7.1576
2.799, -7.08508
2.849, -6.99982
2.899, -6.96625
2.948, -6.98946
2.999, -7.05009
3.049, -7.1085
3.099, -7.13307
3.149, -7.10222
3.199, -7.04456
3.249, -6.99689
3.299, -6.99411
3.349, -7.02443
3.399, -7.07232
3.449, -7.10152
3.499, -7.10101
3.549, -7.06386
3.599, -7.02458
3.649, -7.00681
3.699, -7.01661
3.749, -7.04589
3.799, -7.07449
3.849, -7.08924
3.899, -7.06943
3.949, -7.04328
3.999, -7.02056
4.049, -7.01783
4.099, -7.03286
4.149, -7.05448
4.199, -7.07203
4.249, -7.06678
4.299, -7.05153
4.349, -7.03203
4.399, -7.02283
4.449, -7.02746
4.499, -7.04168
4.549, -7.0555
4.599, -7.06007
4.649, -7.05285
4.699, -7.0392
4.749, -7.02824
4.799, -7.02637
4.849, -7.03355
4.899, -7.04414
4.949, -7.05095
4.999, -7.04973
5.049, -7.04163
5.099, -7.03221
5.149, -7.02733
5.199, -7.02932
5.249, -7.03598
5.299, -7.04244
5.349, -7.04439
5.399, -7.0407
5.449, -7.03395
5.499, -7.02846
5.549, -7.02731
5.599, -7.03051
5.649, -7.03538
5.699, -7.03844
5.749, -7.03764
5.799, -7.03356
5.849, -7.02882
5.899, -7.02623
5.949, -7.02692
5.999, -7.02988
6.049, -7.03278
6.099, -7.03352
6.149, -7.03154
6.199, -7.02809
6.249, -7.02522
6.299, -7.02441
6.349, -7.0257
6.399, -7.02784
6.449, -7.02898
6.499, -7.02856
6.549, -7.0263
6.599, -7.02388
6.649, -7.0223
6.699, -7.02242
6.749, -7.0237
6.799, -7.02474
6.849, -7.02491
6.899, -7.0238
6.949, -7.0219
6.999, -7.02033
7.048, -7.01913
7.099, -7.02058
7.149, -7.02081
7.199, -7.02123
7.249, -7.02075
7.299, -7.0195
7.349, -7.01811
7.399, -7.01713
7.449, -7.01691
7.499, -7.01727
7.549, -7.0177
7.599, -7.01745
7.649, -7.01675
7.699, -7.01566
7.749, -7.0145
7.799, -7.01399
7.849, -7.01395
7.899, -7.0141
7.949, -7.0141
7.999, -7.01369
8.048, -7.01241
8.099, -7.01249
8.149, -7.01134
8.199, -7.01089
8.249, -7.01082
8.299, -7.01076
8.349, -7.01057
8.399, -7.00996
8.449, -7.0092
8.499, -7.00868
8.549, -7.00783
8.599, -7.00787
8.649, -7.00738
8.699, -7.00734
8.749, -7.00697
8.799, -7.00635
8.849, -7.00563
8.899, -7.0051
8.949, -7.00469
8.999, -7.0044
9.049, -7.00417
9.099, -7.00383
9.149, -7.00335
9.199, -7.0028
9.249, -7.00219
9.299, -7.00168
9.349, -7.00135
9.399, -7.0012
9.449, -7.00056
9.499, -7.00035
9.549, -6.9998
9.599, -6.99926
9.649, -6.99876
9.699, -6.99834
9.749, -6.99812
9.799, -6.99744
9.849, -6.99729
9.899, -6.99679
9.949, -6.99635
9.999, -6.99594
10.049, -6.99535
10.099, -6.99481
10.149, -6.9945
10.199, -6.99436
10.249, -6.99361
10.299, -6.99337
10.349, -6.99282
10.399, -6.99237
10.449, -6.99194
10.499, -6.99147
10.549, -6.99131
10.599, -6.99057
10.649, -6.99027
10.699, -6.98991
10.749, -6.98939
10.799, -6.98894
10.849, -6.98846
10.899, -6.98809
10.949, -6.98768
10.999, -7.22309
11.049, -7.59895
11.099, -7.32449
11.149, -7.48313
11.199, -7.63017
11.249, -7.76225
11.299, -7.87062
11.349, -7.98824
11.399, -8.11671
11.449, -8.22286
11.498, -8.30115
11.549, -8.35075
11.599, -8.42282
11.649, -8.48524
11.699, -8.53199
11.749, -8.57163
11.799, -8.61635
11.849, -8.6347
11.899, -8.64973
11.949, -8.65311
11.999, -8.65118
12.049, -8.64817
12.099, -8.63728
12.149, -8.61813
12.199, -8.59329
12.249, -8.56337
12.299, -8.52661
12.349, -8.48344
12.399, -8.43681
12.449, -8.38807
12.499, -8.33561
12.549, -8.28023
12.599, -8.21904
12.649, -8.15778
12.699, -8.0925
12.749, -8.02482
12.799, -7.96684
12.849, -7.87932
12.899, -7.83325
12.949, -7.76013
12.999, -7.68336
13.049, -7.62775
13.099, -7.55888
13.149, -7.48241
13.199, -7.44067
13.249, -7.36603
13.299, -7.30533
13.349, -7.2778
13.399, -7.19221
13.449, -7.17426
13.499, -7.15359
13.549, -6.97874
13.599, -7.10728
13.649, -6.92785
13.699, -7.05179
13.749, -6.8812
13.799, -6.82355
13.849, -6.88292
13.899, -7.03438
13.949, -7.0875
13.999, -6.50752
14.049, -7.4337
14.099, -6.61117
14.149, -7.1928
14.199, -6.91581
14.249, -6.92149
14.299, -7.02923
14.349, -7.17033
14.399, -7.02665
14.449, -7.02445
14.499, -7.15571
14.549, -7.24603
14.599, -7.23832
14.649, -7.24993
14.699, -7.36817
14.749, -7.42578
14.799, -7.4691
14.849, -7.53144
14.899, -7.59876
14.949, -7.67126
14.999, -7.72135
15.049, -7.80083
15.099, -7.87686
15.149, -7.93999
15.199, -8.00149
15.249, -8.07489
15.299, -8.1092
15.349, -8.21631
15.399, -8.24648
15.449, -8.28431
15.499, -8.38334
15.549, -8.4417
15.599, -8.47407
15.649, -8.52686
15.699, -8.52734
15.749, -8.65611
15.799, -8.59568
15.849, -8.67384
15.899, -8.66976
15.949, -8.72914
15.999, -8.656
16.049, -8.67201
16.099, -8.71496
16.149, -8.63581
16.199, -8.68084
16.249, -8.63901
16.299, -8.46896
16.349, -8.48778
16.399, -8.46763
16.449, -8.35383
16.499, -8.32836
16.549, -8.22279
16.599, -8.11527
16.649, -8.01263
16.699, -7.83772
16.749, -7.86854
16.798, -7.55568
16.849, -7.5388
16.899, -7.29456
16.949, -7.13856
16.999, -8.08499
17.049, -7.11529
17.099, -7.44358
17.149, -7.56438
17.199, -7.69611
17.249, -7.72241
17.299, -7.8221
17.349, -7.94223
17.399, -8.07081
17.449, -8.21486
17.499, -8.35036
17.549, -8.45145
17.599, -8.45174
17.649, -8.50888
17.699, -8.52262
17.749, -8.60342
17.799, -8.56048
17.849, -8.60906
17.899, -8.54935
17.949, -8.65636
17.999, -8.59033
18.049, -8.64324
18.099, -8.5853
18.149, -8.64641
18.199, -8.82654
18.249, -8.7764
18.299, -8.49276
18.349, -8.55176
18.399, -8.39852
18.449, -8.34984
18.499, -8.27725
18.549, -8.19267
18.599, -7.94903
18.649, -8.26456
18.699, -8.03111
18.749, -7.94574
18.799, -7.95293
18.849, -7.92712
18.899, -8.35249
18.949, -8.33058
18.999, -7.81557
19.049, -6.8218
19.099, -6.76808
19.149, -7.56613
19.199, -7.96805
19.249, -7.79772
19.299, -7.41462
19.349, -6.85816
19.399, -6.96282
19.449, -7.14704
19.499, -7.31778
19.549, -7.39385
19.599, -7.25112
19.649, -6.90353
19.699, -6.48329
19.749, -7.06683
19.799, -7.24172
19.849, -6.99281
19.899, -6.69167
19.949, -6.87763
19.999, -6.9719
20.049, -7.0135
20.099, -6.81858
20.149, -6.97466
20.199, -6.93559
20.249, -6.88927
20.299, -7.00241
20.349, -7.12065
20.399, -7.08339
20.449, -7.04483
20.499, -7.13888
20.549, -7.2423
20.599, -7.25324
20.649, -7.2579
