sim_time, /gazebo/default/Melman/Left_Arm/MPU6050sensor/imu?p=/linear_acceleration/z
0.049, 0.853022
0.099, -0.856136
0.149, -0.0585323
0.199, 0.0723679
0.249, 0.0206017
0.299, -0.0614308
0.349, -0.0172231
0.399, 0.0233998
0.449, 0.00491097
0.499, -0.0264426
0.549, -0.00245608
0.599, -0.000168595
0.649, -0.0161231
0.699, -0.0072014
0.749, 0.00209194
0.799, -0.00792716
0.849, -0.0127399
0.899, 0.0066321
0.949, -0.0138819
0.999, -0.135091
1.049, 0.101661
1.099, -0.00540494
1.149, 0.000444143
1.199, -0.0256268
1.249, -0.00668764
1.299, -0.0175643
1.349, -0.0139623
1.399, -0.00677922
1.449, -0.0167269
1.499, -0.00515103
1.549, -0.0108765
1.599, -0.0155969
1.649, -0.00966467
1.699, -0.0211047
1.749, -0.00142933
1.798, -0.0169061
1.849, -0.0140096
1.899, 0.00252683
1.949, -0.0205211
1.999, -0.0126382
2.049, -0.0155441
2.099, -0.00945562
2.149, -0.00797554
2.199, -0.0143232
2.249, -0.0069174
2.299, -0.00880443
2.349, -0.0178963
2.399, -0.00925592
2.449, -0.0168901
2.499, -0.00420751
2.549, -0.0135594
2.599, -0.0120219
2.649, -0.00149922
2.699, -0.0163153
2.749, -0.0167534
2.799, -0.0108469
2.849, -0.00794092
2.899, -0.0118385
2.948, -0.0101001
2.999, -0.0078955
3.049, -0.0102855
3.099, -0.012814
3.149, -0.0125869
3.199, -0.0135132
3.249, -0.00680514
3.299, -0.0120255
3.349, -0.00852832
3.399, -0.00804687
3.449, -0.0125495
3.499, -0.0112896
3.549, -0.0135944
3.599, -0.00720497
3.649, -0.0111512
3.699, -0.0097275
3.749, -0.00846259
3.799, -0.00921076
3.849, -0.012751
3.899, -0.0112621
3.949, -0.0117646
3.999, -0.00760724
4.049, -0.0105059
4.099, -0.00959517
4.149, -0.00829874
4.199, -0.011119
4.249, -0.0116187
4.299, -0.0104614
4.349, -0.00849703
4.399, -0.00987284
4.449, -0.00974594
4.499, -0.00949627
4.549, -0.0094699
4.599, -0.0101144
4.649, -0.0107421
4.699, -0.0102297
4.749, -0.0091604
4.799, -0.00857179
4.849, -0.00931404
4.899, -0.00974474
4.949, -0.00994494
4.999, -0.010006
5.049, -0.00976057
5.099, -0.00925102
5.149, -0.00895109
5.199, -0.00902556
5.249, -0.00930671
5.299, -0.00953417
5.349, -0.00961701
5.399, -0.00953053
5.449, -0.00924694
5.499, -0.00896915
5.549, -0.00888744
5.599, -0.00899445
5.649, -0.00916632
5.699, -0.00927574
5.749, -0.00925964
5.799, -0.00911186
5.849, -0.00890617
5.899, -0.0087738
5.949, -0.00876759
5.999, -0.0088535
6.049, -0.00895431
6.099, -0.0089878
6.149, -0.0089198
6.199, -0.00877733
6.249, -0.00864148
6.299, -0.00839478
6.349, -0.00887276
6.399, -0.00875167
6.449, -0.00826992
6.499, -0.00886781
6.549, -0.00858636
6.599, -0.00855205
6.649, -0.00843195
6.699, -0.00821782
6.749, -0.00872395
6.799, -0.00842997
6.849, -0.00833948
6.899, -0.00842558
6.949, -0.0080877
6.999, -0.00831019
7.048, -0.00803295
7.099, -0.00858359
7.149, -0.0081576
7.199, -0.00821763
7.249, -0.00788498
7.299, -0.00825459
7.349, -0.00795584
7.399, -0.00800767
7.449, -0.00796987
7.499, -0.00798458
7.549, -0.00804224
7.599, -0.00787518
7.649, -0.00789305
7.699, -0.00794085
7.749, -0.00769533
7.799, -0.00776962
7.849, -0.00776237
7.899, -0.00771562
7.949, -0.00768039
7.999, -0.00762333
8.048, -0.00737447
8.099, -0.00784747
8.149, -0.00761103
8.199, -0.00748374
8.249, -0.007691
8.299, -0.0073791
8.349, -0.00737202
8.399, -0.00764191
8.449, -0.00717137
8.499, -0.00740563
8.549, -0.00728688
8.599, -0.00733864
8.649, -0.00716036
8.699, -0.0073533
8.749, -0.00731563
8.799, -0.00693439
8.849, -0.0071335
8.899, -0.00719261
8.949, -0.00713499
8.999, -0.00704302
9.049, -0.00706307
9.099, -0.00695604
9.149, -0.00696208
9.199, -0.00696695
9.249, -0.00658657
9.299, -0.00687661
9.349, -0.00692013
9.399, -0.00683774
9.449, -0.00669965
9.499, -0.00671841
9.549, -0.00686952
9.599, -0.00667514
9.649, -0.00660482
9.699, -0.00663754
9.749, -0.006558
9.799, -0.00644785
9.849, -0.00668604
9.899, -0.00640212
9.949, -0.00641658
9.999, -0.00653973
10.049, -0.00647609
10.099, -0.00624198
10.149, -0.00638627
10.199, -0.00634685
10.249, -0.0062636
10.299, -0.00624774
10.349, -0.00614533
10.399, -0.00620179
10.449, -0.00625371
10.499, -0.00618047
10.549, -0.00606893
