20:26:45
X(G),Y(G),Z(G),X(A),Y(A),Z(A),T(ms)
0.89,0.52,0.15,3.12,-1.26,-3.31,77675
0.87,0.53,0.14,2.70,-2.14,-3.30,77676
0.87,0.52,0.12,1.87,-2.35,-3.02,77677
0.86,0.47,0.12,1.95,-2.22,-3.52,77678
0.85,0.51,0.17,-0.70,-3.11,-3.87,77679
0.89,0.48,0.14,-0.28,-1.17,-3.92,77680
0.85,0.49,0.10,-1.98,-1.36,-4.15,77681
0.85,0.51,0.17,-2.53,-0.62,-4.23,77682
0.88,0.50,0.15,-3.40,-0.56,-4.09,77683
0.87,0.51,0.12,-3.95,-1.45,-4.31,77684
0.86,0.50,0.08,-3.91,-1.73,-4.27,77685
0.85,0.52,0.08,-3.82,-1.85,-4.47,77686
0.86,0.51,0.13,-3.55,-1.89,-4.46,77687
0.86,0.50,0.04,-1.87,-2.27,-4.71,77688
0.85,0.51,0.09,-1.02,-1.89,-4.31,77689
0.84,0.55,0.05,-0.26,-1.49,-4.24,77690
0.86,0.52,0.04,0.76,-2.31,-4.24,77691
0.87,0.52,0.09,1.76,-3.29,-3.91,77692
0.85,0.54,0.06,2.51,-4.44,-3.76,77693
0.85,0.52,0.07,3.64,-4.79,-3.82,77694
0.86,0.53,0.13,4.27,-4.72,-3.14,77695
0.87,0.54,0.13,3.29,-5.61,-3.40,77696
0.87,0.47,0.06,3.20,-6.16,-3.21,77697
0.85,0.50,0.19,2.38,-4.37,-2.70,77698
0.88,0.44,0.17,1.73,-3.04,-3.03,77699
0.83,0.49,0.12,-0.73,-4.01,-3.34,77700
0.86,0.47,0.16,0.31,-2.21,-3.74,77701
0.87,0.50,0.14,0.36,-1.17,-3.75,77702
0.88,0.59,0.06,-2.08,-1.86,-3.98,77703
0.87,0.55,0.06,-1.76,-3.11,-3.14,77704
0.86,0.53,0.10,-0.80,-4.11,-2.65,77705
0.84,0.53,0.15,-1.72,-5.13,-2.62,77706
0.87,0.52,0.15,0.39,-4.93,-2.86,77707
0.88,0.49,0.11,0.87,-6.23,-2.82,77708
0.89,0.49,0.12,1.83,-5.29,-2.48,77709
0.86,0.53,0.07,2.33,-3.99,-2.76,77710
0.92,0.49,0.17,2.06,-3.79,-2.43,77711
0.88,0.49,0.14,3.14,-3.24,-2.00,77712
0.85,0.53,0.17,3.03,-3.03,-1.87,77713
0.86,0.47,0.14,2.99,-1.86,-1.81,77714
0.86,0.50,0.09,2.72,-1.91,-2.14,77715
0.88,0.49,0.10,2.73,-2.34,-2.35,77716
0.86,0.54,0.08,1.12,-2.57,-2.12,77717
0.87,0.52,0.09,0.50,-2.02,-2.19,77718
0.86,0.50,0.14,0.32,-1.63,-1.92,77719
0.85,0.51,0.14,0.40,-1.54,-1.74,77720
0.89,0.51,0.09,-0.22,-1.33,-1.81,77721
0.90,0.51,0.05,0.03,-0.68,-1.94,77722
0.87,0.53,0.11,-0.56,-0.56,-1.98,77723
0.89,0.51,0.11,-0.34,-0.83,-1.99,77724
0.88,0.50,0.11,-0.34,-1.07,-1.92,77725
0.86,0.53,0.14,-0.98,-1.74,-1.92,77726
0.88,0.48,0.15,-0.82,-1.50,-2.10,77727
0.87,0.48,0.08,-0.44,-2.65,-2.21,77728
0.88,0.49,0.06,1.55,-3.21,-2.83,77729
0.87,0.54,0.05,1.39,-4.70,-3.12,77730
0.86,0.53,0.05,1.59,-6.46,-2.83,77731
0.84,0.49,0.04,2.71,-7.59,-3.29,77732
0.87,0.52,0.09,3.06,-7.10,-3.37,77733
0.92,0.48,0.07,3.94,-6.56,-3.43,77734
0.85,0.50,0.07,3.86,-7.11,-3.46,77735
0.85,0.52,0.09,3.13,-6.73,-3.56,77736
0.88,0.48,0.09,2.21,-5.81,-3.76,77737
0.87,0.48,0.12,2.54,-6.17,-4.03,77738
0.90,0.47,0.13,3.86,-5.21,-4.34,77739
0.89,0.52,0.07,3.40,-6.37,-4.43,77740
0.86,0.55,0.07,1.02,-6.82,-4.13,77741
0.88,0.50,0.09,2.17,-6.51,-3.93,77742
0.90,0.46,0.21,1.47,-6.53,-3.77,77743
0.88,0.50,0.14,0.97,-5.46,-4.36,77744
0.84,0.49,0.07,0.76,-5.92,-4.43,77745
0.87,0.52,0.13,0.63,-5.58,-4.47,77746
0.90,0.47,0.11,0.76,-6.54,-4.67,77747
0.88,0.53,0.06,0.41,-6.69,-4.52,77748
0.87,0.51,0.11,1.78,-6.34,-4.37,77749
0.88,0.53,0.12,1.53,-6.35,-4.20,77750
0.89,0.51,0.12,2.31,-5.98,-4.15,77751
0.88,0.54,0.13,1.48,-6.11,-4.05,77752
0.87,0.50,0.12,2.48,-5.63,-4.06,77753
0.86,0.51,0.14,0.72,-4.82,-3.49,77754
0.85,0.51,0.10,0.53,-3.91,-3.67,77755
0.88,0.48,0.13,-1.14,-2.82,-3.72,77756
0.86,0.49,0.06,-1.13,-1.54,-3.85,77757
0.85,0.53,0.06,-1.52,-1.62,-3.77,77758
0.87,0.53,0.10,-0.65,-1.31,-3.43,77759
0.86,0.56,0.08,-0.98,-2.53,-3.14,77760
0.88,0.53,0.05,-1.02,-2.04,-2.95,77761
0.87,0.53,0.04,-1.66,-2.11,-2.77,77762
0.87,0.52,0.05,-1.05,-1.60,-2.83,77763
0.87,0.50,0.08,-0.37,-1.65,-2.32,77764
0.88,0.51,0.06,0.65,-1.13,-2.51,77765
0.85,0.52,0.04,0.84,-2.76,-2.38,77766
0.88,0.54,0.05,1.98,-3.53,-2.53,77767
0.88,0.50,0.05,2.15,-4.79,-2.28,77768
0.85,0.53,0.08,1.69,-5.34,-2.21,77769
0.86,0.48,0.03,2.82,-5.38,-2.51,77770
0.89,0.50,0.15,2.46,-4.76,-2.19,77771
0.90,0.50,0.14,2.98,-3.39,-2.38,77772
0.86,0.52,0.11,0.66,-2.74,-2.18,77773
0.87,0.48,0.08,1.67,-0.85,-2.01,77774
0.86,0.54,0.08,0.17,-0.27,-1.78,77775
0.89,0.51,0.08,-0.37,0.77,-1.84,77776
0.88,0.50,0.09,-1.60,0.71,-1.63,77777
0.85,0.57,0.11,-1.12,0.68,-1.94,77778
0.88,0.54,0.08,-1.52,-0.53,-1.72,77779
0.88,0.51,0.07,-1.02,-0.62,-1.69,77780
0.86,0.53,0.11,-1.66,-1.35,-1.30,77781
0.89,0.48,0.10,-0.53,-0.90,-1.47,77782
0.88,0.48,0.09,-0.51,-2.18,-1.67,77783
0.86,0.53,0.09,-0.18,-1.82,-2.01,77784
0.86,0.48,0.05,2.21,-2.24,-2.42,77785
0.90,0.50,0.06,3.66,-3.15,-2.48,77786
0.88,0.56,0.07,4.03,-3.43,-2.31,77787
0.88,0.54,0.02,3.92,-3.60,-2.45,77788
0.90,0.50,0.04,3.78,-4.01,-1.98,77789
0.87,0.52,0.03,3.31,-4.37,-2.18,77790
0.89,0.47,0.08,3.38,-3.60,-2.51,77791
0.88,0.50,0.08,2.53,-3.65,-2.68,77792
