20:28:25
X(G),Y(G),Z(G),X(A),Y(A),Z(A),T(ms)
41,-3.33,97185
0.87,0.53,0.07,-2.66,-1.78,-2.98,97186
0.86,0.50,0.07,-2.13,-2.19,-3.16,97187
0.86,0.54,0.12,-3.43,-2.00,-2.88,97188
0.87,0.50,0.06,-3.24,-0.81,-3.19,97189
0.88,0.51,0.09,-1.81,-1.21,-3.05,97190
0.87,0.53,0.10,-0.30,-2.24,-3.10,97191
0.89,0.50,0.05,1.44,-3.05,-3.05,97192
0.86,0.51,0.07,2.85,-3.27,-2.84,97193
0.85,0.54,0.03,3.33,-3.82,-3.40,97194
0.91,0.49,0.07,4.46,-4.48,-3.00,97195
0.87,0.49,0.15,3.82,-4.15,-3.12,97196
0.88,0.51,0.09,4.34,-2.63,-3.47,97197
0.88,0.54,0.12,3.53,-2.35,-3.39,97198
0.88,0.55,0.10,1.64,-1.90,-2.86,97199
0.86,0.52,0.10,0.15,-0.34,-2.79,97200
0.86,0.49,0.05,-0.78,-0.26,-2.72,97201
0.88,0.50,0.05,-0.76,0.06,-2.95,97202
0.86,0.51,0.06,-0.64,0.56,-2.84,97203
0.86,0.54,0.06,-1.70,0.80,-2.88,97204
0.86,0.55,0.08,-2.37,-0.12,-2.71,97205
0.87,0.54,0.06,-3.27,-1.34,-2.62,97206
0.87,0.51,0.06,-3.21,-1.47,-2.61,97207
0.87,0.51,0.09,-3.64,-1.13,-2.76,97208
0.86,0.51,0.09,-3.37,-2.02,-2.71,97209
0.88,0.47,0.07,-1.99,-1.89,-3.28,97210
0.88,0.51,0.09,-1.20,-2.05,-3.19,97211
0.87,0.49,0.03,0.89,-2.73,-3.52,97212
0.87,0.53,0.05,1.31,-3.10,-3.33,97213
0.89,0.53,0.06,2.45,-2.31,-3.44,97214
0.89,0.53,0.03,2.97,-2.40,-3.57,97215
0.88,0.50,0.07,4.18,-2.63,-3.37,97216
0.86,0.54,0.05,3.71,-2.58,-3.40,97217
0.88,0.48,0.05,4.24,-1.97,-3.66,97218
0.88,0.52,0.08,3.18,-1.91,-3.61,97219
0.88,0.48,0.18,3.07,-0.94,-3.53,97220
0.87,0.51,0.13,1.84,-0.73,-3.48,97221
0.89,0.54,0.09,0.84,-0.18,-3.47,97222
0.87,0.58,0.09,-0.05,-1.20,-3.33,97223
0.87,0.51,0.15,-0.89,-0.76,-2.73,97224
0.86,0.50,0.11,-1.18,-0.30,-2.97,97225
0.89,0.50,0.07,-1.60,0.06,-2.90,97226
0.89,0.49,0.06,-1.83,0.06,-3.18,97227
0.86,0.53,0.07,-1.43,0.47,-3.18,97228
0.86,0.54,0.11,-1.34,0.21,-3.11,97229
0.89,0.50,0.09,-1.13,-0.05,-2.77,97230
0.86,0.53,0.07,-1.11,-0.40,-2.94,97231
0.86,0.52,0.09,-1.47,-0.79,-2.92,97232
0.87,0.49,0.07,-0.94,0.10,-3.08,97233
0.90,0.49,0.09,-0.47,-0.34,-3.04,97234
0.86,0.54,0.09,-1.08,-0.16,-3.16,97235
0.85,0.52,-0.01,-0.66,1.20,-3.25,97236
0.88,0.53,0.03,-1.33,1.34,-3.04,97237
0.88,0.56,0.01,-1.14,1.72,-2.88,97238
0.87,0.54,0.02,-1.66,1.61,-2.80,97239
0.89,0.51,0.01,-1.25,3.10,-2.47,97240
0.87,0.55,0.01,-1.50,3.93,-2.59,97241
0.90,0.54,0.03,-1.89,3.36,-2.43,97242
0.88,0.51,0.08,-2.13,3.87,-2.12,97243
0.86,0.51,0.05,-0.96,4.60,-2.06,97244
0.86,0.51,0.12,-1.67,4.62,-2.05,97245
0.88,0.54,0.09,-2.20,3.24,-2.07,97246
0.91,0.53,0.12,-3.85,3.62,-1.74,97247
0.86,0.48,0.09,-4.98,5.59,-1.41,97248
0.84,0.48,0.12,-4.75,6.99,-2.05,97249
0.88,0.49,0.13,-6.13,6.43,-2.10,97250
0.93,0.52,0.20,-7.40,6.16,-1.80,97251
0.84,0.44,0.16,-8.72,6.88,-1.96,97252
0.82,0.50,0.15,-8.54,8.55,-1.90,97253
0.89,0.48,0.12,-6.47,8.28,-2.44,97254
0.99,0.49,0.28,-8.66,8.96,-1.91,97255
0.87,0.52,0.23,-10.97,10.08,-1.47,97256
0.80,0.49,0.12,-12.01,11.14,-1.44,97257
0.87,0.51,0.04,-10.82,10.13,-2.12,97258
0.89,0.54,0.12,-13.70,10.76,-1.56,97259
0.88,0.47,0.01,-13.37,14.30,-1.08,97260
0.83,0.55,0.05,-14.24,14.69,-1.24,97261
0.87,0.50,0.16,-12.79,13.23,-1.03,97262
0.83,0.49,0.14,-13.60,14.77,-0.16,97263
0.83,0.50,0.07,-12.62,15.93,-0.66,97264
0.87,0.52,0.02,-7.56,18.41,-0.31,97265
0.95,0.54,0.06,-4.47,20.75,0.69,97266
0.85,0.56,0.04,-6.05,21.07,1.48,97267
0.77,0.64,0.13,-6.94,19.75,1.05,97268
0.79,0.60,-0.02,-7.76,14.72,0.21,97269
0.89,0.53,0.18,-11.85,12.62,0.82,97270
