19:55:10
X(G),Y(G),Z(G),X(A),Y(A),Z(A),T(ms)
,-2.35,0.89,-1.10,66750
-0.35,-0.93,-0.17,-2.31,0.95,-0.91,66751
-0.36,-0.93,-0.16,-2.47,1.08,-0.54,-0.85,-0.18,-3.49,1.29,-0.78,106698
-0.54,-0.84,-0.18,-2.43,0.66,-1.31,106699
-0.55,-0.84,-0.19,-2.26,0.21,-1.82,106700
-0.54,-0.81,-0.19,-2.60,0.08,-2.66,106701
-0.53,-0.80,-0.20,-3.43,0.16,-3.08,106702
-0.53,-0.81,-0.19,-4.07,0.52,-3.01,106703
-0.53,-0.84,-0.21,-4.23,0.87,-2.88,106704
-0.53,-0.84,-0.19,-4.27,0.92,-3.37,106705
-0.55,-0.84,-0.20,-3.68,0.53,-3.22,106706
-0.54,-0.84,-0.19,-3.06,0.35,-3.12,106707
-0.53,-0.84,-0.21,-2.56,0.16,-2.95,106708
-0.53,-0.82,-0.20,-2.75,0.36,-3.08,106709
-0.50,-0.82,-0.21,-3.25,1.17,-2.56,106710
-0.52,-0.85,-0.22,-3.42,1.90,-2.25,106711
-0.56,-0.85,-0.21,-3.64,1.68,-0.37,106712
-0.61,-0.85,-0.20,-3.06,0.01,1.87,106713
-0.58,-0.81,-0.19,-3.09,-1.21,3.87,106714
-0.53,-0.80,-0.22,-3.82,-0.70,5.45,106715
-0.51,-0.83,-0.23,-5.23,0.19,5.34,106716
-0.52,-0.83,-0.20,-5.92,0.06,5.52,106717
-0.55,-0.86,-0.19,-4.98,0.05,6.05,106718
-0.54,-0.85,-0.19,-4.23,-0.56,6.32,106719
-0.53,-0.86,-0.20,-3.40,-0.84,6.76,106720
-0.49,-0.83,-0.20,-2.85,-0.18,6.08,106721
-0.49,-0.83,-0.20,-3.29,0.63,4.89,106722
-0.47,-0.82,-0.21,-3.50,2.29,3.24,106723
-0.49,-0.84,-0.20,-3.40,2.86,2.14,106724
-0.52,-0.86,-0.19,-2.25,2.72,2.53,106725
-0.56,-0.85,-0.19,-1.91,1.96,2.11,106726
-0.55,-0.85,-0.20,-1.38,1.16,3.13,106727
-0.53,-0.80,-0.20,-2.02,1.15,2.55,106728
