20:00:47
X(G),Y(G),Z(G),X(A),Y(A),Z(A),T(ms)
,-0.16,-2.20,2.28,0.09,110607
-0.38,-0.92,-0.16,-2.29,2.34,-0.13,110608
-0.39,-0.92,-0.16,-2.05,1.99,-0.23,110609
-0.38,-0.92,-0.17,-2.04,1.94,-0.46,110610
9,-4.18,-0.05,-0.21,167117
-0.59,-0.80,-0.18,-3.65,-0.09,-0.67,167118
-0.58,-0.81,-0.18,-2.71,0.08,-0.24,167119
-0.56,-0.80,-0.19,-2.33,0.65,-0.21,167120
-0.57,-0.81,-0.20,-2.47,1.89,-0.33,167121
-0.60,-0.81,-0.19,-2.46,1.96,0.69,167122
-0.60,-0.79,-0.19,-2.18,1.79,1.50,167123
-0.58,-0.80,-0.20,-1.91,2.17,0.56,167124
-0.58,-0.79,-0.17,-2.11,2.06,-1.26,167125
-0.61,-0.76,-0.17,-1.76,1.11,-1.95,167126
-0.61,-0.78,-0.17,-2.08,0.37,-1.14,167127
-0.59,-0.78,-0.19,-3.10,0.13,-0.84,167128
-0.61,-0.78,-0.19,-4.03,0.57,-1.39,167129
-0.61,-0.78,-0.18,-4.31,0.17,-0.74,167130
-0.59,-0.78,-0.17,-3.14,0.09,-0.44,167131
-0.56,-0.81,-0.18,-2.78,0.12,-1.43,167132
-0.59,-0.80,-0.18,-2.60,0.62,-2.53,167133
-0.59,-0.80,-0.20,-2.28,1.14,-1.72,167134
-0.58,-0.80,-0.19,-2.22,1.88,-1.62,167135
-0.59,-0.79,-0.19,-2.14,2.24,-1.44,167136
-0.59,-0.80,-0.17,-2.02,2.01,-1.59,167137
-0.60,-0.78,-0.17,-1.40,1.57,-0.44,167138
-0.61,-0.78,-0.18,-2.07,1.57,-0.53,167139
-0.60,-0.77,-0.18,-2.97,1.55,-0.47,167140
-0.60,-0.78,-0.17,-3.16,0.85,-1.41,167141
-0.56,-0.80,-0.19,-3.53,0.76,-2.77,167142
-0.59,-0.79,-0.17,-3.69,0.53,-4.96,167143
-0.62,-0.80,-0.17,-2.85,-0.31,-3.69,167144
-0.59,-0.80,-0.18,-2.42,-1.12,-1.73,167145
-0.56,-0.78,-0.21,-3.27,0.28,-1.44,167146
-0.54,-0.82,-0.21,-3.57,1.85,-0.94,167147
-0.58,-0.81,-0.19,-3.07,2.46,-0.92,167148
-0.59,-0.79,-0.18,-2.60,2.58,-0.20,167149
-0.61,-0.83,-0.17,-1.85,1.48,0.02,167150
-0.61,-0.77,-0.17,-1.75,0.45,0.38,167151
-0.59,-0.80,-0.20,-2.21,0.21,0.28,167152
-0.56,-0.77,-0.20,-3.55,0.70,-0.69,167153
-0.61,-0.78,-0.18,-4.24,0.82,0.71,167154
-0.61,-0.80,-0.18,-4.08,-0.11,3.08,167155
-0.60,-0.80,-0.20,-3.60,-0.53,3.84,167156
-0.57,-0.81,-0.20,-3.07,0.24,4.90,167157
-0.58,-0.81,-0.19,-3.04,0.73,3.17,167158
-0.57,-0.79,-0.18,-2.84,0.62,2.90,167159
-0.56,-0.81,-0.18,-2.73,0.94,1.75,167160
-0.61,-0.82,-0.18,-2.66,0.44,1.33,167161
-0.65,-0.79,-0.18,-2.40,-0.54,2.85,167162
-0.55,-0.78,-0.20,-2.03,-0.27,5.39,167163
-0.55,-0.78,-0.20,-2.79,1.19,3.34,167164
-0.56,-0.80,-0.19,-3.18,2.19,1.48,167165
-0.58,-0.83,-0.19,-2.14,1.95,2.09,167166
-0.59,-0.82,-0.17,-0.76,1.48,1.77,167167
-0.62,-0.81,-0.17,-0.60,0.82,2.91,167168
-0.63,-0.77,-0.19,-1.13,0.18,2.95,167169
-0.56,-0.75,-0.20,-2.20,1.06,3.29,167170
-0.55,-0.78,-0.20,-3.40,2.26,1.05,167171
-0.60,-0.80,-0.18,-3.43,2.58,-0.34,167172
-0.64,-0.82,-0.17,-2.30,1.33,0.91,167173
-0.62,-0.80,-0.17,-1.44,0.40,3.77,167174
-0.59,-0.80,-0.18,-0.98,0.08,4.20,167175
-0.61,-0.77,-0.19,-1.91,0.53,2.59,167176
-0.60,-0.74,-0.19,-2.56,0.63,4.45,167177
-0.61,-0.76,-0.18,-3.01,0.97,5.68,167178
-0.61,-0.78,-0.18,-4.42,0.66,5.08,167179
-0.63,-0.78,-0.16,-4.25,-0.32,4.91,167180
-0.59,-0.79,-0.17,-2.83,-0.95,5.90,167181
-0.58,-0.80,-0.18,-2.59,-1.10,3.94,167182
-0.56,-0.78,-0.19,-2.99,-0.27,2.54,167183
-0.56,-0.79,-0.20,-3.12,0.57,2.31,167184
-0.59,-0.80,-0.19,-2.76,1.26,2.54,167185
-0.62,-0.78,-0.17,-2.56,1.14,2.55,167186
-0.60,-0.79,-0.17,-2.21,1.01,2.95,167187
-0.59,-0.78,-0.19,-1.77,0.98,2.13,167188
-0.56,-0.77,-0.19,-2.29,1.72,0.04,167189
-0.60,-0.79,-0.19,-2.70,2.56,-2.72,167190
-0.62,-0.81,-0.17,-2.18,1.97,-2.00,167191
-0.63,-0.78,-0.18,-1.63,0.68,-0.50,167192
-0.61,-0.75,-0.18,-1.84,0.53,-0.53,167193
-0.61,-0.77,-0.19,-2.48,0.91,-1.19,167194
-0.62,-0.75,-0.19,-2.99,0.95,-0.53,167195
-0.62,-0.78,-0.18,-3.32,0.85,1.03,167196
-0.63,-0.77,-0.17,-2.93,0.79,1.80,167197
-0.62,-0.78,-0.18,-2.67,0.68,3.23,167198
-0.60,-0.79,-0.20,-2.16,0.44,3.50,167199
-0.58,-0.78,-0.20,-2.67,1.04,3.13,167200
-0.60,-0.79,-0.18,-2.98,1.36,2.34,167201
-0.63,-0.78,-0.18,-2.66,1.03,2.73,167202
-0.63,-0.78,-0.17,-2.07,0.22,4.09,167203
-0.62,-0.77,-0.18,-2.84,-0.35,3.26,167204
-0.61,-0.75,-0.19,-3.34,-0.66,2.85,167205
-0.59,-0.77,-0.19,-4.23,-0.40,2.56,167206
-0.58,-0.79,-0.19,-4.48,-0.03,1.49,167207
-0.59,-0.83,-0.19,-3.72,0.27,0.90,167208
-0.60,-0.81,-0.18,-2.64,0.26,1.19,167209
-0.58,-0.79,-0.19,-1.63,0.65,0.72,167210
-0.56,-0.79,-0.19,-1.37,1.52,-0.13,167211
-0.59,-0.79,-0.20,-2.01,2.14,-1.30,167212
-0.63,-0.77,-0.18,-2.21,1.96,-1.29,167213
-0.62,-0.78,-0.17,-2.12,1.67,0.24,167214
