20:04:29
X(G),Y(G),Z(G),X(A),Y(A),Z(A),T(ms)
-0.77,0.60,0.00,-1.42,0.36,-0.92,374750
-0.76,0.60,0.02,-1.23,0.25,-0.88,374800
-0.77,0.61,0.01,-1.27,0.27,-0.79,374850
-0.77,0.60,0.01,-1.35,0.31,-1.00,374900
-0.77,0.60,0.01,-1.29,0.32,-0.82,374950
-0.77,0.60,0.01,-1.46,0.21,-0.88,375000
-0.77,0.60,0.01,-1.37,0.24,-0.91,375050
-0.76,0.60,0.00,-1.27,0.13,-0.91,375100
-0.77,0.60,0.01,-1.28,0.23,-0.95,375150
-0.77,0.60,0.01,-1.45,0.34,-0.80,375200
-0.77,0.60,0.01,-1.23,0.41,-0.97,375250
-0.77,0.60,0.00,-1.39,0.38,-0.92,375300
-0.77,0.60,0.00,-1.48,0.30,-0.97,375350
-0.77,0.60,0.01,-1.32,0.31,-1.06,375400
-0.77,0.61,0.01,-1.36,0.33,-1.00,375450
-0.77,0.60,0.00,-1.13,0.35,-0.88,375500
-0.77,0.59,0.01,-1.31,0.18,-0.73,375550
-0.76,0.60,0.01,-1.41,0.18,-0.85,375600
-0.76,0.60,0.01,-1.61,0.26,-0.87,375650
-0.76,0.60,0.01,-1.41,0.27,-0.87,375700
-0.77,0.60,0.01,-1.27,0.34,-0.79,375750
-0.77,0.60,0.01,-1.30,0.27,-0.91,375800
-0.77,0.60,0.01,-1.36,0.15,-0.81,375850
-0.76,0.61,0.01,-1.34,0.15,-0.81,375900
-0.77,0.60,0.00,-1.27,0.20,-1.02,375950
-0.77,0.60,0.01,-1.42,0.27,-0.88,376000
-0.77,0.60,0.00,-1.38,0.23,-0.85,376050
-0.77,0.60,0.00,-1.36,0.34,-0.95,376100
-0.77,0.60,0.01,-1.43,0.31,-0.96,376150
-0.77,0.60,0.00,-1.31,0.11,-0.93,376200
-0.76,0.60,-0.01,-1.25,0.08,-0.89,376250
-0.77,0.60,0.01,-1.29,0.27,-0.89,376300
-0.76,0.60,0.01,-1.22,0.11,-0.79,376350
-0.76,0.60,0.01,-1.36,0.31,-0.73,376400
-0.77,0.60,0.00,-1.31,0.09,-0.89,376450
-0.77,0.60,0.01,-1.30,0.41,-1.03,376500
-0.77,0.60,0.01,-1.41,0.34,-0.92,376550
-0.76,0.60,0.01,-1.38,0.11,-0.88,376600
-0.77,0.60,0.00,-1.30,0.11,-0.82,376650
-0.77,0.60,0.00,-1.33,0.24,-1.01,376700
-0.76,0.60,0.01,-1.26,0.24,-0.69,376750
-0.76,0.60,0.01,-1.37,0.27,-0.79,376800
-0.76,0.60,0.00,-1.38,0.57,-0.93,376850
-0.76,0.61,0.01,-1.43,0.18,-0.98,376900
