19:51:30
X(G),Y(G),Z(G),X(A),Y(A),Z(A),T(ms)

-0.35,-0.93,-0.17,-2.47,1.10,-1.08,66568
-0.36,-0.93,-0.16,-2.66,0.98,-1.21,66569
-0.35,-0.94,-0.17,-2.61,0.98,-0.95,66570
-0.36,-0.93,-0.16,-2.64,1.09,-1.07,66571
-0.36,-0.94,-0.17,-2.36,1.03,-1.03,66572
-0.36,-0.93,-0.18,-2.49,1.03,-0.88,66573
-0.35,-0.93,-0.16,-2.43,1.24,-1.20,66574
-0.35,-0.94,-0.16,-2.40,1.08,-1.00,66575
-0.36,-0.93,-0.17,-2.66,1.23,-0.78,66576
-0.36,-0.93,-0.16,-2.47,1.11,-0.98,66577
-0.35,-0.93,-0.17,-2.53,1.02,-0.82,66578
-0.35,-0.93,-0.17,-2.52,1.08,-1.05,66579
-0.35,-0.93,-0.17,-2.40,1.07,-1.07,66580
-0.35,-0.93,-0.17,-2.48,1.14,-1.03,66581
-0.35,-0.93,-0.17,-2.51,1.02,-1.10,66582
-0.36,-0.93,-0.17,-2.50,1.11,-1.16,66583
-0.35,-0.94,-0.17,-2.75,1.21,-1.05,66584
-0.35,-0.93,-0.16,-2.62,1.10,-0.73,66585
-0.35,-0.93,-0.17,-2.53,0.98,-0.94,66586
-0.35,-0.93,-0.17,-2.55,1.18,-1.08,66587
-0.36,-0.94,-0.17,-2.46,1.35,-0.85,66588
-0.36,-0.93,-0.16,-2.51,1.22,-0.85,66589
-0.36,-0.93,-0.16,-2.43,1.11,-1.04,66590
-0.35,-0.94,-0.18,-2.54,1.11,-1.05,66591
-0.36,-0.93,-0.18,-2.32,1.41,-1.21,66592
-0.36,-0.94,-0.17,-2.36,1.30,-0.79,66593
-0.35,-0.93,-0.17,-2.50,1.36,-1.06,66594
-0.35,-0.93,-0.17,-2.52,1.28,-0.88,66595
-0.36,-0.92,-0.16,-2.41,1.36,-0.95,66596
-0.35,-0.94,-0.17,-2.38,1.28,-0.99,66597
-0.35,-0.93,-0.17,-2.43,1.25,-0.96,66598
-0.35,-0.93,-0.16,-2.42,1.19,-0.94,66599
-0.35,-0.94,-0.17,-2.44,1.16,-1.01,66600
-0.35,-0.93,-0.17,-2.31,0.97,-0.91,66601
-0.36,-0.93,-0.16,-2.45,1.18,-1.08,66602
-0.35,-0.93,-0.17,-2.29,1.06,-1.02,66603
-0.36,-0.93,-0.17,-2.43,1.05,-1.14,66604
-0.35,-0.93,-0.17,-2.52,0.99,-1.10,66605
-0.36,-0.93,-0.17,-2.60,1.08,-0.92,66606
-0.35,-0.93,-0.17,-2.52,1.08,-0.95,66607
-0.36,-0.93,-0.17,-2.58,1.02,-0.95,66608
-0.36,-0.94,-0.16,-2.56,1.08,-1.06,66609
-0.36,-0.93,-0.18,-2.22,1.04,-1.14,66610
-0.36,-0.93,-0.17,-2.53,1.15,-1.13,66611
-0.35,-0.93,-0.17,-2.43,1.13,-1.15,66612
-0.35,-0.93,-0.17,-2.53,1.11,-0.99,66613
-0.35,-0.93,-0.17,-2.50,1.21,-1.05,66614
-0.34,-0.93,-0.17,-2.49,1.03,-1.11,66615
-0.36,-0.93,-0.17,-2.50,1.23,-1.14,66616
-0.35,-0.94,-0.16,-2.39,1.02,-1.08,66617
-0.35,-0.93,-0.17,-2.42,1.00,-1.12,66618
-0.36,-0.93,-0.17,-2.47,1.07,-1.18,66619
-0.35,-0.94,-0.17,-2.60,1.02,-1.07,66620
-0.35,-0.94,-0.16,-2.47,1.06,-1.07,66621
-0.35,-0.93,-0.17,-2.37,1.11,-1.14,66622
-0.36,-0.93,-0.18,-2.66,1.12,-1.08,66623
-0.36,-0.94,-0.16,-2.43,1.37,-1.05,66624
-0.35,-0.93,-0.17,-2.50,1.17,-1.11,66625
-0.35,-0.94,-0.17,-2.37,1.24,-0.92,66626
-0.35,-0.94,-0.17,-2.31,1.11,-1.24,66627
-0.35,-0.93,-0.18,-2.42,1.32,-0.99,66628
-0.35,-0.93,-0.16,-2.43,1.18,-0.86,66629
-0.35,-0.93,-0.17,-2.51,1.02,-0.77,66630
-0.36,-0.93,-0.17,-2.45,1.11,-0.98,66631
-0.36,-0.93,-0.17,-2.43,1.14,-1.08,66632
-0.35,-0.93,-0.17,-2.48,1.15,-1.02,66633
-0.35,-0.93,-0.18,-2.41,1.31,-0.85,66634
-0.36,-0.93,-0.17,-2.76,1.06,-1.12,66635
-0.35,-0.93,-0.17,-2.40,1.15,-1.18,66636
