20:50:22
X(G),Y(G),Z(G),X(A),Y(A),Z(A),T(ms)
61,0.12,-1.14,0.05,2.54,17281
-0.75,0.61,0.12,-1.01,0.17,2.60,17282
-0.75,0.61,0.12,-1.21,0.02,2.66,17283
-0.75,0.62,0.11,-1.08,0.01,2.56,17284
-0.75,0.61,0.11,-1.18,0.14,2.74,17285
-0.75,0.62,0.12,-0.94,0.18,2.63,17286
-0.77,0.61,0.11,-0.89,-0.15,2.58,17287
-0.74,0.61,0.12,-1.17,0.11,2.66,17288
-0.75,0.61,0.13,-1.01,0.13,2.80,17289
-0.75,0.61,0.11,-1.19,0.14,2.71,17290
-0.75,0.61,0.12,-1.07,0.15,2.64,17291
-0.75,0.61,0.12,-0.99,0.02,2.72,17292
-0.75,0.61,0.12,-1.27,0.01,2.67,17293
-0.75,0.61,0.11,-1.26,0.15,2.51,17294
-0.76,0.61,0.11,-1.03,-0.03,2.85,17295
-0.74,0.61,0.13,-1.03,-0.08,2.80,17296
-0.74,0.61,0.13,-1.05,-0.04,2.72,17297
-0.75,0.61,0.11,-1.02,0.11,2.90,17298
-0.75,0.62,0.12,-1.05,-0.15,2.46,17299
-0.74,0.61,0.11,-1.23,0.03,2.70,17300
-0.75,0.62,0.11,-1.07,-0.07,2.65,17301
-0.75,0.62,0.12,-1.08,0.13,2.55,17302
-0.74,0.62,0.12,-1.02,-0.13,2.61,17303
-0.74,0.61,0.12,-1.20,0.12,2.57,17304
-0.74,0.61,0.12,-1.03,0.27,2.66,17305
-0.75,0.62,0.11,-0.95,0.02,2.62,17306
-0.76,0.61,0.12,-1.23,0.06,2.56,17307
-0.75,0.61,0.12,-1.14,0.08,2.58,17308
-0.74,0.62,0.13,-1.14,0.31,2.82,17309
-0.75,0.61,0.12,-1.06,0.14,2.52,17310
-0.75,0.62,0.11,-1.18,0.07,2.65,17311
-0.76,0.61,0.12,-1.11,0.01,2.64,17312
-0.74,0.61,0.13,-1.14,-0.02,2.67,17313
-0.75,0.62,0.12,-0.92,0.16,2.61,17314
-0.75,0.61,0.12,-1.08,0.03,2.80,17315
-0.74,0.62,0.11,-1.04,0.09,2.42,17316
-0.74,0.61,0.12,-1.13,-0.02,2.63,17317
-0.74,0.62,0.12,-0.96,0.06,2.53,17318
-0.76,0.61,0.11,-0.97,0.18,2.85,17319
-0.75,0.61,0.11,-1.16,-0.04,2.76,17320
-0.75,0.62,0.12,-0.98,-0.03,2.69,17321
-0.75,0.61,0.11,-0.89,0.07,2.56,17322
-0.74,0.61,0.13,-1.09,0.14,2.68,17323
-0.73,0.61,0.12,-1.16,0.22,2.64,17324
-0.75,0.62,0.11,-1.23,0.14,2.85,17325
-0.75,0.61,0.12,-1.08,0.06,2.73,17326
-0.75,0.62,0.12,-1.10,-0.05,2.74,17327
-0.75,0.60,0.12,-1.01,-0.11,2.73,17328
-0.74,0.61,0.12,-1.08,-0.05,2.72,17329
-0.75,0.61,0.12,-1.08,0.28,2.74,17330
-0.75,0.61,0.12,-1.24,0.05,2.50,17331
-0.75,0.61,0.11,-1.08,0.26,2.59,17332
-0.75,0.61,0.12,-0.98,0.19,2.83,17333
-0.75,0.62,0.12,-1.02,-0.01,2.63,17334
-0.75,0.62,0.12,-1.11,0.05,2.67,17335
-0.75,0.61,0.11,-1.08,0.11,2.60,17336
-0.75,0.61,0.13,-1.07,0.10,2.61,17337
-0.75,0.61,0.11,-1.18,0.08,2.72,17338
-0.75,0.61,0.12,-1.16,0.12,2.77,17339
-0.75,0.61,0.12,-1.13,0.05,2.76,17340
-0.75,0.61,0.11,-0.94,0.08,2.53,17341
-0.75,0.62,0.11,-1.01,0.03,2.67,17342
-0.76,0.61,0.12,-1.03,-0.06,2.70,17343
-0.75,0.62,0.12,-1.12,0.03,2.56,17344
-0.75,0.62,0.12,-1.21,0.21,2.76,17345
-0.75,0.61,0.11,-1.15,0.24,2.66,17346
-0.75,0.62,0.12,-1.23,0.11,2.53,17347
-0.74,0.61,0.13,-1.11,0.08,2.60,17348
-0.74,0.61,0.13,-1.08,0.20,2.53,17349
-0.75,0.61,0.11,-1.11,0.10,2.68,17350
-0.75,0.61,0.12,-0.98,0.10,2.52,17351
-0.75,0.61,0.12,-1.05,0.17,2.60,17352
-0.75,0.61,0.12,-1.12,0.08,2.64,17353
-0.75,0.61,0.12,-1.08,0.14,2.63,17354
-0.75,0.61,0.12,-1.05,0.15,2.64,17355
-0.76,0.61,0.12,-1.08,0.18,2.70,17356
-0.75,0.61,0.11,-1.15,0.20,2.65,17357
-0.74,0.61,0.12,-1.16,0.26,2.81,17358
-0.75,0.62,0.11,-1.22,0.15,2.70,17359
-0.75,0.62,0.11,-1.40,0.47,2.93,17360
-0.77,0.61,0.11,-1.02,-0.06,2.69,17361
-0.75,0.61,0.12,-1.14,0.11,2.79,17362
-0.75,0.60,0.12,-1.15,0.04,2.78,17363
-0.75,0.61,0.12,-1.20,-0.01,2.77,17364
-0.74,0.61,0.11,-0.99,-0.02,2.64,17365
-0.74,0.61,0.11,-1.08,-0.01,2.85,17366
-0.75,0.62,0.11,-1.25,-0.11,2.72,17367
-0.74,0.62,0.12,-1.04,0.10,2.71,17368
-0.75,0.62,0.12,-0.91,0.23,2.63,17369
-0.73,0.61,0.12,-1.05,0.14,2.65,17370
-0.75,0.61,0.12,-1.14,0.15,2.53,17371
-0.75,0.61,0.11,-0.97,0.05,2.60,17372
-0.76,0.60,0.11,-1.14,0.07,2.67,17373
-0.74,0.62,0.12,-1.12,0.07,2.60,17374
-0.75,0.61,0.12,-1.26,0.29,2.70,17375
-0.75,0.61,0.11,-1.10,0.15,2.66,17376
-0.75,0.62,0.13,-1.05,0.27,2.43,17377
-0.75,0.61,0.13,-1.18,0.04,2.62,17378
-0.75,0.61,0.12,-1.17,0.18,2.75,17379
-0.76,0.61,0.12,-1.20,0.08,2.79,17380
-0.75,0.61,0.12,-1.05,0.16,2.76,17381
-0.75,0.61,0.12,-1.20,0.14,2.64,17382
-0.74,0.61,0.12,-1.16,0.21,2.62,17383
-0.75,0.61,0.11,-1.11,0.06,2.58,17384
-0.75,0.61,0.12,-0.84,0.12,2.68,17385
-0.73,0.60,0.12,-1.14,0.03,2.37,17386
-0.78,0.61,0.13,-1.04,0.00,2.79,17387
-0.79,0.62,0.09,-0.82,-0.33,3.18,17388
-0.76,0.66,0.07,-2.66,1.60,3.77,17389
-0.70,0.66,0.05,-2.66,2.53,3.32,17390
-0.70,0.64,0.02,-2.91,1.69,2.48,17391
-0.79,0.55,0.20,-1.27,0.02,2.34,17392
-0.76,0.58,0.18,0.38,-0.61,2.27,17393
-0.77,0.60,0.06,-0.63,-1.13,2.34,17394
-0.75,0.57,0.14,-1.73,-0.75,3.48,17395
-0.75,0.61,0.19,0.36,0.15,3.58,17396
-0.73,0.69,0.06,-0.41,0.30,2.46,17397
-0.72,0.67,0.08,-2.72,0.24,1.82,17398
-0.74,0.55,0.20,-1.22,0.37,2.06,17399
-0.73,0.58,0.13,0.22,0.58,2.50,17400
-0.77,0.63,0.03,-1.71,0.52,3.24,17401
-0.77,0.60,0.15,-1.94,0.09,3.39,17402
-0.75,0.60,0.18,-0.50,-0.35,3.21,17403
-0.73,0.65,0.12,-0.15,-0.19,2.31,17404
-0.74,0.64,0.10,-0.67,-0.16,1.68,17405
-0.76,0.61,0.09,-1.60,0.31,1.79,17406
-0.75,0.58,0.12,-1.68,0.58,2.63,17407
-0.76,0.58,0.14,-0.21,0.28,3.02,17408
-0.77,0.62,0.07,-0.96,0.17,3.24,17409
-0.74,0.63,0.08,-2.35,-0.01,3.41,17410
-0.73,0.61,0.18,-0.92,0.22,2.76,17411
-0.74,0.62,0.11,0.06,0.24,2.00,17412
-0.77,0.63,0.06,-1.94,0.02,2.17,17413
-0.76,0.57,0.14,-1.87,-0.06,2.59,17414
-0.77,0.56,0.15,0.01,-0.13,3.02,17415
-0.76,0.62,0.08,-0.52,-0.30,3.31,17416
-0.75,0.64,0.09,-1.75,-0.23,3.21,17417
-0.72,0.63,0.14,-1.18,-0.05,2.82,17418
-0.73,0.62,0.14,-0.58,0.21,2.27,17419
-0.75,0.63,0.09,-1.05,0.05,2.05,17420
-0.75,0.61,0.10,-1.91,0.32,2.48,17421
-0.76,0.59,0.15,-1.36,0.15,2.98,17422
-0.75,0.60,0.14,-0.50,0.08,3.14,17423
-0.74,0.63,0.08,-0.92,0.21,3.13,17424
-0.75,0.64,0.11,-1.92,0.12,2.77,17425
-0.74,0.61,0.16,-1.10,0.19,2.33,17426
-0.75,0.61,0.13,-0.27,0.27,1.98,17427
-0.76,0.62,0.07,-1.50,0.20,2.27,17428
-0.76,0.60,0.13,-1.78,-0.18,2.65,17429
-0.75,0.58,0.14,-0.59,0.09,3.04,17430
-0.76,0.61,0.10,-0.73,0.21,3.14,17431
-0.75,0.63,0.09,-1.52,-0.22,3.09,17432
-0.74,0.62,0.15,-1.11,-0.11,2.47,17433
-0.74,0.62,0.12,-0.70,0.15,2.27,17434
-0.75,0.61,0.12,-0.91,0.01,2.36,17435
-0.75,0.60,0.11,-1.19,-0.04,2.79,17436
-0.76,0.59,0.12,-1.15,-0.11,2.92,17437
-0.73,0.60,0.13,-0.76,0.11,3.01,17438
-0.73,0.63,0.12,-1.01,0.31,3.28,17439
-0.73,0.63,0.10,-1.33,0.05,2.81,17440
-0.74,0.62,0.13,-1.05,0.19,2.33,17441
-0.75,0.61,0.13,-0.64,-0.11,2.24,17442
-0.75,0.61,0.10,-0.97,0.18,2.37,17443
-0.76,0.60,0.13,-1.30,0.15,2.76,17444
-0.74,0.60,0.13,-0.94,0.14,2.92,17445
-0.74,0.62,0.12,-0.97,-0.02,2.97,17446
-0.75,0.63,0.12,-1.27,0.03,2.67,17447
-0.74,0.62,0.13,-1.13,0.27,2.43,17448
-0.75,0.62,0.13,-0.92,0.26,2.14,17449
-0.76,0.60,0.11,-1.06,0.27,2.33,17450
-0.74,0.60,0.12,-1.37,0.20,2.60,17451
-0.75,0.60,0.12,-1.03,0.12,2.91,17452
-0.75,0.61,0.12,-1.00,-0.12,3.07,17453
-0.74,0.63,0.11,-0.97,0.06,2.61,17454
-0.74,0.63,0.11,-1.18,0.36,2.52,17455
-0.74,0.62,0.11,-1.35,0.31,2.47,17456
-0.75,0.61,0.12,-1.23,0.47,2.79,17457
-0.75,0.60,0.10,-1.17,0.34,2.91,17458
-0.75,0.61,0.12,-1.28,0.11,3.07,17459
-0.75,0.61,0.13,-1.02,-0.04,3.03,17460
-0.74,0.62,0.12,-0.94,-0.21,2.77,17461
-0.75,0.63,0.11,-1.11,-0.14,2.47,17462
-0.75,0.61,0.13,-0.99,0.00,2.57,17463
-0.75,0.61,0.12,-0.97,0.03,2.36,17464
-0.76,0.61,0.11,-0.89,0.01,2.84,17465
-0.74,0.61,0.12,-1.04,-0.02,2.82,17466
-0.73,0.61,0.14,-1.09,0.25,2.73,17467
-0.76,0.61,0.12,-1.00,0.10,2.59,17468
-0.75,0.61,0.12,-1.02,0.05,2.69,17469
-0.76,0.61,0.13,-1.14,-0.05,2.43,17470
-0.75,0.61,0.12,-1.06,-0.01,2.55,17471
-0.74,0.61,0.12,-1.19,0.24,2.75,17472
-0.76,0.61,0.12,-1.22,0.18,2.89,17473
-0.75,0.61,0.11,-1.08,0.14,2.98,17474
-0.75,0.62,0.12,-0.94,-0.02,2.75,17475
-0.74,0.61,0.13,-1.05,-0.01,2.60,17476
-0.74,0.61,0.11,-1.02,0.09,2.74,17477
-0.75,0.61,0.12,-0.86,0.07,2.66,17478
-0.74,0.61,0.12,-1.17,-0.05,2.82,17479
-0.74,0.62,0.11,-0.87,0.02,2.72,17480
-0.75,0.61,0.12,-1.23,0.04,2.79,17481
-0.73,0.62,0.12,-1.05,-0.06,2.72,17482
-0.75,0.62,0.11,-1.18,0.26,2.63,17483
-0.74,0.62,0.11,-1.62,0.27,2.60,17484
-0.75,0.62,0.11,-1.31,0.23,2.70,17485
-0.75,0.61,0.13,-1.04,0.03,2.48,17486
-0.75,0.60,0.12,-0.89,-0.06,2.56,17487
-0.76,0.60,0.12,-0.99,-0.12,2.63,17488
-0.75,0.61,0.12,-0.85,0.01,2.61,17489
-0.74,0.61,0.11,-1.04,0.16,2.58,17490
-0.75,0.61,0.12,-0.98,-0.02,2.61,17491
-0.75,0.61,0.12,-1.09,0.04,2.63,17492
-0.75,0.60,0.11,-0.98,0.07,2.66,17493
-0.75,0.60,0.12,-0.89,-0.02,2.72,17494
-0.75,0.61,0.12,-0.77,-0.10,2.75,17495
-0.74,0.61,0.12,-1.02,-0.05,2.83,17496
-0.74,0.62,0.12,-1.21,0.23,2.90,17497
-0.75,0.62,0.12,-1.18,0.21,2.78,17498
-0.75,0.61,0.11,-1.13,0.13,2.74,17499
-0.74,0.61,0.12,-1.12,0.03,2.61,17500
-0.75,0.61,0.12,-1.05,-0.11,2.72,17501
-0.76,0.60,0.12,-0.89,-0.23,2.53,17502
-0.75,0.61,0.12,-0.75,-0.20,2.60,17503
-0.75,0.61,0.11,-1.11,-0.11,2.73,17504
-0.73,0.61,0.11,-1.18,0.11,2.60,17505
-0.74,0.61,0.12,-1.18,0.18,2.56,17506
-0.75,0.61,0.13,-1.17,0.00,2.67,17507
-0.76,0.60,0.12,-1.01,-0.03,2.60,17508
-0.77,0.61,0.11,-0.89,-0.06,2.74,17509
-0.75,0.61,0.13,-0.92,-0.11,2.63,17510
-0.75,0.61,0.12,-1.02,-0.15,2.58,17511
-0.76,0.60,0.12,-1.06,-0.04,2.57,17512
-0.75,0.61,0.12,-1.17,0.14,2.66,17513
-0.77,0.61,0.11,-1.09,-0.02,2.51,17514
-0.74,0.62,0.12,-1.08,0.13,2.79,17515
-0.75,0.62,0.11,-1.18,0.14,2.59,17516
-0.75,0.62,0.12,-1.03,0.05,2.87,17517
-0.75,0.61,0.12,-1.02,-0.08,2.66,17518
-0.75,0.62,0.11,-1.05,0.19,2.80,17519
-0.75,0.62,0.12,-1.19,0.08,2.61,17520
-0.74,0.61,0.12,-1.23,0.31,2.62,17521
-0.75,0.61,0.12,-1.11,0.03,2.53,17522
-0.75,0.61,0.12,-1.23,0.24,2.83,17523
-0.76,0.61,0.12,-1.10,0.06,2.82,17524
-0.75,0.62,0.12,-0.89,0.04,2.81,17525
-0.75,0.61,0.11,-1.20,0.19,2.82,17526
-0.75,0.62,0.12,-0.99,-0.05,2.52,17527
-0.75,0.61,0.12,-1.11,0.15,2.61,17528
-0.76,0.61,0.11,-0.90,0.05,2.67,17529
-0.74,0.61,0.12,-0.94,0.13,2.74,17530
-0.75,0.62,0.12,-1.05,0.27,2.70,17531
-0.75,0.61,0.12,-1.11,0.08,2.94,17532
-0.75,0.62,0.11,-1.27,0.18,2.81,17533
-0.75,0.62,0.12,-1.02,0.05,2.62,17534
-0.74,0.61,0.12,-1.05,0.12,2.55,17535
-0.76,0.62,0.12,-0.98,-0.04,2.55,17536
-0.74,0.61,0.11,-0.88,0.21,2.52,17537
-0.74,0.61,0.12,-1.18,-0.05,2.70,17538
-0.74,0.61,0.12,-1.13,0.18,2.74,17539
-0.74,0.61,0.12,-1.09,0.25,2.84,17540
-0.75,0.61,0.12,-1.00,0.24,2.72,17541
-0.75,0.61,0.12,-1.11,0.15,2.61,17542
-0.75,0.61,0.12,-1.12,0.04,2.68,17543
-0.75,0.61,0.12,-1.06,0.05,2.71,17544
-0.76,0.60,0.12,-1.07,0.05,2.79,17545
-0.74,0.61,0.13,-1.01,0.06,2.66,17546
-0.74,0.61,0.13,-1.02,-0.12,2.82,17547
-0.75,0.62,0.12,-0.92,0.14,2.79,17548
-0.75,0.61,0.12,-0.99,-0.05,2.69,17549
-0.75,0.62,0.12,-1.17,-0.05,2.50,17550
-0.75,0.61,0.12,-1.05,0.08,2.71,17551
-0.74,0.61,0.12,-1.17,0.01,2.72,17552
-0.75,0.61,0.12,-0.99,0.21,2.81,17553
-0.75,0.61,0.12,-1.11,-0.01,2.71,17554
-0.74,0.62,0.13,-1.03,0.07,2.56,17555
-0.74,0.62,0.12,-0.93,0.21,2.66,17556
-0.75,0.62,0.13,-0.98,0.04,2.78,17557
