20:50:49
X(G),Y(G),Z(G),X(A),Y(A),Z(A),T(ms)
,-1.16,0.04,2.72,22450
-0.74,0.62,0.12,-1.15,0.19,2.63,22451
-0.74,0.62,0.13,-1.01,-0.05,2.60,22452
-0.74,0.62,0.12,-1.11,0.20,2.55,22453
-0.76,0.61,0.12,-1.11,-0.02,2.41,22454
-0.75,0.61,0.11,-1.11,0.07,2.37,22455
-0.74,0.61,0.11,-1.05,0.16,2.53,22456
-0.75,0.62,0.12,-0.98,-0.03,2.61,22457
-0.75,0.61,0.13,-1.00,0.09,2.70,22458
-0.75,0.62,0.11,-0.93,0.42,2.57,22459
-0.74,0.62,0.11,-1.35,0.18,2.43,22460
-0.75,0.62,0.11,-0.97,0.17,2.44,22461
-0.75,0.61,0.12,-1.21,0.01,2.59,22462
-0.74,0.61,0.11,-1.15,0.27,2.62,22463
-0.75,0.61,0.11,-1.16,0.34,2.64,22464
-0.76,0.61,0.12,-1.10,-0.01,2.69,22465
-0.76,0.61,0.12,-1.10,-0.06,2.56,22466
-0.74,0.61,0.12,-1.14,0.04,2.65,22467
-0.75,0.61,0.11,-1.06,0.12,2.55,22468
-0.76,0.61,0.12,-1.10,0.08,2.52,22469
-0.74,0.61,0.12,-1.16,0.27,2.59,22470
-0.75,0.61,0.12,-1.01,0.14,2.78,22471
-0.75,0.61,0.11,-1.05,0.16,2.76,22472
-0.74,0.62,0.12,-1.25,0.01,2.73,22473
-0.75,0.62,0.11,-1.14,0.11,2.50,22474
-0.75,0.62,0.11,-1.08,0.08,2.54,22475
-0.75,0.62,0.11,-1.17,-0.06,2.62,22476
-0.75,0.61,0.12,-1.24,0.21,2.55,22477
-0.75,0.61,0.11,-1.11,-0.16,2.72,22478
-0.75,0.61,0.11,-1.00,-0.13,2.65,22479
-0.74,0.62,0.12,-1.00,0.14,2.76,22480
-0.74,0.62,0.12,-0.89,0.14,2.65,22481
-0.75,0.62,0.12,-1.07,0.16,2.50,22482
-0.75,0.61,0.12,-1.11,0.02,2.56,22483
-0.75,0.61,0.12,-0.98,0.18,2.69,22484
-0.75,0.61,0.12,-1.20,0.17,2.62,22485
-0.75,0.61,0.12,-1.24,0.05,2.64,22486
-0.75,0.61,0.12,-0.84,0.00,2.58,22487
-0.74,0.61,0.12,-1.11,0.27,2.68,22488
-0.75,0.61,0.11,-1.11,0.17,2.56,22489
-0.76,0.61,0.11,-1.01,0.09,2.73,22490
-0.75,0.61,0.12,-1.25,0.06,2.64,22491
-0.75,0.61,0.11,-0.98,-0.13,2.65,22492
